iso3,country,od_region,d,u_rf,med_rf,min_rf,max_rf,sd_rf,n_rf
ABW,Aruba,Caribbean,3,1,1,1,1,0,3
ABW,Aruba,Caribbean,4,1.1875,1,1,1.75,0.375,4
ABW,Aruba,Caribbean,5,1,1,1,1,0,4
ABW,Aruba,Caribbean,6,1,1,1,1,0,7
ABW,Aruba,Caribbean,7,1,1,1,1,0,9
ABW,Aruba,Caribbean,8,1,1,1,1,0,7
ABW,Aruba,Caribbean,9,1,1,1,1,0,6
ABW,Aruba,Caribbean,10,1,1,1,1,0,11
ABW,Aruba,Caribbean,11,1,1,1,1,0,9
ABW,Aruba,Caribbean,12,1,1,1,1,0,12
AFG,Afghanistan,South Asia,2,0.9741379310344828,1,0.7931034482758621,1,0.07314897736412561,8
AFG,Afghanistan,South Asia,3,1.0051065231715353,1,0.7931034482758621,1.2579617834394905,0.11009576590990995,10
AFG,Afghanistan,South Asia,4,1.0046422937923047,1,0.7931034482758621,1.2579617834394905,0.1044573621256188,11
AFG,Afghanistan,South Asia,5,0.9858335163628377,1,0.7931034482758621,1.2579617834394905,0.12245369169645255,11
AFG,Afghanistan,South Asia,6,1.0280933650140767,1,0.7931034482758621,1.2579617834394905,0.12931091903236497,11
AFG,Afghanistan,South Asia,7,1.0046422937923047,1,0.7931034482758621,1.2579617834394905,0.10445736212561882,11
AFG,Afghanistan,South Asia,8,1.0046422937923047,1,0.7931034482758621,1.2579617834394905,0.10445736212561882,11
AFG,Afghanistan,South Asia,9,0.9670247389333706,1,0.7931034482758621,1.2579617834394905,0.135278152262205,11
AFG,Afghanistan,South Asia,10,1.077388535031847,1,1,1.2579617834394905,0.12460737966468628,10
AFG,Afghanistan,South Asia,11,1,1,1,1,0,9
AFG,Afghanistan,South Asia,12,1,1,1,1,0,8
AGO,Angola,Sub-Saharan Africa,2,1.275,1,1,3,0.6503204338375558,10
AGO,Angola,Sub-Saharan Africa,3,1,1,1,1,0,9
AGO,Angola,Sub-Saharan Africa,4,1,1,1,1,0,9
AGO,Angola,Sub-Saharan Africa,5,1,1,1,1,0,10
AGO,Angola,Sub-Saharan Africa,6,1,1,1,1,0,9
AGO,Angola,Sub-Saharan Africa,7,1,1,1,1,0,7
AGO,Angola,Sub-Saharan Africa,8,1,1,1,1,0,7
AGO,Angola,Sub-Saharan Africa,9,1,1,1,1,0,5
AGO,Angola,Sub-Saharan Africa,10,1,1,1,1,0,4
AGO,Angola,Sub-Saharan Africa,11,1,1,1,1,NA,1
AGO,Angola,Sub-Saharan Africa,12,1,1,1,1,0,3
AIA,Anguilla,Caribbean,2,1,1,1,1,0,2
AIA,Anguilla,Caribbean,5,1,1,1,1,NA,1
AIA,Anguilla,Caribbean,6,1,1,1,1,NA,1
AIA,Anguilla,Caribbean,7,1,1,1,1,NA,1
AIA,Anguilla,Caribbean,8,1,1,1,1,0,4
AIA,Anguilla,Caribbean,9,1,1,1,1,0,2
AIA,Anguilla,Caribbean,10,1,1,1,1,NA,1
AIA,Anguilla,Caribbean,11,1,1,1,1,NA,1
AIA,Anguilla,Caribbean,12,1,1,1,1,NA,1
ARG,Argentina,South America,1,1.2884771656102714,1.2884771656102714,1.2884771656102714,1.2884771656102714,NA,1
ARG,Argentina,South America,2,0.9373778570710545,1.037797721781153,0.003061849357011635,3.861913937058446,0.9357392637168737,15
ARG,Argentina,South America,3,0.7517613984143187,0.8285714285714286,0.08872683075053175,1.058405682715075,0.34947532817553245,13
ARG,Argentina,South America,4,0.867512149446124,0.987518416251183,0.45052739717845497,1.0617760617760619,0.23707552995381745,14
ARG,Argentina,South America,5,1.0083697173027648,1,0.5128205128205128,1.6734897544416845,0.23114998313505056,14
ARG,Argentina,South America,6,1.1331201422623378,1,1,1.6734897544416845,0.26039210717825484,14
ARG,Argentina,South America,7,1.09685512785271,1.0053518090974758,1,1.4699757602468047,0.18508143308600744,14
ARG,Argentina,South America,8,1.0155272281005583,1.0005707156508814,0.45143167814425517,1.366376811594203,0.20873968237039675,14
ARG,Argentina,South America,9,1.0862610555401546,1,0.45143167814425517,3.2835703001579777,0.6628949868758585,14
ARG,Argentina,South America,10,1.3540689442528884,1.0000457090120758,0.45143167814425517,3.2835703001579777,0.8705631857085685,14
ARG,Argentina,South America,11,1.2216232821672715,1,0.45143167814425517,3.2835703001579777,0.7250996319468869,14
ARG,Argentina,South America,12,1.2182762402863707,1,0.45143167814425517,3.2835703001579777,0.79256411280531,14
ATG,Antigua and Barbuda,Caribbean,2,1,1,1,1,0,2
ATG,Antigua and Barbuda,Caribbean,3,1,1,1,1,NA,1
ATG,Antigua and Barbuda,Caribbean,4,1,1,1,1,0,5
ATG,Antigua and Barbuda,Caribbean,5,1,1,1,1,0,6
ATG,Antigua and Barbuda,Caribbean,6,1,1,1,1,0,8
ATG,Antigua and Barbuda,Caribbean,7,1,1,1,1,0,5
ATG,Antigua and Barbuda,Caribbean,8,1,1,1,1,0,10
ATG,Antigua and Barbuda,Caribbean,9,1,1,1,1,0,7
ATG,Antigua and Barbuda,Caribbean,10,1,1,1,1,0,8
ATG,Antigua and Barbuda,Caribbean,11,1,1,1,1,0,7
ATG,Antigua and Barbuda,Caribbean,12,1,1,1,1,0,11
AUS,Australia,Pacific Islands,2,1.3134064901376872,1.3664596273291925,1.0233644859813085,1.588235294117647,0.19671218504258542,15
AUS,Australia,Pacific Islands,3,1.050907846871798,1.042654028436019,1.0297619047619047,1.0842911877394636,0.018958626080631345,13
AUS,Australia,Pacific Islands,4,1.0308057635918357,1.0251007248709938,1.0112994350282485,1.0657894736842106,0.017754542366614886,14
AUS,Australia,Pacific Islands,5,1.020676262792576,1.0160859065033638,1,1.0657894736842106,0.02014670800788686,14
AUS,Australia,Pacific Islands,6,1.0093321419820676,1.0089019607843137,1,1.0175953079178885,0.006668437750335894,14
AUS,Australia,Pacific Islands,7,1.0087418486851907,1.006906976744186,1,1.03125,0.008794216708296826,14
AUS,Australia,Pacific Islands,8,1.0082689439864396,1.009478672985782,1,1.0232558139534884,0.00893725311514617,13
AUS,Australia,Pacific Islands,9,1.0053385534058665,1.0057803468208093,1,1.0153846153846153,0.005736078027355546,11
AUS,Australia,Pacific Islands,10,1.0076674678356727,1.009478672985782,1,1.0153846153846153,0.004849822940173407,10
AUS,Australia,Pacific Islands,11,1.003533695564196,1,1,1.0153846153846153,0.005819032806857306,9
AUS,Australia,Pacific Islands,12,1.0052300728601307,1.0026455026455028,1,1.0153846153846153,0.006718318565631576,8
BEN,Benin,Sub-Saharan Africa,2,1.0096153846153846,1,1,1.125,0.034668762264076815,13
BEN,Benin,Sub-Saharan Africa,3,1.0227272727272727,1,1,1.125,0.05056498968474315,11
BEN,Benin,Sub-Saharan Africa,4,1,1,1,1,0,8
BEN,Benin,Sub-Saharan Africa,5,1,1,1,1,0,10
BEN,Benin,Sub-Saharan Africa,6,1,1,1,1,0,10
BEN,Benin,Sub-Saharan Africa,7,1,1,1,1,0,11
BEN,Benin,Sub-Saharan Africa,8,1,1,1,1,0,9
BEN,Benin,Sub-Saharan Africa,9,1,1,1,1,0,7
BEN,Benin,Sub-Saharan Africa,10,1,1,1,1,0,6
BEN,Benin,Sub-Saharan Africa,11,1,1,1,1,0,6
BEN,Benin,Sub-Saharan Africa,12,1,1,1,1,0,3
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,5,1,1,1,1,NA,1
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,6,1,1,1,1,0,3
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,7,1,1,1,1,0,4
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,8,1,1,1,1,0,4
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,9,1,1,1,1,0,3
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,10,1,1,1,1,0,4
