"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","date","Year","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","Data_process","percentile_most_recent","Country","Region"
"1","Bhutan","BTN",1,1,0.635793377733755,77.8,77.8,77.8,0.0722391196593531,0.0722391196593531,2024-01-01,2024,0,"SEARO","Observed",0,0,0,"Observed",4.68198451871382,"Bhutan","South Asia"
"2","Burkina Faso","BFA",1,1,790161.96614778,103.5,103.5,103.5,0.064078783169758,0.064078783169758,2024-01-01,2024,6729,"WHO","Observed",105011,6729,6729,"Observed",100,"Burkina Faso","Sub-Saharan Africa"
"3","Cameroon","CMR",1,1,5.89036433460936,48.2499999999999,48.25,48.25,0.108003488585569,0.108003488585569,2024-01-01,2024,2,"WHO","Observed",19,2,2,"Observed",5.2645605006176,"Cameroon","Sub-Saharan Africa"
"4","Curaçao","CUW",1,1,3.78890169030416,159.5,159.5,159.5,0.146725085468637,0.146725085468637,2024-01-01,2024,40,"PAHO","Observed",273,40,40,"Observed",90.4175106030158,"Curaçao","Latin America & Caribbean"
"5","Ethiopia","ETH",1,1,0.105427008457756,604.2,604.2,604.2,0.0285742995526479,0.0285742995526479,2024-01-01,2024,505,"WHO","Observed",17673,505,505,"Observed",99.8498068703388,"Ethiopia","Sub-Saharan Africa"
"6","Grenada","GRD",1,1,0.448956623486099,11.5,11.5,11.5,0.0793788683090085,0.0793788683090085,2024-01-01,2024,47,"PAHO","Observed",592,47,47,"Observed",99.9999999987714,"Grenada","Latin America & Caribbean"
"7","Guadeloupe","GLP",1,1,0.331968959612605,2063.71428571429,2063.71428571429,2063.71428571429,0.167255005863689,0.167255005863689,2024-01-01,2024,1445,"PAHO","Observed",8640,1445,1445,"Observed",94.4429716644553,"Guadeloupe","Latin America & Caribbean"
"8","Mexico","MEX",1,1,3.05654334387093,3000.11111111112,3000.11111111111,3000.11111111111,0.0266562823927862,0.0266562823927862,2024-01-01,2024,21247,"PAHO","Observed",797073,21247,21247,"Observed",100,"Mexico","Latin America & Caribbean"
"9","Panama","PAN",1,1,0.577784559847174,558.454545454546,558.454545454545,558.454545454545,0.0578256175844272,0.0578256175844272,2024-01-01,2024,2553,"PAHO","Observed",44150,2553,2553,"Observed",100,"Panama","Latin America & Caribbean"
"10","Puerto Rico","PRI",1,1,0.62803203075201,664.250000000002,664.25,664.25,0.0735837720716425,0.0735837720716425,2024-01-01,2024,284,"PAHO","Observed",3860,284,284,"Observed",98.9611043445485,"Puerto Rico","Latin America & Caribbean"
"11","Suriname","SUR",1,1,1.82274548563031,49,49,49,0.151619605271578,0.151619605271578,2024-01-01,2024,27,"PAHO","Observed",178,27,27,"Observed",99.1981100571977,"Suriname","Latin America & Caribbean"
"12","Marshall Islands","MHL",2,1,295488.260137811,24.3333333333333,24.3333333333333,24.3333333333333,0.0087750931602356,0.0087750931602356,2024-02-01,2024,0,"WHO","Observed",0,0,0,"Observed",2.70771350715032e-09,"Marshall Islands","East Asia & Pacific"
"13","Martinique","MTQ",2,1,0.352797017119012,177.4,177.4,177.4,0.0905578894659754,0.0905578894659754,2024-02-01,2024,1765,"PAHO","Observed",19490,3395,1765,"Observed",100,"Martinique","Latin America & Caribbean"
"14","Senegal","SEN",2,1,42234.3264936471,1.25,1.25,1.25,0.00936797701899376,0.00936797701899376,2024-02-01,2024,67,"WHO","Observed",7152,124,67,"Observed",100,"Senegal","Sub-Saharan Africa"
"15","Eritrea","ERI",3,1,9.2043638615469,666.4,666.4,666.4,0.0658315706779532,0.0658315706779532,2024-03-01,2024,1463,"WHO","Observed",22223,6232,1463,"Observed",100,"Eritrea","Sub-Saharan Africa"
"16","Aruba","ABW",4,1,1.42588738551715,15,15,15,0.00807931019553205,0.00807931019553205,2024-04-01,2024,0,"PAHO","Unobserved",0,16,0,"Estimates",3.0654973161761,"Aruba","Latin America & Caribbean"
"17","Cuba","CUB",5,1,317534.98516538,28.125,28.125,28.125,0.00656908875759237,0.00656908875759237,2024-05-01,2024,33,"WHO","Unobserved",5024,2674,33,"Estimates",100,"Cuba","Latin America & Caribbean"
"18","Paraguay","PRY",5,1,0.514657658798673,3006.66666666667,3006.66666666667,3006.66666666667,0.0613357806001199,0.0613357806001199,2024-05-01,2024,14686,"PAHO","Observed",239436,275458,14686,"Observed",100,"Paraguay","Latin America & Caribbean"
"19","Argentina","ARG",6,1,1.3879937553564,14.3333333333333,14.3333333333333,14.3333333333333,0.00756102434428539,0.00756102434428539,2024-06-01,2024,876,"PAHO","Observed",115857,581239,876,"Observed",100,"Argentina","Latin America & Caribbean"
"20","Australia","AUS",6,1,1910371.4660365,61.6923076923076,61.6923076923077,61.6923076923077,0.0485704558592325,0.0485704558592325,2024-06-01,2024,252,"WHO","Observed",5188,1373,252,"Observed",100,"Australia","East Asia & Pacific"
"21","Bolivia","BOL",6,1,1.74327442517541,878.818181818181,878.818181818182,878.818181818182,0.016333797663192,0.016333797663192,2024-06-01,2024,2403,"PAHO","Observed",147118,47631,2403,"Observed",100,"Bolivia","Latin America & Caribbean"
"22","French Guiana","GUF",6,1,0.189474521260078,66.625,66.625,66.625,0.060614363443561,0.060614363443561,2024-06-01,2024,817,"PAHO","Observed",13479,15477,817,"Observed",100,"French Guiana","Latin America & Caribbean"
"23","Timor-Leste","TLS",6,1,0.385182681489353,11.7857142857143,11.7857142857143,11.7857142857143,0.00953369997810529,0.00953369997810529,2024-06-01,2024,45,"SEARO","Observed",4720,1317,45,"Observed",100,"Timor-Leste","East Asia & Pacific"
"24","Fiji","FJI",7,1,0.725618262273428,180.615384615385,180.615384615385,180.615384615385,0.0281135995615955,0.0281135995615955,2024-07-01,2024,381,"WHO","Observed",13552,5636,381,"Observed",100,"Fiji","East Asia & Pacific"
"25","Indonesia","IDN",7,1,8.28791808770074,6244.07142857142,6244.07142857143,6244.07142857143,0.0552479435162482,0.0552479435162482,2024-07-01,2024,19265,"SEARO","Observed",348701,194477,19265,"Observed",100,"Indonesia","East Asia & Pacific"
"26","Peru","PER",7,1,0.730343813457453,5225.50000000001,5225.5,5225.5,0.0403470034978057,0.0403470034978057,2024-07-01,2024,2939,"PAHO","Observed",72843,257531,2939,"Observed",99.9984195611744,"Peru","Latin America & Caribbean"
"27","Saudi Arabia","SAU",7,1,2.61421042404071,84,84,84,0.0229328375740728,0.0229328375740728,2024-07-01,2024,320,"WHO","Observed",13954,7870,320,"Observed",100,"Saudi Arabia","Middle East & North Africa"
"28","Brazil","BRA",8,1,1.60945945130528,40738.1999999998,40738.2,40738.2,0.0155113889756142,0.0155113889756142,2024-08-01,2024,112169,"PAHO","Observed",7231396,9755275,112169,"Observed",100,"Brazil","Latin America & Caribbean"
"29","Ecuador","ECU",8,1,2.19155427992093,933.181818181819,933.181818181818,933.181818181818,0.0432706415406211,0.0432706415406211,2024-08-01,2024,3105,"PAHO","Observed",71758,50445,3105,"Observed",100,"Ecuador","Latin America & Caribbean"
"30","Guyana","GUY",9,1,0.865398988001857,225,225,225,0.0548010573326667,0.0548010573326667,2024-09-01,2024,2582,"PAHO","Observed",47116,38818,2582,"Observed",100,"Guyana","Latin America & Caribbean"
"31","Cambodia","KHM",10,1,0.687074767484384,304.142857142858,304.142857142857,304.142857142857,0.0357239080723792,0.0357239080723792,2024-10-01,2024,2135,"WHO","Observed",59764,16346,2135,"Observed",100,"Cambodia","East Asia & Pacific"
"32","Colombia","COL",10,1,2.33041147416648,7884.83333333331,7884.83333333333,7884.83333333333,0.10778664294585,0.10778664294585,2024-10-01,2024,14547,"PAHO","Observed",134961,293562,14547,"Observed",99.9999999999999,"Colombia","Latin America & Caribbean"
