"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion"
"1","Antigua And Barbuda","ATG",4,1,0.552173807137834,6.8,6.8,6.8,0.0178198957042369,0.0178198957042369
"2","Antigua And Barbuda","ATG",5,2,0.527970255660922,11.6,11.6,18.4,0.0497359731042993,0.0319160774000623
"3","Antigua And Barbuda","ATG",6,3,0.560774150251199,10.8,10.8,29.2,0.0814569816766428,0.0317210085723435
"4","Antigua And Barbuda","ATG",7,4,0.483872625326418,12.6,12.6,41.8,0.112551318539662,0.0310943368630193
"5","Antigua And Barbuda","ATG",8,5,0.624735577113636,25.2,25.2,67,0.177422885203273,0.0648715666636106
"6","Antigua And Barbuda","ATG",9,6,0.56665117338603,27.8,27.8,94.8,0.241078017056142,0.0636551318528697
"7","Antigua And Barbuda","ATG",10,7,0.523658132419251,38.6,38.6,133.4,0.325400019702217,0.0843220026460746
"8","Antigua And Barbuda","ATG",11,8,0.47271408155899,50.9999999999999,51,184.4,0.423878351405152,0.0984783317029346
"9","Antigua And Barbuda","ATG",12,9,0.468499021179941,73.0000000000001,73,257.4,0.553249072321967,0.129370720916816
"10","Antigua And Barbuda","ATG",1,10,0.439885982891054,86,86,343.4,0.776986956200171,0.223737883878204
"11","Antigua And Barbuda","ATG",2,11,0.843978272588367,38.8,38.8,382.2,0.904311467770699,0.127324511570527
"12","Antigua And Barbuda","ATG",3,12,300281.952976354,25,25,407.2,1,0.0956885322293012
"13","Argentina","ARG",7,1,1.03586141311859,36.6,36.6,36.6,0.0114334280162946,0.0114334280162946
"14","Argentina","ARG",8,2,1.26231658367712,10,10,46.6,0.0169958617200894,0.00556243370379478
"15","Argentina","ARG",9,3,1.06932905945633,15,15,61.6,0.0247803862922772,0.00778452457218784
"16","Argentina","ARG",10,4,0.199449266495169,801.999999999999,802,863.6,0.174551780722683,0.149771394430406
"17","Argentina","ARG",11,5,1.03333381292279,39.4,39.4,903,0.19034396955772,0.0157921888350371
"18","Argentina","ARG",12,6,1.08995239055167,84.6000000000001,84.6,987.6,0.224355425834932,0.0340114562772121
"19","Argentina","ARG",1,7,0.718608024722001,197,197,1184.6,0.247099586416476,0.0227441605815438
"20","Argentina","ARG",2,8,0.575746934185739,744.600000000001,744.6,1929.2,0.309405833976569,0.0623062475600932
"21","Argentina","ARG",3,9,0.302225401767932,9602.80000000003,9602.8,11532,0.528735485886739,0.21932965191017
"22","Argentina","ARG",4,10,0.290885045752574,13208.8,13208.8,24740.8,0.804352425554341,0.275616939667602
"23","Argentina","ARG",5,11,0.366184687838181,4809,4809,29549.8,0.957495119081165,0.153142693526824
"24","Argentina","ARG",6,12,0.311043450354146,2031,2031,31580.8,1,0.0425048809188352
"25","Aruba","ABW",7,1,0.796844863733115,85.7999999999999,85.8,85.8,0.0816330679437089,0.0816330679437089
"26","Aruba","ABW",8,2,2.17033750433874,38.6,38.6,124.4,0.107772443584246,0.0261393756405375
"27","Aruba","ABW",9,3,2.35578854914411,76.6000000000001,76.6,201,0.160619148201019,0.0528467046167724
"28","Aruba","ABW",10,4,2.7607946259482,77.7999999999999,77.8,278.8,0.2144456968441,0.0538265486430809
"29","Aruba","ABW",11,5,2.6810404539349,61.6,61.6,340.4,0.262060927757366,0.0476152309132663
"30","Aruba","ABW",12,6,1.4506825417704,206.8,206.8,547.2,0.393655092457932,0.131594164700566
"31","Aruba","ABW",1,7,1.64098296401805,154,154,701.2,0.481095159954636,0.0874400674967041
"32","Aruba","ABW",2,8,1.6094291733833,169.6,169.6,870.8,0.576877387182758,0.0957822272281225
"33","Aruba","ABW",3,9,1.75953824254189,205.8,205.8,1076.6,0.69499825280952,0.118120865626761
"34","Aruba","ABW",4,10,1.86973432439432,154.6,154.6,1231.2,0.78491897745936,0.0899207246498398
"35","Aruba","ABW",5,11,0.899248807603224,238,238,1469.2,0.915298755044039,0.130379777584679
"36","Aruba","ABW",6,12,0.81223113814222,171.4,171.4,1640.6,1,0.0847012449559612
"37","Australia","AUS",9,1,774354.996955727,66.8333333333333,66.8333333333333,66.8333333333333,0.0549990268751304,0.0549990268751304
"38","Australia","AUS",10,2,1530678.09731509,93.4999999999999,93.5,160.333333333333,0.134732508736457,0.0797334818613263
"39","Australia","AUS",11,3,2.57776845341535,85.5833333333333,85.5833333333333,245.916666666667,0.208186952366661,0.0734544436302046
"40","Australia","AUS",12,4,1026224.86888136,92.9166666666667,92.9166666666667,338.833333333333,0.280895398863256,0.0727084464965944
"41","Australia","AUS",1,5,1089876.14655621,170.5,170.5,509.333333333333,0.405244526086728,0.124349127223473
"42","Australia","AUS",2,6,1.70095105063956,138.916666666666,138.916666666667,648.25,0.503789205216558,0.0985446791298301
"43","Australia","AUS",3,7,2.22358267030015,130.5,130.5,778.75,0.59947250409078,0.0956832988742222
"44","Australia","AUS",4,8,1.36984835917909,120.083333333334,120.083333333333,898.833333333333,0.681893447689702,0.0824209435989217
"45","Australia","AUS",5,9,1.30412930872372,112.166666666667,112.166666666667,1011,0.76512794280231,0.0832344951126084
"46","Australia","AUS",6,10,1.51774477198356,92.5,92.5,1103.5,0.838874235136555,0.0737462923342449
"47","Australia","AUS",7,11,1.55746333914867,105.333333333333,105.333333333333,1208.83333333333,0.928937121754748,0.0900628866181923
"48","Australia","AUS",8,12,1.43202396937069,78.8333333333332,78.8333333333333,1287.66666666667,1,0.0710628782452522
"49","Bangladesh","BGD",2,1,45436.1616956747,1.42857142857143,1.42857142857143,1.42857142857143,0.00284758905462603,0.00284758905462603
"50","Bangladesh","BGD",3,2,0.208561713003045,3,3,4.42857142857143,0.00412682583515634,0.0012792367805303
"51","Bangladesh","BGD",4,3,84786.5205921612,6.28571428571429,6.28571428571429,10.7142857142857,0.00528106826278577,0.00115424242762943
"52","Bangladesh","BGD",5,4,0.226919019523569,13.1428571428571,13.1428571428571,23.8571428571429,0.0108254963986596,0.00554442813587381
"53","Bangladesh","BGD",6,5,0.506768221947199,59.5714285714286,59.5714285714286,83.4285714285714,0.0349361939935937,0.0241106975949341
"54","Bangladesh","BGD",7,6,1.39010414194714,264.142857142857,264.142857142857,347.571428571429,0.18569009405416,0.150753900060566
"55","Bangladesh","BGD",8,7,1.3345341079755,529,529,876.571428571429,0.480194833322961,0.2945047392688
"56","Bangladesh","BGD",9,8,1.15872486627772,530.285714285715,530.285714285714,1406.85714285714,0.747791668979122,0.267596835656161
"57","Bangladesh","BGD",10,9,0.88353213661896,380.428571428572,380.428571428571,1787.28571428571,0.913249011274831,0.165457342295709
"58","Bangladesh","BGD",11,10,0.457909410136348,163.428571428572,163.428571428571,1950.71428571429,0.97939730654898,0.066148295274149
"59","Bangladesh","BGD",12,11,0.317923881203683,43.5714285714286,43.5714285714286,1994.28571428571,0.996183126167502,0.0167858196185216
"60","Bangladesh","BGD",1,12,91120.4346317151,17.1428571428572,17.1428571428571,2011.42857142857,1,0.00381687383249805
"61","Barbados","BRB",4,1,2.60575638673597,58.3333333333333,58.3333333333333,58.3333333333333,0.0366360249477126,0.0366360249477126
"62","Barbados","BRB",5,2,2.57416021178826,69.3333333333333,69.3333333333333,127.666666666667,0.0804799634399276,0.0438439384922149
"63","Barbados","BRB",6,3,2.50238668361179,80.3333333333332,80.3333333333333,208,0.130243839697852,0.0497638762579246
"64","Barbados","BRB",7,4,2.43504495734403,76.0000000000001,76,284,0.17829868033922,0.0480548406413678
"65","Barbados","BRB",8,5,3.39723273079975,100,100,384,0.242254481457409,0.0639558011181885
"66","Barbados","BRB",9,6,2.8687099875087,174,174,558,0.352681130007065,0.110426648549657
"67","Barbados","BRB",10,7,2.73809395534967,191,191,749,0.473182313657192,0.120501183650126
"68","Barbados","BRB",11,8,3.04888237801577,142,142,891,0.564065193957084,0.0908828802998922
"69","Barbados","BRB",12,9,4.12986652428327,122.666666666667,122.666666666667,1013.66666666667,0.645091673068931,0.0810264791118472
"70","Barbados","BRB",1,10,2.89996348835603,219.666666666667,219.666666666667,1233.33333333333,0.811717542694647,0.166625869625717
"71","Barbados","BRB",2,11,3.20144823173558,148.333333333333,148.333333333333,1381.66666666667,0.922706310847555,0.110988768152907
"72","Barbados","BRB",3,12,2.65478349372427,103,103,1484.66666666667,1,0.0772936891524453
"73","Belize","BLZ",4,1,2.38793875488977,157.727272727273,157.727272727273,157.727272727273,0.0490854969392136,0.0490854969392136
"74","Belize","BLZ",5,2,2.61374719742463,162.090909090909,162.090909090909,319.818181818182,0.0979586451132341,0.0488731481740205
"75","Belize","BLZ",6,3,1.82788556342127,251.909090909091,251.909090909091,571.727272727273,0.163386513994294,0.0654278688810598
"76","Belize","BLZ",7,4,1.62849182492411,342.454545454546,342.454545454545,914.181818181818,0.251044505428014,0.0876579914337197
"77","Belize","BLZ",8,5,1.10769411237241,529.090909090909,529.090909090909,1443.27272727273,0.364100546484683,0.11305604105667
"78","Belize","BLZ",9,6,1.11178772508741,547.272727272727,547.272727272727,1990.54545454545,0.480215731335062,0.116115184850379
"79","Belize","BLZ",10,7,1.25683981294764,523.545454545454,523.545454545455,2514.09090909091,0.599038009522804,0.118822278187742
"80","Belize","BLZ",11,8,1.19984280253592,430.363636363637,430.363636363636,2944.45454545455,0.696755603377236,0.0977175938544317
"81","Belize","BLZ",12,9,1.51359602065476,255.727272727274,255.727272727273,3200.18181818182,0.759782075782041,0.0630264724048046
"82","Belize","BLZ",1,10,1.83942907006696,303.636363636364,303.636363636364,3503.81818181818,0.84960313635245,0.0898210605704096
"83","Belize","BLZ",2,11,2.24461882722292,225.636363636364,225.636363636364,3729.45454545455,0.92001273306262,0.0704095967101693
"84","Belize","BLZ",3,12,2.02166194368533,265.272727272727,265.272727272727,3994.72727272727,1,0.0799872669373804
"85","Bhutan","BTN",2,1,0.687898213295873,36.8888888888889,36.8888888888889,36.8888888888889,0.0328311641505798,0.0328311641505798
"86","Bhutan","BTN",3,2,0.728467260489725,49.7777777777777,49.7777777777778,86.6666666666667,0.0782239231426131,0.0453927589920333
"87","Bhutan","BTN",4,3,0.715728402939145,52.2222222222222,52.2222222222222,138.888888888889,0.124778381282077,0.0465544581394643
"88","Bhutan","BTN",5,4,0.64869212684372,47.7777777777778,47.7777777777778,186.666666666667,0.165453404906679,0.0406750236246019
"89","Bhutan","BTN",6,5,0.60753040921984,64,64,250.666666666667,0.217749531856122,0.0522961269494429
"90","Bhutan","BTN",7,6,0.699390669472935,78.5555555555555,78.5555555555556,329.222222222222,0.289266456186721,0.0715169243305986
"91","Bhutan","BTN",8,7,0.638131124118065,155.111111111111,155.111111111111,484.333333333333,0.417472147052297,0.128205690865577
"92","Bhutan","BTN",9,8,0.63952837096854,138.888888888889,138.888888888889,623.222222222222,0.534657766839881,0.117185619787584
"93","Bhutan","BTN",10,9,0.630196304927182,144.222222222222,144.222222222222,767.444444444444,0.651423240181593,0.116765473341712
"94","Bhutan","BTN",11,10,0.668240532633115,120.111111111111,120.111111111111,887.555555555556,0.756812417755008,0.105389177573415
"95","Bhutan","BTN",12,11,0.651150049755754,103.111111111111,103.111111111111,990.666666666667,0.84327896927187,0.0864665515168628
"96","Bhutan","BTN",1,12,0.418045576521011,64.9999999999999,65,1055.66666666667,1,0.156721030728129
"97","Bolivia","BOL",8,1,4.05367140871563,529.625,529.625,529.625,0.0182156998683575,0.0182156998683575
"98","Bolivia","BOL",9,2,3.96459076544912,518.875,518.875,1048.5,0.0358713840487978,0.0176556841804403
"99","Bolivia","BOL",10,3,3.09102623193831,914.499999999999,914.5,1963,0.065858458660645,0.0299870746118472
"100","Bolivia","BOL",11,4,2.11618762509187,1634.625,1634.625,3597.625,0.120618656114905,0.0547601974542602
"101","Bolivia","BOL",12,5,1.9062797682594,2141.875,2141.875,5739.5,0.192488822048028,0.0718701659331224
"102","Bolivia","BOL",1,6,1.39950165485951,4436.875,4436.875,10176.375,0.304196481162679,0.111707659114651
"103","Bolivia","BOL",2,7,1.69632640747501,5874.125,5874.125,16050.5,0.452286063229197,0.148089582066519
"104","Bolivia","BOL",3,8,2.65337397780678,7298.99999999997,7299,23349.5,0.647531744398325,0.195245681169127
"105","Bolivia","BOL",4,9,2.68069669640717,6806.50000000003,6806.5,30156,0.835020279139165,0.18748853474084
"106","Bolivia","BOL",5,10,1.69295427620205,4084.87500000001,4084.875,34240.875,0.946404163830477,0.111383884691312
"107","Bolivia","BOL",6,11,1.5543790350809,1301.125,1301.125,35542,0.980941583444836,0.0345374196143591
"108","Bolivia","BOL",7,12,4.45180656116915,625.875,625.875,36167.875,1,0.0190584165551641
"109","Bonaire, Saint Eustatius And Saba","BES",4,1,1.03767960148398,13,13,13,0.0272764491410209,0.0272764491410209
"110","Bonaire, Saint Eustatius And Saba","BES",5,2,1.50633582659454,9.66666666666667,9.66666666666667,22.6666666666667,0.0478324681745149,0.020556019033494
"111","Bonaire, Saint Eustatius And Saba","BES",6,3,1.43157956659707,10,10,32.6666666666667,0.0690605302187616,0.0212280620442467
"112","Bonaire, Saint Eustatius And Saba","BES",7,4,1.44995303088032,14,14,46.6666666666667,0.0992265068182755,0.0301659765995139
"113","Bonaire, Saint Eustatius And Saba","BES",8,5,1.50653353536915,16,16,62.6666666666667,0.133230080748156,0.0340035739298809
"114","Bonaire, Saint Eustatius And Saba","BES",9,6,1.43093332168671,17.6666666666667,17.6666666666667,80.3333333333333,0.170496539364726,0.0372664586165699
"115","Bonaire, Saint Eustatius And Saba","BES",10,7,1.55279553008146,27,27,107.333333333333,0.228132338400692,0.0576357990359659
"116","Bonaire, Saint Eustatius And Saba","BES",11,8,1.30318841376829,33.6666666666667,33.6666666666667,141,0.299597031681292,0.0714646932805998
"117","Bonaire, Saint Eustatius And Saba","BES",12,9,1.16334075154557,45.3333333333333,45.3333333333333,186.333333333333,0.395844662794051,0.096247631112759
"118","Bonaire, Saint Eustatius And Saba","BES",1,10,1.80961387464422,106.333333333333,106.333333333333,292.666666666667,0.634733809170683,0.238889146376632
"119","Bonaire, Saint Eustatius And Saba","BES",2,11,1.7518132909503,82.3333333333332,82.3333333333333,375,0.820491132122111,0.185757322951427
"120","Bonaire, Saint Eustatius And Saba","BES",3,12,1.87903721951,79.6666666666667,79.6666666666667,454.666666666667,1,0.179508867877889
"121","Brazil","BRA",10,1,6.46932017762526,13776.4,13776.4,13776.4,0.0143286649301101,0.0143286649301101
"122","Brazil","BRA",11,2,5.8921667627945,16021.8000000001,16021.8,29798.2,0.0311455487143904,0.0168168837842803
"123","Brazil","BRA",12,3,4.62673874805875,21388.8,21388.8,51187,0.0543245038729213,0.0231789551585309
"124","Brazil","BRA",1,4,3.46350277791447,76253.4,76253.4,127440.4,0.127295526512506,0.0729710226395848
"125","Brazil","BRA",2,5,2.78102783858113,129848.4,129848.4,257288.8,0.246058325204624,0.118762798692118
"126","Brazil","BRA",3,6,2.36680461155498,249227,249227,506515.8,0.464629480011582,0.218571154806958
"127","Brazil","BRA",4,7,4.20535648770665,260891.6,260891.6,767407.4,0.712750061842761,0.248120581831179
"128","Brazil","BRA",5,8,7.98349846378155,149748.2,149748.2,917155.6,0.86823745343566,0.155487391592899
"129","Brazil","BRA",6,9,10.436932624761,58221.4000000001,58221.4,975377,0.931587681801007,0.0633502283653475
"130","Brazil","BRA",7,10,9.06543644959859,28731.8,28731.8,1004108.8,0.963091174536163,0.031503492735156
"131","Brazil","BRA",8,11,10.6524973260188,18362.6,18362.6,1022471.4,0.983557577420118,0.0204664028839546
"132","Brazil","BRA",9,12,5.62249176238898,14964.4,14964.4,1037435.8,1,0.016442422579882
