country,iso3,Year,Month,date,cases,source
Afghanistan,AFG,2024,1,2024-01-01,260,WHO
Afghanistan,AFG,2024,2,2024-02-01,196,WHO
Afghanistan,AFG,2024,3,2024-03-01,157,WHO
Afghanistan,AFG,2024,4,2024-04-01,89,WHO
Afghanistan,AFG,2024,5,2024-05-01,241,WHO
Afghanistan,AFG,2024,6,2024-06-01,145,WHO
Afghanistan,AFG,2024,7,2024-07-01,314,WHO
Afghanistan,AFG,2024,8,2024-08-01,551,WHO
Afghanistan,AFG,2024,9,2024-09-01,450,WHO
Afghanistan,AFG,2024,10,2024-10-01,1197,WHO
Afghanistan,AFG,2024,11,2024-11-01,837,WHO
Afghanistan,AFG,2024,12,2024-12-01,285,WHO
Afghanistan,AFG,2025,1,2025-01-01,71,WHO
Afghanistan,AFG,2025,2,2025-02-01,26,WHO
Afghanistan,AFG,2025,3,2025-03-01,18,WHO
Afghanistan,AFG,2025,4,2025-04-01,NA,NA
Afghanistan,AFG,2025,5,2025-05-01,NA,NA
Afghanistan,AFG,2025,6,2025-06-01,NA,NA
Afghanistan,AFG,2025,7,2025-07-01,NA,NA
Afghanistan,AFG,2025,8,2025-08-01,NA,NA
Afghanistan,AFG,2025,9,2025-09-01,NA,NA
Afghanistan,AFG,2025,10,2025-10-01,NA,NA
Afghanistan,AFG,2025,11,2025-11-01,NA,NA
Afghanistan,AFG,2025,12,2025-12-01,NA,NA
Albania,ALB,2024,1,2024-01-01,0,WHO
Albania,ALB,2024,2,2024-02-01,0,WHO
Albania,ALB,2024,3,2024-03-01,0,WHO
Albania,ALB,2024,4,2024-04-01,0,WHO
Albania,ALB,2024,5,2024-05-01,0,WHO
Albania,ALB,2024,6,2024-06-01,0,WHO
Albania,ALB,2024,7,2024-07-01,0,WHO
Albania,ALB,2024,8,2024-08-01,0,WHO
Albania,ALB,2024,9,2024-09-01,0,WHO
Albania,ALB,2024,10,2024-10-01,0,WHO
Albania,ALB,2024,11,2024-11-01,0,WHO
Albania,ALB,2024,12,2024-12-01,0,WHO
Albania,ALB,2025,1,2025-01-01,0,WHO
Albania,ALB,2025,2,2025-02-01,0,WHO
Albania,ALB,2025,3,2025-03-01,0,WHO
Albania,ALB,2025,4,2025-04-01,0,WHO
Albania,ALB,2025,5,2025-05-01,0,WHO
Albania,ALB,2025,6,2025-06-01,0,WHO
Albania,ALB,2025,7,2025-07-01,0,WHO
Albania,ALB,2025,8,2025-08-01,0,WHO
Albania,ALB,2025,9,2025-09-01,NA,NA
Albania,ALB,2025,10,2025-10-01,NA,NA
Albania,ALB,2025,11,2025-11-01,NA,NA
Albania,ALB,2025,12,2025-12-01,NA,NA
Andorra,AND,2024,1,2024-01-01,0,WHO
Andorra,AND,2024,2,2024-02-01,0,WHO
Andorra,AND,2024,3,2024-03-01,0,WHO
Andorra,AND,2024,4,2024-04-01,0,WHO
Andorra,AND,2024,5,2024-05-01,0,WHO
Andorra,AND,2024,6,2024-06-01,0,WHO
Andorra,AND,2024,7,2024-07-01,0,WHO
Andorra,AND,2024,8,2024-08-01,0,WHO
Andorra,AND,2024,9,2024-09-01,0,WHO
Andorra,AND,2024,10,2024-10-01,0,WHO
Andorra,AND,2024,11,2024-11-01,0,WHO
Andorra,AND,2024,12,2024-12-01,0,WHO
Andorra,AND,2025,1,2025-01-01,0,WHO
Andorra,AND,2025,2,2025-02-01,0,WHO
Andorra,AND,2025,3,2025-03-01,0,WHO
Andorra,AND,2025,4,2025-04-01,0,WHO
Andorra,AND,2025,5,2025-05-01,0,WHO
Andorra,AND,2025,6,2025-06-01,0,WHO
Andorra,AND,2025,7,2025-07-01,0,WHO
Andorra,AND,2025,8,2025-08-01,0,WHO
Andorra,AND,2025,9,2025-09-01,NA,NA
Andorra,AND,2025,10,2025-10-01,NA,NA
Andorra,AND,2025,11,2025-11-01,NA,NA
Andorra,AND,2025,12,2025-12-01,NA,NA
Angola,AGO,2024,1,2024-01-01,0,WHO
Angola,AGO,2024,2,2024-02-01,0,WHO
Angola,AGO,2024,3,2024-03-01,0,WHO
Angola,AGO,2024,4,2024-04-01,0,WHO
Angola,AGO,2024,5,2024-05-01,6,WHO
Angola,AGO,2024,6,2024-06-01,0,WHO
Angola,AGO,2024,7,2024-07-01,12,WHO
Angola,AGO,2024,8,2024-08-01,53,WHO
Angola,AGO,2024,9,2024-09-01,7,WHO
Angola,AGO,2024,10,2024-10-01,3,WHO
Angola,AGO,2024,11,2024-11-01,2,WHO
Angola,AGO,2024,12,2024-12-01,3,WHO
Angola,AGO,2025,1,2025-01-01,NA,NA
Angola,AGO,2025,2,2025-02-01,60,WHO
Angola,AGO,2025,3,2025-03-01,NA,NA
Angola,AGO,2025,4,2025-04-01,NA,NA
Angola,AGO,2025,5,2025-05-01,NA,NA
Angola,AGO,2025,6,2025-06-01,NA,NA
Angola,AGO,2025,7,2025-07-01,34,WHO
Angola,AGO,2025,8,2025-08-01,58,WHO
Angola,AGO,2025,9,2025-09-01,NA,NA
Angola,AGO,2025,10,2025-10-01,NA,NA
Angola,AGO,2025,11,2025-11-01,NA,NA
Angola,AGO,2025,12,2025-12-01,NA,NA
Anguilla,AIA,2024,1,2024-01-01,NA,PAHO
Anguilla,AIA,2024,2,2024-02-01,NA,PAHO
Anguilla,AIA,2024,3,2024-03-01,NA,PAHO
Anguilla,AIA,2024,4,2024-04-01,NA,PAHO
Anguilla,AIA,2024,5,2024-05-01,NA,PAHO
Anguilla,AIA,2024,6,2024-06-01,NA,PAHO
Anguilla,AIA,2024,7,2024-07-01,NA,PAHO
Anguilla,AIA,2024,8,2024-08-01,NA,PAHO
Anguilla,AIA,2024,9,2024-09-01,5,WHO
Anguilla,AIA,2024,10,2024-10-01,0,WHO
Anguilla,AIA,2024,11,2024-11-01,0,WHO
Anguilla,AIA,2024,12,2024-12-01,0,WHO
Anguilla,AIA,2025,1,2025-01-01,0,WHO
Anguilla,AIA,2025,2,2025-02-01,0,WHO
Anguilla,AIA,2025,3,2025-03-01,1,PAHO
Anguilla,AIA,2025,4,2025-04-01,0,WHO
Anguilla,AIA,2025,5,2025-05-01,0,WHO
Anguilla,AIA,2025,6,2025-06-01,0,WHO
Anguilla,AIA,2025,7,2025-07-01,0,WHO
Anguilla,AIA,2025,8,2025-08-01,0,WHO
Anguilla,AIA,2025,9,2025-09-01,2,PAHO
Anguilla,AIA,2025,10,2025-10-01,NA,NA
Anguilla,AIA,2025,11,2025-11-01,NA,NA
Anguilla,AIA,2025,12,2025-12-01,NA,NA
Antigua and Barbuda,ATG,2024,1,2024-01-01,41,PAHO
Antigua and Barbuda,ATG,2024,2,2024-02-01,NA,PAHO
Antigua and Barbuda,ATG,2024,3,2024-03-01,0,WHO
Antigua and Barbuda,ATG,2024,4,2024-04-01,74,PAHO
Antigua and Barbuda,ATG,2024,5,2024-05-01,8,PAHO
Antigua and Barbuda,ATG,2024,6,2024-06-01,NA,PAHO
Antigua and Barbuda,ATG,2024,7,2024-07-01,28,WHO
Antigua and Barbuda,ATG,2024,8,2024-08-01,0,WHO
