"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","percentile_most_recent","Country","Region"
"1","Argentina","ARG",12,6,1.08995239055167,84.6000000000001,84.6,987.6,0.224355425834932,0.0340114562772121,2024,2024-12-01,83,"PAHO","Observed",370,581560,NA,98.9412052229462,"Argentina","South America"
"2","Argentina","ARG",11,5,1.03333381292279,39.4,39.4,903,0.19034396955772,0.0157921888350371,2024,2024-11-01,84,"PAHO","Observed",441,581477,NA,99.9988123624052,"Argentina","South America"
"3","Argentina","ARG",5,11,0.366184687838181,4809,4809,29549.8,0.957495119081165,0.153142693526824,2024,2024-05-01,18003,"PAHO","Observed",18802,580363,NA,94.0284671626694,"Argentina","South America"
"4","Argentina","ARG",7,1,1.03586141311859,36.6,36.6,36.6,0.0114334280162946,0.0114334280162946,2025,2025-07-01,17,"PAHO","Observed",1487,22157,57,100,"Argentina","South America"
"5","Argentina","ARG",3,9,0.302225401767932,9602.80000000003,9602.8,11532,0.528735485886739,0.21932965191017,2025,2025-03-01,8498,"PAHO","Observed",16072,10113,NA,81.4273743005194,"Argentina","South America"
"6","Argentina","ARG",2,8,0.575746934185739,744.600000000001,744.6,1929.2,0.309405833976569,0.0623062475600932,2024,2024-02-01,80049,"PAHO","Observed",258718,113047,NA,100,"Argentina","South America"
"7","Argentina","ARG",6,12,0.311043450354146,2031,2031,31580.8,1,0.0425048809188352,2025,2025-06-01,4558,"PAHO","Observed",4558,22140,NA,86.0923250086374,"Argentina","South America"
"8","Argentina","ARG",1,7,0.718608024722001,197,197,1184.6,0.247099586416476,0.0227441605815438,2025,2025-01-01,275,"PAHO","Observed",1113,275,NA,99.1300886765027,"Argentina","South America"
"9","Argentina","ARG",6,12,0.311043450354146,2031,2031,31580.8,1,0.0425048809188352,2024,2024-06-01,876,"PAHO","Observed",876,581239,NA,57.9391572740914,"Argentina","South America"
"10","Argentina","ARG",5,11,0.366184687838181,4809,4809,29549.8,0.957495119081165,0.153142693526824,2025,2025-05-01,1986,"PAHO","Observed",2074,17582,NA,54.8750222519477,"Argentina","South America"
"11","Argentina","ARG",3,9,0.302225401767932,9602.80000000003,9602.8,11532,0.528735485886739,0.21932965191017,2024,2024-03-01,229735,"PAHO","Observed",434499,342782,NA,99.9999940333133,"Argentina","South America"
"12","Argentina","ARG",8,2,1.26231658367712,10,10,46.6,0.0169958617200894,0.00556243370379478,2025,2025-08-01,4,"PAHO","Observed",235,22161,92,99.9999999998275,"Argentina","South America"
"13","Argentina","ARG",2,8,0.575746934185739,744.600000000001,744.6,1929.2,0.309405833976569,0.0623062475600932,2025,2025-02-01,1340,"PAHO","Observed",4331,1615,NA,98.7668982366234,"Argentina","South America"
"14","Argentina","ARG",12,6,1.08995239055167,84.6000000000001,84.6,987.6,0.224355425834932,0.0340114562772121,2025,2025-12-01,NA,NA,"Unobserved",NA,NA,NA,0.858955881738497,"Argentina","South America"
"15","Argentina","ARG",7,1,1.03586141311859,36.6,36.6,36.6,0.0114334280162946,0.0114334280162946,2024,2024-07-01,40,"PAHO","Observed",3499,581279,40,100,"Argentina","South America"
"16","Argentina","ARG",1,7,0.718608024722001,197,197,1184.6,0.247099586416476,0.0227441605815438,2024,2024-01-01,32998,"PAHO","Observed",133541,32998,NA,100,"Argentina","South America"
"17","Argentina","ARG",4,10,0.290885045752574,13208.8,13208.8,24740.8,0.804352425554341,0.275616939667602,2024,2024-04-01,219578,"PAHO","Observed",272987,562360,NA,99.9798697358616,"Argentina","South America"
"18","Argentina","ARG",9,3,1.06932905945633,15,15,61.6,0.0247803862922772,0.00778452457218784,2024,2024-09-01,31,"PAHO","Observed",1251,581341,123,100,"Argentina","South America"
"19","Argentina","ARG",10,4,0.199449266495169,801.999999999999,802,863.6,0.174551780722683,0.149771394430406,2024,2024-10-01,52,"PAHO","Observed",298,581393,176,64.0444682236315,"Argentina","South America"
"20","Argentina","ARG",10,4,0.199449266495169,801.999999999999,802,863.6,0.174551780722683,0.149771394430406,2025,2025-10-01,NA,NA,"Unobserved",NA,NA,NA,19.1027155184647,"Argentina","South America"
"21","Argentina","ARG",11,5,1.03333381292279,39.4,39.4,903,0.19034396955772,0.0157921888350371,2025,2025-11-01,NA,NA,"Unobserved",NA,NA,NA,2.26160642158094,"Argentina","South America"
"22","Argentina","ARG",8,2,1.26231658367712,10,10,46.6,0.0169958617200894,0.00556243370379478,2024,2024-08-01,31,"PAHO","Observed",1824,581310,88,100,"Argentina","South America"
"23","Argentina","ARG",9,3,1.06932905945633,15,15,61.6,0.0247803862922772,0.00778452457218784,2025,2025-09-01,1,"PAHO","Observed",40,22162,124,93.2680658165392,"Argentina","South America"
"24","Argentina","ARG",4,10,0.290885045752574,13208.8,13208.8,24740.8,0.804352425554341,0.275616939667602,2025,2025-04-01,5483,"PAHO","Observed",6817,15596,NA,62.003460343877,"Argentina","South America"
"25","Aruba","ABW",2,8,1.6094291733833,169.6,169.6,870.8,0.576877387182758,0.0957822272281225,2024,2024-02-01,6,"PAHO","Observed",10,9,NA,1.77524493526376,"Aruba","Caribbean"
"26","Aruba","ABW",5,11,0.899248807603224,238,238,1469.2,0.915298755044039,0.130379777584679,2025,2025-05-01,2,"PAHO","Observed",2,6,NA,1.81220865675019,"Aruba","Caribbean"
"27","Aruba","ABW",5,11,0.899248807603224,238,238,1469.2,0.915298755044039,0.130379777584679,2024,2024-05-01,41,"WHO","Observed",45,NA,NA,19.8351835234814,"Aruba","Caribbean"
"28","Aruba","ABW",12,6,1.4506825417704,206.8,206.8,547.2,0.393655092457932,0.131594164700566,2025,2025-12-01,NA,NA,"Unobserved",NA,NA,NA,0.0742775169092786,"Aruba","Caribbean"
"29","Aruba","ABW",7,1,0.796844863733115,85.7999999999999,85.8,85.8,0.0816330679437089,0.0816330679437089,2024,2024-07-01,24,"WHO","Observed",294,NA,24,95.6780459389009,"Aruba","Caribbean"
"30","Aruba","ABW",10,4,2.7607946259482,77.7999999999999,77.8,278.8,0.2144456968441,0.0538265486430809,2024,2024-10-01,4,"PAHO","Observed",19,NA,1379,5.49953324445513,"Aruba","Caribbean"
"31","Aruba","ABW",6,12,0.81223113814222,171.4,171.4,1640.6,1,0.0847012449559612,2025,2025-06-01,4,"PAHO","Observed",4,10,NA,4.98134110271398,"Aruba","Caribbean"
