iso3,country,step_2_initial_data,step_3a_who_od_clean,step_3a_who_od_selection,step_3b_combined_before_filter,step_3b_combined_after_filter,step_3c_seasonal_before_filter,step_3c_seasonal_after_filter,step_4_current_data,step_5_nowcast_merge,step_6_final,dropped_at_step,drop_reason,final_status
AFG,Afghanistan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3c_Seasonal_After_Filter,Filtered: <3 complete seasons,Dropped after current data selection
ALB,Albania,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
ASM,American samoa,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Step_3c_Seasonal_After_Filter,Filtered: <3 complete seasons,Dropped during seasonal filtering
AND,Andorra,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
AGO,Angola,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3c_Seasonal_After_Filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
AIA,Anguilla,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3c_Seasonal_After_Filter,Filtered: <3 complete seasons,Dropped after current data selection
ARM,Armenia,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
AUT,Austria,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
MDR,Autonomous Region of Madeira,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
AZE,Azerbaijan,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
BHS,Bahamas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3c_Seasonal_After_Filter,Filtered: <3 complete seasons,Dropped after current data selection
BLR,Belarus,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
BEL,Belgium,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
BEN,Benin,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
BMU,Bermuda,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3c_Seasonal_After_Filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
BIH,Bosnia and Herzegovina,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
BWA,Botswana,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
BGR,Bulgaria,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
BDI,Burundi,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
CPV,Cabo Verde,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
CMR,Cameroon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3c_Seasonal_After_Filter,Filtered: <3 complete seasons,Dropped after current data selection
CAN,Canada,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
CAF,Central African Republic,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
TCD,Chad,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
CHL,Chile,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3c_Seasonal_After_Filter,Filtered: <3 complete seasons,Dropped after current data selection
COM,Comoros,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
COG,Congo,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
HRV,Croatia,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
CYP,Cyprus,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
CZE,Czechia,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
COD,Democratic republic of congo,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped during combined filtering
DNK,Denmark,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3b_Combined_After_Filter,NA,Dropped after current data selection
