"country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion"
"Antigua And Barbuda","ATG",4,1,0.627047479840497,6.6,6.6,6.6,0.0200990763804858,0.0200990763804858
"Antigua And Barbuda","ATG",5,2,0.550673261705068,12,12,18.6,0.0560603978261838,0.035961321445698
"Antigua And Barbuda","ATG",6,3,0.534696461756915,10.8,10.8,29.4,0.0847596365613685,0.0286992387351848
"Antigua And Barbuda","ATG",7,4,0.485741212987846,14.2,14.2,43.6,0.122635278615786,0.0378756420544178
"Antigua And Barbuda","ATG",8,5,0.574605143273726,27.4,27.4,71,0.184974129068425,0.0623388504526386
"Antigua And Barbuda","ATG",9,6,0.553581134563825,32.2,32.2,103.2,0.260110449444497,0.0751363203760724
"Antigua And Barbuda","ATG",10,7,0.512279289376841,38.8,38.8,142,0.340259050548034,0.0801486011035363
"Antigua And Barbuda","ATG",11,8,0.48396280770829,48.2,48.2,190.2,0.435299295227476,0.0950402446794425
"Antigua And Barbuda","ATG",12,9,0.414689708084524,70.4,70.4,260.6,0.548951805017923,0.113652509790447
"Antigua And Barbuda","ATG",1,10,0.440614154079687,82.3999999999999,82.4,343,0.762383273195332,0.213431468177409
"Antigua And Barbuda","ATG",2,11,0.882873672819787,40,40,383,0.902537784249471,0.140154511054139
"Antigua And Barbuda","ATG",3,12,307451.10991617,24.8,24.8,407.8,1,0.0974622157505291
"Argentina","ARG",8,1,1.11066407784578,11.6,11.6,11.6,0.0056875597600479,0.0056875597600479
"Argentina","ARG",9,2,1.05070348528064,14,14,25.6,0.013059882857984,0.00737232309793614
"Argentina","ARG",10,3,0.209440301685689,802.200000000001,802.2,827.8,0.162679916442372,0.149620033584388
"Argentina","ARG",11,4,1.08777653619069,39.6,39.6,867.4,0.179477477012288,0.016797560569916
"Argentina","ARG",12,5,1.14344756955895,89.2000000000001,89.2,956.6,0.222793261368279,0.0433157843559905
"Argentina","ARG",1,6,0.755030276746932,199.6,199.6,1156.2,0.247235098658324,0.0244418372900453
"Argentina","ARG",2,7,0.592086161600907,746.6,746.6,1902.8,0.311122772777976,0.0638876741196518
"Argentina","ARG",3,8,0.302601529283385,9607.40000000001,9607.4,11510.2,0.529167552702395,0.218044779924419
"Argentina","ARG",4,9,0.287133390471294,13173.6,13173.6,24683.8,0.790768858102652,0.261601305400257
"Argentina","ARG",5,10,0.36704355688762,4816,4816,29499.8,0.942977551043999,0.152208692941347
"Argentina","ARG",6,11,0.311900246954607,2034,2034,31533.8,0.985260246970913,0.0422826959269141
"Argentina","ARG",7,12,0.312804666936408,700.999999999999,701,32234.8,1,0.0147397530290866
"Aruba","ABW",7,1,0.77092539638717,85.5999999999999,85.6,85.6,0.0817213177761141,0.0817213177761141
"Aruba","ABW",8,2,2.86728678260477,34.2,34.2,119.8,0.106595460480361,0.0248741427042468
"Aruba","ABW",9,3,2.45435380486942,75,75,194.8,0.157891406967475,0.0512959464871136
"Aruba","ABW",10,4,3.18261691315356,73.4,73.4,268.2,0.210417834652431,0.052526427684957
"Aruba","ABW",11,5,2.8405762459541,54.1999999999999,54.2,322.4,0.254336317309092,0.0439184826566604
"Aruba","ABW",12,6,1.32422460171403,202.6,202.6,525,0.383774760966511,0.129438443657419
"Aruba","ABW",1,7,1.63212034007213,151.2,151.2,676.2,0.46957770499027,0.0858029440237583
"Aruba","ABW",2,8,1.67495339956226,158.6,158.6,834.8,0.559045832124098,0.0894681271338285
"Aruba","ABW",3,9,1.65234868440093,217.2,217.2,1052,0.684156422791018,0.12511059066692
"Aruba","ABW",4,10,1.74346678307732,181.4,181.4,1233.4,0.787008013887828,0.10285159109681
"Aruba","ABW",5,11,0.930206008994464,244.2,244.2,1477.6,0.91916074882345,0.132152734935622
"Aruba","ABW",6,12,0.79354239011651,163,163,1640.6,1,0.0808392511765501
"Australia","AUS",9,1,774354.996955727,66.8333333333333,66.8333333333333,66.8333333333333,0.0549990268751304,0.0549990268751304
"Australia","AUS",10,2,1530678.09731509,93.4999999999999,93.5,160.333333333333,0.134732508736457,0.0797334818613263
"Australia","AUS",11,3,2.57776845341535,85.5833333333333,85.5833333333333,245.916666666667,0.208186952366661,0.0734544436302046
"Australia","AUS",12,4,1026224.86888136,92.9166666666667,92.9166666666667,338.833333333333,0.280895398863256,0.0727084464965944
"Australia","AUS",1,5,1089876.14655621,170.5,170.5,509.333333333333,0.405244526086728,0.124349127223473
"Australia","AUS",2,6,1.70095105063956,138.916666666666,138.916666666667,648.25,0.503789205216558,0.0985446791298301
"Australia","AUS",3,7,2.22358267030015,130.5,130.5,778.75,0.59947250409078,0.0956832988742222
"Australia","AUS",4,8,1.36984835917909,120.083333333334,120.083333333333,898.833333333333,0.681893447689702,0.0824209435989217
"Australia","AUS",5,9,1.30412930872372,112.166666666667,112.166666666667,1011,0.76512794280231,0.0832344951126084
"Australia","AUS",6,10,1.51774477198356,92.5,92.5,1103.5,0.838874235136555,0.0737462923342449
"Australia","AUS",7,11,1.55746333914867,105.333333333333,105.333333333333,1208.83333333333,0.928937121754748,0.0900628866181923
"Australia","AUS",8,12,1.43202396937069,78.8333333333332,78.8333333333333,1287.66666666667,1,0.0710628782452522
"Bangladesh","BGD",2,1,45436.1616956747,1.42857142857143,1.42857142857143,1.42857142857143,0.00284758905462603,0.00284758905462603
"Bangladesh","BGD",3,2,0.208561713003045,3,3,4.42857142857143,0.00412682583515634,0.0012792367805303
"Bangladesh","BGD",4,3,84786.5205921612,6.28571428571429,6.28571428571429,10.7142857142857,0.00528106826278577,0.00115424242762943
"Bangladesh","BGD",5,4,0.226919019523569,13.1428571428571,13.1428571428571,23.8571428571429,0.0108254963986596,0.00554442813587381
"Bangladesh","BGD",6,5,0.506768221947199,59.5714285714286,59.5714285714286,83.4285714285714,0.0349361939935937,0.0241106975949341
"Bangladesh","BGD",7,6,1.39010414194714,264.142857142857,264.142857142857,347.571428571429,0.18569009405416,0.150753900060566
"Bangladesh","BGD",8,7,1.3345341079755,529,529,876.571428571429,0.480194833322961,0.2945047392688
"Bangladesh","BGD",9,8,1.15872486627772,530.285714285715,530.285714285714,1406.85714285714,0.747791668979122,0.267596835656161
"Bangladesh","BGD",10,9,0.88353213661896,380.428571428572,380.428571428571,1787.28571428571,0.913249011274831,0.165457342295709
"Bangladesh","BGD",11,10,0.457909410136348,163.428571428572,163.428571428571,1950.71428571429,0.97939730654898,0.066148295274149
"Bangladesh","BGD",12,11,0.317923881203683,43.5714285714286,43.5714285714286,1994.28571428571,0.996183126167502,0.0167858196185216
"Bangladesh","BGD",1,12,91120.4346317151,17.1428571428572,17.1428571428571,2011.42857142857,1,0.00381687383249805
"Barbados","BRB",4,1,2.63367500316213,64,64,64,0.0394491004850093,0.0394491004850093
"Barbados","BRB",5,2,2.43727904470744,74.9999999999999,75,139,0.086168597759173,0.0467194972741637
"Barbados","BRB",6,3,2.71657114251852,78.0000000000001,78,217,0.135360665796452,0.0491920680372793
"Barbados","BRB",7,4,3.65332739922599,72.3333333333334,72.3333333333333,289.333333333333,0.182863767756376,0.0475031019599241
"Barbados","BRB",8,5,3.18173376998168,101.333333333333,101.333333333333,390.666666666667,0.247174669759118,0.0643109020027415
"Barbados","BRB",9,6,2.35225069923754,195.333333333334,195.333333333333,586,0.365590900788566,0.118416231029448
"Barbados","BRB",10,7,2.77952170045142,190.666666666667,190.666666666667,776.666666666667,0.484019361751275,0.118428460962709
"Barbados","BRB",11,8,2.18982526789899,166.333333333333,166.333333333333,943,0.584406042494902,0.100386680743627
"Barbados","BRB",12,9,4.25945978161322,116.333333333333,116.333333333333,1059.33333333333,0.661267315095944,0.0768612726010424
"Barbados","BRB",1,10,2.96236086868989,210.666666666666,210.666666666667,1270,0.821154557023128,0.159887241927184
"Barbados","BRB",2,11,3.07763390886327,129,129,1399,0.92173958165324,0.100585024630112
"Barbados","BRB",3,12,3.13948149096634,104.333333333333,104.333333333333,1503.33333333333,1,0.0782604183467601
"Belize","BLZ",4,1,2.54583480642888,157.909090909091,157.909090909091,157.909090909091,0.0496195512515672,0.0496195512515672
"Belize","BLZ",5,2,2.68170890070943,163.727272727272,163.727272727273,321.636363636364,0.0993850788753578,0.0497655276237906
"Belize","BLZ",6,3,1.75972514300056,251.272727272728,251.272727272727,572.909090909091,0.163833302214699,0.0644482233393408
"Belize","BLZ",7,4,1.65365247149851,343.818181818183,343.818181818182,916.727272727273,0.251988303370374,0.0881550011556751
"Belize","BLZ",8,5,1.05764179466984,524.727272727273,524.727272727273,1441.45454545455,0.361442250553892,0.109453947183518
"Belize","BLZ",9,6,1.12655546350992,551.363636363637,551.363636363636,1992.81818181818,0.479284122373245,0.117841871819353
"Belize","BLZ",10,7,1.25915643543254,525.272727272727,525.272727272727,2518.09090909091,0.598547334117173,0.119263211743928
"Belize","BLZ",11,8,1.18503002258633,427.000000000001,427,2945.09090909091,0.694353341493997,0.0958060073768242
"Belize","BLZ",12,9,1.54085859217677,254.727272727273,254.727272727273,3199.81818181818,0.757386489635071,0.0630331481410742
"Belize","BLZ",1,10,1.89892253996766,305.727272727272,305.727272727273,3505.54545454545,0.849252882685944,0.0918663930508728
"Belize","BLZ",2,11,2.37856037444277,225.909090909091,225.909090909091,3731.45454545455,0.920060542569312,0.0708076598833675
"Belize","BLZ",3,12,2.01505680262012,264.909090909091,264.909090909091,3996.36363636364,1,0.0799394574306883
"Bhutan","BTN",3,1,0.661059352594586,57.3333333333333,57.3333333333333,57.3333333333333,0.0452475419459429,0.0452475419459429
"Bhutan","BTN",4,2,0.709790651655925,59.2222222222222,59.2222222222222,116.555555555556,0.0956468770591126,0.0503993351131696
"Bhutan","BTN",5,3,0.716593011050063,45.6666666666667,45.6666666666667,162.222222222222,0.133782295550886,0.0381354184917734
"Bhutan","BTN",6,4,0.760632855147631,62.6666666666667,62.6666666666667,224.888888888889,0.187524320572681,0.0537420250217954
"Bhutan","BTN",7,5,0.776514068314588,82.4444444444443,82.4444444444444,307.333333333333,0.261779754945919,0.0742554343732373
"Bhutan","BTN",8,6,0.757794176659504,154.333333333333,154.333333333333,461.666666666667,0.39746759855741,0.135687843611491
"Bhutan","BTN",9,7,0.716301935867497,147.111111111111,147.111111111111,608.777777777778,0.519503541834328,0.122035943276918
"Bhutan","BTN",10,8,0.765442077741744,142.666666666666,142.666666666667,751.444444444444,0.645308074415376,0.125804532581048
"Bhutan","BTN",11,9,0.704341265566918,132.666666666667,132.666666666667,884.111111111111,0.75526237076728,0.109954296351904
"Bhutan","BTN",12,10,0.724855123882162,103.888888888889,103.888888888889,988,0.841709266964786,0.0864468961975057
"Bhutan","BTN",1,11,0.427077377237497,64.7777777777778,64.7777777777778,1052.77777777778,0.948606855175789,0.106897588211003
"Bhutan","BTN",2,12,0.300032392972343,30.6666666666667,30.6666666666667,1083.44444444444,1,0.0513931448242108
"Bolivia","BOL",8,1,3.94704169611976,529.249999999999,529.25,529.25,0.0180071728103852,0.0180071728103852
"Bolivia","BOL",9,2,3.61395021248049,506.000000000001,506,1035.25,0.035174667850891,0.0171674950405058
"Bolivia","BOL",10,3,2.89364137077374,896.124999999999,896.125,1931.375,0.0645215924013532,0.0293469245504623
"Bolivia","BOL",11,4,2.10271292850527,1637.875,1637.875,3569.25,0.118945861468434,0.0544242690670804
"Bolivia","BOL",12,5,1.76685828129972,2221.5,2221.5,5790.75,0.193124575215075,0.074178713746641
"Bolivia","BOL",1,6,1.38573013955127,4404.5,4404.5,10195.25,0.303977346057637,0.110852770842562
"Bolivia","BOL",2,7,1.68731641976005,5835.74999999999,5835.75,16031,0.451925380988016,0.14794803493038
"Bolivia","BOL",3,8,2.61525695785686,7277.37500000001,7277.375,23308.375,0.646363573988141,0.194438193000124
"Bolivia","BOL",4,9,2.80941475375232,6832.5,6832.5,30140.875,0.835576515976357,0.189212941988216
"Bolivia","BOL",5,10,1.68942319323693,4083.62499999999,4083.625,34224.5,0.946733691772785,0.111157175796429
"Bolivia","BOL",6,11,1.55389040459248,1290.375,1290.375,35514.875,0.981010199407291,0.0342765076345059
"Bolivia","BOL",7,12,4.7583017703245,624.374999999999,624.375,36139.25,1,0.0189898005927089
"Bonaire, Saint Eustatius And Saba","BES",5,1,1.68793759085755,10,10,10,0.0218094474117682,0.0218094474117682
"Bonaire, Saint Eustatius And Saba","BES",6,2,1.50633582659454,9.66666666666667,9.66666666666667,19.6666666666667,0.0430795204977544,0.0212700730859861
"Bonaire, Saint Eustatius And Saba","BES",7,3,1.12196619576794,14.6666666666667,14.6666666666667,34.3333333333333,0.0748281976221449,0.0317486771243905
"Bonaire, Saint Eustatius And Saba","BES",8,4,1.66503033832786,15,15,49.3333333333333,0.107806869611094,0.0329786719889494
"Bonaire, Saint Eustatius And Saba","BES",9,5,1.63630178653306,19,19,68.3333333333333,0.149969260253467,0.042162390642373
"Bonaire, Saint Eustatius And Saba","BES",10,6,1.36746289473781,29,29,97.3333333333333,0.213250477768832,0.0632812175153645
"Bonaire, Saint Eustatius And Saba","BES",11,7,1.41819850347456,30.3333333333334,30.3333333333333,127.666666666667,0.280298270492129,0.0670477927232976
"Bonaire, Saint Eustatius And Saba","BES",12,8,1.3152467264417,45,45,172.666666666667,0.379623742082412,0.0993254715902822
"Bonaire, Saint Eustatius And Saba","BES",1,9,1.65634512754229,108.333333333333,108.333333333333,281,0.607997153637172,0.228373411554761
"Bonaire, Saint Eustatius And Saba","BES",2,10,1.85564289869824,83.3333333333333,83.3333333333333,364.333333333333,0.78671869698395,0.178721543346778
"Bonaire, Saint Eustatius And Saba","BES",3,11,1.90117821089333,82,82,446.333333333333,0.963282743027599,0.176564046043649
"Bonaire, Saint Eustatius And Saba","BES",4,12,1.92903586728956,17.3333333333333,17.3333333333333,463.666666666667,1,0.0367172569724009
"Brazil","BRA",10,1,6.46932017762526,13776.4,13776.4,13776.4,0.0143286649301101,0.0143286649301101
"Brazil","BRA",11,2,5.8921667627945,16021.8000000001,16021.8,29798.2,0.0311455487143904,0.0168168837842803
"Brazil","BRA",12,3,4.62673874805875,21388.8,21388.8,51187,0.0543245038729213,0.0231789551585309
"Brazil","BRA",1,4,3.46350277791447,76253.4,76253.4,127440.4,0.127295526512506,0.0729710226395848
"Brazil","BRA",2,5,2.78102783858113,129848.4,129848.4,257288.8,0.246058325204624,0.118762798692118
"Brazil","BRA",3,6,2.36680461155498,249227,249227,506515.8,0.464629480011582,0.218571154806958
"Brazil","BRA",4,7,4.20535648770665,260891.6,260891.6,767407.4,0.712750061842761,0.248120581831179
"Brazil","BRA",5,8,7.98349846378155,149748.2,149748.2,917155.6,0.86823745343566,0.155487391592899
"Brazil","BRA",6,9,10.436932624761,58221.4000000001,58221.4,975377,0.931587681801007,0.0633502283653475
"Brazil","BRA",7,10,9.06543644959859,28731.8,28731.8,1004108.8,0.963091174536163,0.031503492735156
"Brazil","BRA",8,11,10.6524973260188,18362.6,18362.6,1022471.4,0.983557577420118,0.0204664028839546
"Brazil","BRA",9,12,5.62249176238898,14964.4,14964.4,1037435.8,1,0.016442422579882
"Brunei Darussalam","BRN",5,1,0.842192500395616,27.9285714285714,27.9285714285714,27.9285714285714,0.072233841292826,0.072233841292826
"Brunei Darussalam","BRN",6,2,0.823086740578605,23.4285714285714,23.4285714285714,51.3571428571429,0.130981421819086,0.0587475805262595
"Brunei Darussalam","BRN",7,3,0.943107456643898,29.2142857142857,29.2142857142857,80.5714285714286,0.208218587701277,0.077237165882191
"Brunei Darussalam","BRN",8,4,1.03891837646888,34.5714285714286,34.5714285714286,115.142857142857,0.305208263636666,0.0969896759353897
"Brunei Darussalam","BRN",9,5,1.6770488973163,25.3571428571428,25.3571428571429,140.5,0.38714338878343,0.0819351251467633
"Brunei Darussalam","BRN",10,6,1.52252576052748,27.6428571428572,27.6428571428571,168.142857142857,0.473789650720224,0.086646261936794
"Brunei Darussalam","BRN",11,7,1.29177712546951,32.7142857142857,32.7142857142857,200.857142857143,0.566657464516764,0.0928678137965403
"Brunei Darussalam","BRN",12,8,1.58513502210644,29.8571428571429,29.8571428571429,230.714285714286,0.658405951644579,0.0917484871278155
"Brunei Darussalam","BRN",1,9,0.902915946353707,36.7857142857143,36.7857142857143,267.5,0.763219062964127,0.104813111319548
"Brunei Darussalam","BRN",2,10,0.790638105582898,26.9285714285714,26.9285714285714,294.428571428571,0.839628570855337,0.0764095078912094
"Brunei Darussalam","BRN",3,11,1.11138001062254,23.5714285714286,23.5714285714286,318,0.927071676425543,0.087443105570206
"Brunei Darussalam","BRN",4,12,1.02668625766401,23.1428571428571,23.1428571428571,341.142857142857,1,0.0729283235744571
"Burkina Faso","BFA",4,1,665926.271638438,24,24,24,0.0162275638972094,0.0162275638972094
"Burkina Faso","BFA",5,2,189331.561019273,15.5,15.5,39.5,0.0242323522782805,0.00800478838107103
"Burkina Faso","BFA",6,3,198548.802754026,15.75,15.75,55.25,0.0329277483941581,0.00869539611587766
"Burkina Faso","BFA",7,4,366783.159739083,31.75,31.75,87,0.0510091483607201,0.0180813999665619
"Burkina Faso","BFA",8,5,801500.747803276,107.75,107.75,194.75,0.0945018563429759,0.0434927079822558
"Burkina Faso","BFA",9,6,0.253400311280883,301.75,301.75,496.5,0.170172616154601,0.0756707598116247
"Burkina Faso","BFA",10,7,0.549933578550195,2615.5,2615.5,3112,0.614212451369811,0.444039835215211
"Burkina Faso","BFA",11,8,0.622455105592532,1101.75,1101.75,4213.75,0.826955098621975,0.212742647252164
"Burkina Faso","BFA",12,9,0.87913763753611,303.75,303.75,4517.5,0.909092519792934,0.0821374211709583
"Burkina Faso","BFA",1,10,1149198.95611731,138.75,138.75,4656.25,0.948623806547851,0.0395312867549175
"Burkina Faso","BFA",2,11,635068.468784583,58.5,58.5,4714.75,0.972407804083642,0.023783997535791
"Burkina Faso","BFA",3,12,506087.537362301,51,51,4765.75,1,0.0275921959163578
"Cambodia","KHM",2,1,0.746443882259167,328.142857142858,328.142857142857,328.142857142857,0.0198981471931896,0.0198981471931896
"Cambodia","KHM",3,2,0.676823185531578,452.357142857143,452.357142857143,780.5,0.0435483731949707,0.0236502260017811
"Cambodia","KHM",4,3,1.01047188396715,639.642857142858,639.642857142857,1420.14285714286,0.0728201355849598,0.0292717623899891
"Cambodia","KHM",5,4,1.28592075138243,1397.78571428572,1397.78571428571,2817.92857142857,0.139200884845328,0.0663807492603685
"Cambodia","KHM",6,5,0.96608923758499,3334.85714285713,3334.85714285714,6152.78571428571,0.277874325228594,0.138673440383266
"Cambodia","KHM",7,6,1.0927567680474,4168.71428571427,4168.71428571429,10321.5,0.462828726043724,0.18495440081513
"Cambodia","KHM",8,7,1.61878815220313,3246.14285714286,3246.14285714286,13567.6428571429,0.632104560078399,0.169275834034675
"Cambodia","KHM",9,8,1.53847564912099,2389.92857142856,2389.92857142857,15957.5714285714,0.752435120898575,0.120330560820176
"Cambodia","KHM",10,9,1.79799823696467,1758.42857142856,1758.42857142857,17716,0.848650629504216,0.0962155086056412
"Cambodia","KHM",11,10,1.80433107756725,1182.07142857143,1182.07142857143,18898.0714285714,0.917099090024815,0.0684484605205991
"Cambodia","KHM",12,11,1.45180643542439,778.642857142856,778.642857142857,19676.7142857143,0.961656235943143,0.0445571459183278
"Cambodia","KHM",1,12,0.639206397579024,654.57142857143,654.571428571429,20331.2857142857,1,0.0383437640568568
"Cayman Islands","CYM",4,1,57099.2002201153,2.33333333333333,2.33333333333333,2.33333333333333,0.0171883893798353,0.0171883893798353
"Cayman Islands","CYM",5,2,108956.79232282,2,2,4.33333333333333,0.0328044517156455,0.0156160623358102
"Cayman Islands","CYM",6,3,1.25340877114822,8,8,12.3333333333333,0.106672941235922,0.0738684895202762
"Cayman Islands","CYM",7,4,1.77100576027905,7.33333333333333,7.33333333333333,19.6666666666667,0.153628336347794,0.0469553951118719
"Cayman Islands","CYM",8,5,1.98531402917638,7.66666666666667,7.66666666666667,27.3333333333333,0.220932742092042,0.0673044057442488
"Cayman Islands","CYM",9,6,56.9563273445357,5.66666666666667,5.66666666666667,33,0.263949511474952,0.0430167693829095
"Cayman Islands","CYM",10,7,1.03495012897512,36,36,69,0.477035532731283,0.213086021256332
"Cayman Islands","CYM",11,8,1.5369473364495,24,24,93,0.628999599241718,0.151964066510434
"Cayman Islands","CYM",12,9,2.06197306031162,9,9,102,0.687739639064879,0.058740039823161
"Cayman Islands","CYM",1,10,6.54160173831482,18.6666666666667,18.6666666666667,120.666666666667,0.869347009648378,0.1816073705835
"Cayman Islands","CYM",2,11,8.26905076637371,9.99999999999999,10,130.666666666667,0.966920772684428,0.0975737630360493
"Cayman Islands","CYM",3,12,50609.5096884237,3.33333333333333,3.33333333333333,134,1,0.0330792273155722
"China","CHN",3,1,115185.912829788,7.54545454545455,7.54545454545455,7.54545454545455,0.000523424957724354,0.000523424957724354
"China","CHN",4,2,191716.990162976,13.5454545454545,13.5454545454545,21.0909090909091,0.00131911928060731,0.000795694322882951
"China","CHN",5,3,300698.261886827,30.1818181818182,30.1818181818182,51.2727272727273,0.00323179350693436,0.00191267422632706
"China","CHN",6,4,0.0875919168894858,89.3636363636363,89.3636363636364,140.636363636364,0.0110263585219355,0.00779456501500112
"China","CHN",7,5,0.143770133997335,173.272727272727,173.272727272727,313.909090909091,0.0358718202316155,0.02484546170968
"China","CHN",8,6,0.271062005266897,686.363636363636,686.363636363636,1000.27272727273,0.158276876532286,0.122405056300671
"China","CHN",9,7,0.323758980853079,2759.90909090909,2759.90909090909,3760.18181818182,0.462542130901531,0.304265254369245
"China","CHN",10,8,0.409521356573463,3876.27272727273,3876.27272727273,7636.45454545455,0.829821217027035,0.367279086125504
"China","CHN",11,9,0.617176455722462,744.727272727271,744.727272727273,8381.18181818182,0.964959927697034,0.135138710669999
"China","CHN",12,10,0.443782082473024,101,101,8482.18181818182,0.984113100448065,0.0191531727510307
"China","CHN",1,11,0.0529169241659778,18.5454545454546,18.5454545454545,8500.72727272727,0.994545994293222,0.0104328938451574
"China","CHN",2,12,0.0667702397740829,8.63636363636363,8.63636363636363,8509.36363636364,1,0.00545400570677788
"Colombia","COL",1,1,3.59295027929476,7897.99999999999,7898,7898,0.0915046635895231,0.0915046635895231
"Colombia","COL",2,2,1.8948085194885,8077,8077,15975,0.173291432485953,0.0817867688964298
"Colombia","COL",3,3,1.61414056392864,8856,8856,24831,0.258653456141317,0.0853620236553636
"Colombia","COL",4,4,1.80040265734628,9511,9511,34342,0.352787221358056,0.0941337652167396
"Colombia","COL",5,5,1.79173238166554,10600,10600,44942,0.45850854039812,0.105721319040064
"Colombia","COL",6,6,1.99080130416328,9311.75,9311.75,54253.75,0.552923437525754,0.0944148971276337
"Colombia","COL",7,7,3.16439586385023,8042.25000000002,8042.25,62296,0.642584801882843,0.0896613643570889
"Colombia","COL",8,8,2.37736365212238,7016.24999999999,7016.25,69312.25,0.716510445980308,0.0739256440974654
"Colombia","COL",9,9,3.16713663344991,6406.50000000001,6406.5,75718.75,0.790533693344437,0.0740232473641289
"Colombia","COL",10,10,5.24273687667823,5823.00000000001,5823,81541.75,0.862685585487733,0.0721518921432965
"Colombia","COL",11,11,4.27570231044061,5265.75000000001,5265.75,86807.5,0.931336822906209,0.0686512374184757
"Colombia","COL",12,12,5.39527481071987,4939.75000000001,4939.75,91747.25,1,0.0686631770937908
"Cook Islands","COK",12,1,0.612381906859765,7.25,7.25,7.25,0.014825782812662,0.014825782812662
"Cook Islands","COK",1,2,1.18294787005715,11,11,18.25,0.0425589547695185,0.0277331719568565
"Cook Islands","COK",2,3,1.98253823541444,49.5,49.5,67.75,0.187934644775056,0.145375690005538
"Cook Islands","COK",3,4,2.26154089536198,97.7500000000001,97.75,165.5,0.47307731980162,0.285142675026564
"Cook Islands","COK",4,5,1.47496550300667,63.5,63.5,229,0.638354077975277,0.165276758173657
"Cook Islands","COK",5,6,1.66200784795682,47.75,47.75,276.75,0.76522050418818,0.126866426212903
"Cook Islands","COK",6,7,1.55903835248796,28,28,304.75,0.837926004824992,0.072705500636812
"Cook Islands","COK",7,8,1.2516798650501,23.25,23.25,328,0.893705388328994,0.0557793835040019
"Cook Islands","COK",8,9,1.26261721072541,13.5,13.5,341.5,0.926081970762362,0.0323765824333679
"Cook Islands","COK",9,10,1.64910031759899,10.5,10.5,352,0.965890066449376,0.0398080956870141
"Cook Islands","COK",10,11,0.949312975288051,5,5,357,0.983430784520025,0.0175407180706488
"Cook Islands","COK",11,12,1.23281444059531,4.25,4.25,361.25,1,0.0165692154799752
"Costa Rica","CRI",4,1,1.95819260137732,901.874999999998,901.875,901.875,0.033384313433803,0.033384313433803
"Costa Rica","CRI",5,2,2.20672935563584,1562.125,1562.125,2464,0.0908744644660806,0.0574901510322775
"Costa Rica","CRI",6,3,2.52305154628894,2494.75,2494.75,4958.75,0.185908241889155,0.0950337774230745
"Costa Rica","CRI",7,4,2.50362594773001,3524.75,3524.75,8483.5,0.319988359004257,0.134080117115101
"Costa Rica","CRI",8,5,2.50439715574862,3646.87499999999,3646.875,12130.375,0.449967729613149,0.129979370608892
"Costa Rica","CRI",9,6,2.1040866469796,3169.375,3169.375,15299.75,0.557074429622142,0.107106700008993
"Costa Rica","CRI",10,7,1.96489118152952,3228.37499999999,3228.375,18528.125,0.664044951466245,0.106970521844103
"Costa Rica","CRI",11,8,1.46875368254087,3331.00000000001,3331,21859.125,0.770407490198251,0.106362538732007
"Costa Rica","CRI",12,9,1.28736609609577,2094.375,2094.375,23953.5,0.835934987602669,0.0655274974044176
"Costa Rica","CRI",1,10,1.36069278069847,2264,2264,26217.5,0.919737726696149,0.08380273909348
"Costa Rica","CRI",2,11,1.43879602212399,1161.25,1161.25,27378.75,0.964645565945304,0.0449078392491552
"Costa Rica","CRI",3,12,1.49938265412713,903.874999999998,903.875,28282.625,1,0.0353544340546961
"Cote D'ivoire","CIV",1,1,3.09774074076001,131.5,131.5,131.5,0.0355167148190854,0.0355167148190854
"Cote D'ivoire","CIV",2,2,7.35812541449893,103,103,234.5,0.0641682830289759,0.0286515682098905
"Cote D'ivoire","CIV",3,3,5.66018074635307,88.5,88.5,323,0.0903709305860824,0.0262026475571065
"Cote D'ivoire","CIV",4,4,3.29588089359214,62,62,385,0.109393596589828,0.0190226660037451
"Cote D'ivoire","CIV",5,5,3.11480219021878,155.25,155.25,540.25,0.155656419971594,0.0462628233817666
"Cote D'ivoire","CIV",6,6,1.33230377503775,643.5,643.5,1183.75,0.298033653614895,0.142377233643301
