"iso3","season_nMonth","nb_size","nb_mean","nb_size_cum","nb_mean_cum","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Month","Data_status","cum_todate_cases_season","Predicted_total_seasonal_cases","cum_todate_cases_calendar","Region","country","nb_size_cum_at_month","nb_mean_cum_at_month","percentile_cumulative","severity","severity_interpretation","z_score_cumulative","current_season_severity","current_season_percentile","current_season_interpretation","Country"
"ABW",7,0.523977425521591,96.375,0.85154619794028,345.75,96.375,345.75,0.406575379093749,0.0908168197393885,2025,2025-01-01,0,"WHO",1,"Observed",7,22,0,"Caribbean","Aruba",0.85154619794028,345.75,3.6649495919807,"Extremely Low","Rare good event - unusually low cases to date",-0.902998582778989,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
"ABW",8,0.486238411325166,102.875,0.944373049276481,448.625,102.875,448.625,0.520279964132316,0.113704585038567,2025,2025-02-01,2,"PAHO",2,"Observed",9,22,2,"Caribbean","Aruba",0.944373049276481,448.625,2.63231090802177,"Extremely Low","Rare good event - unusually low cases to date",-0.951292514374222,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
"ABW",9,0.61062282757391,142.5,1.021089726529,591.125,142.5,591.125,0.690037185327113,0.169757221194798,2025,2025-03-01,0,"WHO",3,"Observed",9,22,2,"Caribbean","Aruba",1.021089726529,591.125,1.55800375536186,"Extremely Low","Rare good event - unusually low cases to date",-0.994246584832252,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
"ABW",10,0.663569318392091,119.5,1.08012330785417,710.625000000001,119.5,710.625,0.840622096875863,0.15058491154875,2025,2025-04-01,2,"PAHO",4,"Observed",11,22,4,"Caribbean","Aruba",1.08012330785417,710.625000000001,1.26809422469363,"Extremely Low","Rare good event - unusually low cases to date",-1.02242556861354,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
"ABW",11,0.490993103610434,88,1.0915685469586,798.625000000002,88,798.625,0.943142511624407,0.102520414748544,2025,2025-05-01,2,"PAHO",5,"Observed",13,22,6,"Caribbean","Aruba",1.0915685469586,798.625000000002,1.26883102208135,"Extremely Low","Rare good event - unusually low cases to date",-1.02707298020046,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
"ABW",12,0.367412346316666,51.6249999999999,1.08562056007814,850.25,51.625,850.25,1,0.056857488375593,2025,2025-06-01,4,"PAHO",6,"Observed",17,22,10,"Caribbean","Aruba",1.08562056007814,850.25,1.58485574761319,"Extremely Low","Rare good event - unusually low cases to date",-1.02044741379506,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
"ABW",1,NA,NA,NA,NA,21.5,21.5,0.0257203595112303,0.0257203595112303,2025,2025-07-01,2,"PAHO",7,"Observed",2,22,12,"Caribbean","Aruba",NA,NA,NA,"Unknown","Cannot determine",NA,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
"ABW",2,0.909660246781697,32.75,0.781271491650606,54.2500000000001,32.75,54.25,0.0699659282211139,0.0442455687098836,2025,2025-08-01,2,"PAHO",8,"Observed",4,22,14,"Caribbean","Aruba",0.781271491650606,54.2500000000001,13.1069105569425,"Low","Below average - fewer cases than typical at this point",-0.812891177110961,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
"ABW",3,0.858908755850253,62.375,0.838822146163143,116.625,62.375,116.625,0.152270584717755,0.0823046564966407,2025,2025-09-01,1,"Estimates",9,"Unobserved",5,22,15,"Caribbean","Aruba",0.838822146163143,116.625,7.35165162540456,"Low","Below average - fewer cases than typical at this point",-0.87347106596223,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
"ABW",4,0.677947828263531,64.25,0.778968026557386,180.875,64.25,180.875,0.230735698611633,0.0784651138938783,2025,2025-10-01,1,"Estimates",10,"Unobserved",6,22,16,"Caribbean","Aruba",0.778968026557386,180.875,6.87339563404678,"Low","Below average - fewer cases than typical at this point",-0.851482696771978,"Low",6.27507108118114,"Below average - fewer cases than typical at this point","Aruba"
