"iso3","country","region","out_file","status","error"
"AFG","Afghanistan","South Asia","Assets/Stable/country_maps/afg.png","ok",NA
"ATG","Antigua and Barbuda","Caribbean","Assets/Stable/country_maps/atg.png","ok",NA
"ARG","Argentina","South America","Assets/Stable/country_maps/arg.png","ok",NA
"ABW","Aruba","Caribbean","Assets/Stable/country_maps/abw.png","ok",NA
"AUS","Australia","Pacific Islands","Assets/Stable/country_maps/aus.png","ok",NA
"BHS","Bahamas","Caribbean","Assets/Stable/country_maps/bhs.png","ok",NA
"BGD","Bangladesh","South Asia","Assets/Stable/country_maps/bgd.png","ok",NA
"BRB","Barbados","Caribbean","Assets/Stable/country_maps/brb.png","ok",NA
"BLZ","Belize","North & Central America","Assets/Stable/country_maps/blz.png","ok",NA
"BTN","Bhutan","South Asia","Assets/Stable/country_maps/btn.png","ok",NA
"BOL","Bolivia","South America","Assets/Stable/country_maps/bol.png","ok",NA
"BES","Bonaire, Saint Eustatius and Saba","Caribbean","Assets/Stable/country_maps/bes.png","ok",NA
"BRA","Brazil","South America","Assets/Stable/country_maps/bra.png","ok",NA
"BRN","Brunei darussalam","East & Southeast Asia","Assets/Stable/country_maps/brn.png","ok",NA
"BFA","Burkina Faso","Sub-Saharan Africa","Assets/Stable/country_maps/bfa.png","ok",NA
"KHM","Cambodia","East & Southeast Asia","Assets/Stable/country_maps/khm.png","ok",NA
"CYM","Cayman Islands","Caribbean","Assets/Stable/country_maps/cym.png","ok",NA
"CHL","Chile","South America","Assets/Stable/country_maps/chl.png","ok",NA
"CHN","China","East & Southeast Asia","Assets/Stable/country_maps/chn.png","ok",NA
"COL","Colombia","South America","Assets/Stable/country_maps/col.png","ok",NA
"COK","Cook Islands","Pacific Islands","Assets/Stable/country_maps/cok.png","ok",NA
"CRI","Costa Rica","North & Central America","Assets/Stable/country_maps/cri.png","ok",NA
"CUB","Cuba","Caribbean","Assets/Stable/country_maps/cub.png","ok",NA
"CUW","Curaçao","Caribbean","Assets/Stable/country_maps/cuw.png","ok",NA
"CIV","Côte d'Ivoire","Sub-Saharan Africa","Assets/Stable/country_maps/civ.png","ok",NA
"DMA","Dominica","Caribbean","Assets/Stable/country_maps/dma.png","ok",NA
"DOM","Dominican Republic","Caribbean","Assets/Stable/country_maps/dom.png","ok",NA
"ECU","Ecuador","South America","Assets/Stable/country_maps/ecu.png","ok",NA
