"country","region","type_of_missingness","accompanying_text","data_status_message"
"Afghanistan","South Asia","Full data","Afghanistan is estimated to have experienced <span class=""scrolly-step-number"">602</span> cases this year to date. This is <span class=""scrolly-step-number"">3.4×</span> the number of cases reported in an average year. This year the dengue situation in Afghanistan is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain estimated data"
"Antigua And Barbuda","Caribbean","Full data","Antigua And Barbuda is estimated to have experienced <span class=""scrolly-step-number"">4</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Antigua And Barbuda is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Argentina","South America","Full data","Argentina is estimated to have experienced <span class=""scrolly-step-number"">9</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Argentina is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Aruba","Caribbean","Full data","Aruba is estimated to have experienced <span class=""scrolly-step-number"">4</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Aruba is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain estimated data"
"Australia","Pacific Islands","Full data","Australia is estimated to have experienced <span class=""scrolly-step-number"">330</span> cases this year to date. This is <span class=""scrolly-step-number"">1.0×</span> the number of cases reported in an average year. This year the dengue situation in Australia is <span class=""scrolly-modifier near"">near</span> average.","Some recent months contain estimated data"
"Bahamas","Caribbean","No current year data reported","Current year data for Bahamas has not been reported yet. We do not have enough data to estimate current cases.","Recent months contain observed data only"
"Bangladesh","South Asia","Full data","Bangladesh is estimated to have experienced <span class=""scrolly-step-number"">1,490</span> cases this year to date. This is <span class=""scrolly-step-number"">5.2×</span> the number of cases reported in an average year. This year the dengue situation in Bangladesh is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain observed data only"
"Barbados","Caribbean","Full data","Barbados is estimated to have experienced <span class=""scrolly-step-number"">13</span> cases this year to date. This is <span class=""scrolly-step-number"">0.1×</span> the number of cases reported in an average year. This year the dengue situation in Barbados is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Belize","North & Central America","Full data","Belize is estimated to have experienced <span class=""scrolly-step-number"">232</span> cases this year to date. This is <span class=""scrolly-step-number"">0.5×</span> the number of cases reported in an average year. This year the dengue situation in Belize is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Bhutan","South Asia","Full data","Bhutan is estimated to have experienced <span class=""scrolly-step-number"">0</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Bhutan is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Bolivia","South America","Full data","Bolivia is estimated to have experienced <span class=""scrolly-step-number"">14,880</span> cases this year to date. This is <span class=""scrolly-step-number"">0.9×</span> the number of cases reported in an average year. This year the dengue situation in Bolivia is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Bonaire, Saint Eustatius And Saba","Caribbean","No current year data reported","Current year data for Bonaire, Saint Eustatius And Saba has not been reported yet. We do not have enough data to estimate current cases.","Recent months contain observed data only"
"Brazil","South America","Full data","Brazil is estimated to have experienced <span class=""scrolly-step-number"">300,454</span> cases this year to date. This is <span class=""scrolly-step-number"">0.6×</span> the number of cases reported in an average year. This year the dengue situation in Brazil is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Burkina Faso","Sub-Saharan Africa","Full data","Burkina Faso is estimated to have experienced <span class=""scrolly-step-number"">5,318</span> cases this year to date. This is <span class=""scrolly-step-number"">1.6×</span> the number of cases reported in an average year. This year the dengue situation in Burkina Faso is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Cambodia","East & Southeast Asia","Full data","Cambodia is estimated to have experienced <span class=""scrolly-step-number"">3,790</span> cases this year to date. This is <span class=""scrolly-step-number"">3.3×</span> the number of cases reported in an average year. This year the dengue situation in Cambodia is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Cayman Islands","Caribbean","Full data","Cayman Islands is estimated to have experienced <span class=""scrolly-step-number"">0</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Cayman Islands is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
