"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Canada","CAN",2024,"20260610",10,2024-03-04,0,NA,0,118,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260610",10,2025-03-03,0,NA,0,66,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260610",10,2026-03-02,0,NA,0,14,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260610",10,2024-03-04,220,NA,220,118,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2025,"20260610",10,2025-03-03,156,NA,156,66,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260610",10,2026-03-02,54,NA,54,14,NA,FALSE,TRUE,"no_lookup_match"
"Belize","BLZ",2024,"20260610",10,2024-03-04,159,NA,159,118,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2025,"20260610",10,2025-03-03,129,NA,129,66,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2026,"20260610",10,2026-03-02,263,NA,263,14,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2024,"20260610",10,2024-03-04,5415,NA,5415,118,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2025,"20260610",10,2025-03-03,852,NA,852,66,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2026,"20260610",10,2026-03-02,428,418,418,14,0.976656998579012,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2025,"20260610",10,2025-03-03,866,NA,866,66,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2024,"20260610",10,2024-03-04,1101,NA,1101,118,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2026,"20260610",10,2026-03-02,1196,1196,1196,14,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2025,"20260610",10,2025-03-03,9040,NA,9040,66,NA,FALSE,TRUE,"no_lookup_match"
"Guatemala","GTM",2026,"20260610",10,2026-03-02,3262,4341,4341,14,1.33074652842428,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2024,"20260610",10,2024-03-04,13533,NA,13533,118,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2025,"20260610",10,2025-03-03,3085,NA,3085,66,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2024,"20260610",10,2024-03-04,7856,NA,7856,118,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2026,"20260610",10,2026-03-02,1896,1896,1896,14,1,TRUE,FALSE,"applied_mean"
"Mexico","MEX",2024,"20260610",10,2024-03-04,38656,NA,38656,118,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2025,"20260610",10,2025-03-03,21459,NA,21459,66,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2026,"20260610",10,2026-03-02,12125,12112,12112,14,0.998889117313821,TRUE,FALSE,"applied_mean"
"Nicaragua","NIC",2025,"20260610",4,2025-01-20,5702,NA,5702,72,NA,FALSE,TRUE,"no_lookup_match"
"Nicaragua","NIC",2024,"20260610",10,2024-03-04,17335,NA,17335,118,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2026,"20260610",10,2026-03-02,2033,1941,1941,14,0.954891997378436,TRUE,FALSE,"applied_mean"
"Panama","PAN",2024,"20260610",10,2024-03-04,4013,NA,4013,118,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2025,"20260610",10,2025-03-03,3952,NA,3952,66,NA,FALSE,TRUE,"no_lookup_match"
"Bolivia","BOL",2024,"20260610",10,2024-03-04,17269,NA,17269,118,NA,FALSE,TRUE,"no_lookup_match"
"Bolivia","BOL",2025,"20260610",10,2025-03-03,8360,NA,8360,66,NA,FALSE,TRUE,"no_lookup_match"
"Bolivia","BOL",2026,"20260610",10,2026-03-02,30183,34221,34221,14,1.13379065227522,TRUE,FALSE,"applied_mean"
"Colombia","COL",2025,"20260610",10,2025-03-03,37883,NA,37883,66,NA,FALSE,TRUE,"no_lookup_match"
"Colombia","COL",2026,"20260610",10,2026-03-02,23111,23111,23111,14,1,TRUE,FALSE,"applied_mean"
"Colombia","COL",2024,"20260610",10,2024-03-04,62926,NA,62926,118,NA,FALSE,TRUE,"no_lookup_match"
