"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Canada","CAN",2024,"20260805",10,2024-03-04,0,NA,0,126,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260805",10,2025-03-03,0,NA,0,74,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260805",10,2026-03-02,0,NA,0,22,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260805",10,2024-03-04,220,NA,220,126,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2025,"20260805",10,2025-03-03,156,NA,156,74,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260805",10,2026-03-02,54,NA,54,22,NA,FALSE,TRUE,"no_lookup_match"
"Belize","BLZ",2024,"20260805",10,2024-03-04,159,NA,159,126,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2025,"20260805",10,2025-03-03,129,NA,129,74,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2026,"20260805",10,2026-03-02,263,NA,263,22,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2024,"20260805",10,2024-03-04,5415,NA,5415,126,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2025,"20260805",10,2025-03-03,852,NA,852,74,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2026,"20260805",10,2026-03-02,422,420,420,22,0.995682055719068,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2025,"20260805",10,2025-03-03,866,NA,866,74,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2024,"20260805",10,2024-03-04,1101,NA,1101,126,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2026,"20260805",10,2026-03-02,1196,1196,1196,22,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2025,"20260805",10,2025-03-03,9040,NA,9040,74,NA,FALSE,TRUE,"no_lookup_match"
"Guatemala","GTM",2026,"20260805",10,2026-03-02,6358,8836,8836,22,1.38966761324434,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2024,"20260805",10,2024-03-04,13533,NA,13533,126,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2025,"20260805",10,2025-03-03,3085,NA,3085,74,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2024,"20260805",10,2024-03-04,7856,NA,7856,126,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2026,"20260805",10,2026-03-02,1896,1896,1896,22,1,TRUE,FALSE,"applied_mean"
"Mexico","MEX",2024,"20260805",10,2024-03-04,38656,NA,38656,126,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2025,"20260805",10,2025-03-03,21459,NA,21459,74,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2026,"20260805",10,2026-03-02,12121,12106,12106,22,0.998781330982532,TRUE,FALSE,"applied_mean"
"Nicaragua","NIC",2025,"20260805",4,2025-01-20,5702,NA,5702,80,NA,FALSE,TRUE,"no_lookup_match"
"Nicaragua","NIC",2024,"20260805",10,2024-03-04,17335,NA,17335,126,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2026,"20260805",10,2026-03-02,1997,1883,1883,22,0.942729250666136,TRUE,FALSE,"applied_mean"
"Panama","PAN",2024,"20260805",10,2024-03-04,4013,NA,4013,126,NA,FALSE,TRUE,"no_lookup_match"
