"","country","iso3","Year","Month","source","date","cases","raw_cases","corrected_cases","d","rf","correction_applied","correction_reason","missing_reason"
"1","Afghanistan","AFG",2025,1,"WHO",2025-01-01,71,71,NA,19,NA,FALSE,"no_lookup_match",NA
"2","Afghanistan","AFG",2025,2,"WHO",2025-02-01,26,26,NA,18,NA,FALSE,"no_lookup_match",NA
"3","Afghanistan","AFG",2025,3,"WHO",2025-03-01,18,18,NA,17,NA,FALSE,"no_lookup_match",NA
"4","Afghanistan","AFG",2025,4,"WHO",2025-04-01,131,131,NA,16,NA,FALSE,"no_lookup_match",NA
"5","Afghanistan","AFG",2025,5,"WHO",2025-05-01,216,216,NA,15,NA,FALSE,"no_lookup_match",NA
"6","Afghanistan","AFG",2025,6,"WHO",2025-06-01,166,166,NA,14,NA,FALSE,"no_lookup_match",NA
"7","Afghanistan","AFG",2025,7,"WHO",2025-07-01,339,339,NA,13,NA,FALSE,"no_lookup_match",NA
"8","Afghanistan","AFG",2025,8,"WHO",2025-08-01,273,273,273,12,1,TRUE,"applied_mean",NA
"9","Afghanistan","AFG",2025,9,"WHO",2025-09-01,297,297,297,11,1,TRUE,"applied_mean",NA
"10","Afghanistan","AFG",2025,10,"WHO",2025-10-01,1967,1826,1967,10,1.07738853503185,TRUE,"applied_mean",NA
"11","Afghanistan","AFG",2025,11,"WHO",2025-11-01,987,1021,987,9,0.967024738933371,TRUE,"applied_mean",NA
"12","Afghanistan","AFG",2025,12,NA,2025-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"13","Afghanistan","AFG",2026,1,"WHO",2026-01-01,129,128,129,7,1.0046422937923,TRUE,"applied_mean",NA
"14","Afghanistan","AFG",2026,2,"WHO",2026-02-01,178,173,178,6,1.02809336501408,TRUE,"applied_mean",NA
"15","Afghanistan","AFG",2026,3,"WHO",2026-03-01,150,152,150,5,0.985833516362838,TRUE,"applied_mean",NA
"16","Afghanistan","AFG",2026,4,"WHO",2026-04-01,247,246,247,4,1.0046422937923,TRUE,"applied_mean",NA
"17","Afghanistan","AFG",2026,5,"WHO",2026-05-01,225,224,225,3,1.00510652317154,TRUE,"applied_mean",NA
"18","Afghanistan","AFG",2026,6,"WHO",2026-06-01,248,255,248,2,0.974137931034483,TRUE,"applied_mean",NA
"19","Afghanistan","AFG",2026,7,"WHO",2026-07-01,473,473,NA,1,NA,FALSE,"no_lookup_match",NA
"20","Afghanistan","AFG",2026,8,NA,2026-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"21","Afghanistan","AFG",2026,9,NA,2026-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"22","Afghanistan","AFG",2026,10,NA,2026-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"23","Afghanistan","AFG",2026,11,NA,2026-11-01,NA,NA,NA,NA,NA,NA,NA,NA
"24","Afghanistan","AFG",2026,12,NA,2026-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"25","Albania","ALB",2025,1,"WHO",2025-01-01,0,0,NA,19,NA,FALSE,"no_lookup_match",NA
"26","Albania","ALB",2025,2,"WHO",2025-02-01,0,0,NA,18,NA,FALSE,"no_lookup_match",NA
"27","Albania","ALB",2025,3,"WHO",2025-03-01,0,0,NA,17,NA,FALSE,"no_lookup_match",NA
"28","Albania","ALB",2025,4,"WHO",2025-04-01,0,0,NA,16,NA,FALSE,"no_lookup_match",NA
"29","Albania","ALB",2025,5,"WHO",2025-05-01,0,0,NA,15,NA,FALSE,"no_lookup_match",NA
"30","Albania","ALB",2025,6,"WHO",2025-06-01,0,0,NA,14,NA,FALSE,"no_lookup_match",NA
"31","Albania","ALB",2025,7,"WHO",2025-07-01,0,0,NA,13,NA,FALSE,"no_lookup_match",NA
"32","Albania","ALB",2025,8,"WHO",2025-08-01,0,0,NA,12,NA,FALSE,"no_lookup_match",NA
"33","Albania","ALB",2025,9,"WHO",2025-09-01,0,0,NA,11,NA,FALSE,"no_lookup_match",NA
"34","Albania","ALB",2025,10,"WHO",2025-10-01,0,0,NA,10,NA,FALSE,"no_lookup_match",NA
"35","Albania","ALB",2025,11,"WHO",2025-11-01,0,0,NA,9,NA,FALSE,"no_lookup_match",NA
"36","Albania","ALB",2025,12,"WHO",2025-12-01,0,0,NA,8,NA,FALSE,"no_lookup_match",NA
"37","Albania","ALB",2026,1,"WHO",2026-01-01,0,0,NA,7,NA,FALSE,"no_lookup_match",NA
"38","Albania","ALB",2026,2,"WHO",2026-02-01,0,0,NA,6,NA,FALSE,"no_lookup_match",NA
"39","Albania","ALB",2026,3,"WHO",2026-03-01,0,0,NA,5,NA,FALSE,"no_lookup_match",NA
"40","Albania","ALB",2026,4,"WHO",2026-04-01,0,0,NA,4,NA,FALSE,"no_lookup_match",NA
"41","Albania","ALB",2026,5,"WHO",2026-05-01,0,0,NA,3,NA,FALSE,"no_lookup_match",NA
"42","Albania","ALB",2026,6,"WHO",2026-06-01,0,0,NA,2,NA,FALSE,"no_lookup_match",NA
"43","Albania","ALB",2026,7,"WHO",2026-07-01,0,0,NA,1,NA,FALSE,"no_lookup_match",NA
"44","Albania","ALB",2026,8,NA,2026-08-01,NA,NA,NA,NA,NA,NA,NA,NA
"45","Albania","ALB",2026,9,NA,2026-09-01,NA,NA,NA,NA,NA,NA,NA,NA
"46","Albania","ALB",2026,10,NA,2026-10-01,NA,NA,NA,NA,NA,NA,NA,NA
"47","Albania","ALB",2026,11,NA,2026-11-01,NA,NA,NA,NA,NA,NA,NA,NA
"48","Albania","ALB",2026,12,NA,2026-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"49","Andorra","AND",2025,1,"WHO",2025-01-01,0,0,NA,19,NA,FALSE,"no_lookup_match",NA
"50","Andorra","AND",2025,2,"WHO",2025-02-01,0,0,NA,18,NA,FALSE,"no_lookup_match",NA
"51","Andorra","AND",2025,3,"WHO",2025-03-01,0,0,NA,17,NA,FALSE,"no_lookup_match",NA
"52","Andorra","AND",2025,4,"WHO",2025-04-01,0,0,NA,16,NA,FALSE,"no_lookup_match",NA
"53","Andorra","AND",2025,5,"WHO",2025-05-01,0,0,NA,15,NA,FALSE,"no_lookup_match",NA
"54","Andorra","AND",2025,6,"WHO",2025-06-01,0,0,NA,14,NA,FALSE,"no_lookup_match",NA
"55","Andorra","AND",2025,7,"WHO",2025-07-01,0,0,NA,13,NA,FALSE,"no_lookup_match",NA
"56","Andorra","AND",2025,8,"WHO",2025-08-01,0,0,NA,12,NA,FALSE,"no_lookup_match",NA
"57","Andorra","AND",2025,9,"WHO",2025-09-01,0,0,NA,11,NA,FALSE,"no_lookup_match",NA
"58","Andorra","AND",2025,10,"WHO",2025-10-01,0,0,NA,10,NA,FALSE,"no_lookup_match",NA
"59","Andorra","AND",2025,11,"WHO",2025-11-01,0,0,NA,9,NA,FALSE,"no_lookup_match",NA
