window_type,origin_date,iso3,region,train_start,train_end,n_train_months,n_gap_in_window,n_targets_with_truth,eligible
expanding,2016-01-01,BLZ,North & Central America,2010-03-01,2016-01-01,71,0,6,TRUE
expanding,2016-01-01,CRI,North & Central America,2010-03-01,2016-01-01,71,0,6,TRUE
expanding,2016-01-01,GTM,North & Central America,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,HND,North & Central America,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,MEX,North & Central America,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,NIC,North & Central America,2010-03-01,2016-01-01,71,0,6,TRUE
expanding,2016-01-01,PAN,North & Central America,2010-04-01,2016-01-01,70,0,6,TRUE
expanding,2016-01-01,SLV,North & Central America,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,USA,North & Central America,2010-03-01,2016-01-01,59,12,6,TRUE
expanding,2016-01-01,ABW,Caribbean,2010-07-01,2016-01-01,43,24,6,TRUE
expanding,2016-01-01,ATG,Caribbean,2015-04-01,2016-01-01,10,0,6,FALSE
expanding,2016-01-01,BES,Caribbean,2010-05-01,2016-01-01,36,0,0,FALSE
expanding,2016-01-01,BHS,Caribbean,2010-04-01,2016-01-01,36,34,4,TRUE
expanding,2016-01-01,BLM,Caribbean,2012-04-01,2016-01-01,46,0,6,TRUE
expanding,2016-01-01,BRB,Caribbean,2010-04-01,2016-01-01,70,0,6,TRUE
expanding,2016-01-01,CUB,Caribbean,2014-04-01,2016-01-01,22,0,6,FALSE
expanding,2016-01-01,CUW,Caribbean,2010-05-01,2016-01-01,48,0,0,FALSE
expanding,2016-01-01,CYM,Caribbean,2012-04-01,2016-01-01,46,0,6,TRUE
expanding,2016-01-01,DMA,Caribbean,2010-04-01,2016-01-01,58,12,6,TRUE
expanding,2016-01-01,DOM,Caribbean,2010-03-01,2016-01-01,71,0,6,TRUE
expanding,2016-01-01,GLP,Caribbean,2010-04-01,2016-01-01,70,0,6,TRUE
expanding,2016-01-01,GRD,Caribbean,2010-03-01,2016-01-01,60,11,5,TRUE
expanding,2016-01-01,HTI,Caribbean,2018-05-01,2016-01-01,0,0,0,FALSE
expanding,2016-01-01,JAM,Caribbean,2010-05-01,2016-01-01,69,0,6,TRUE
expanding,2016-01-01,KNA,Caribbean,2013-04-01,2016-01-01,24,10,4,FALSE
expanding,2016-01-01,LCA,Caribbean,2010-03-01,2016-01-01,59,12,6,TRUE
expanding,2016-01-01,MAF,Caribbean,2010-06-01,2016-01-01,68,0,6,TRUE
expanding,2016-01-01,MTQ,Caribbean,2010-05-01,2016-01-01,69,0,6,TRUE
expanding,2016-01-01,PRI,Caribbean,2010-04-01,2016-01-01,70,0,2,TRUE
expanding,2016-01-01,SXM,Caribbean,2010-04-01,2016-01-01,36,34,0,FALSE
expanding,2016-01-01,TCA,Caribbean,2013-05-01,2016-01-01,33,0,6,FALSE
expanding,2016-01-01,TTO,Caribbean,2010-04-01,2016-01-01,34,36,6,FALSE
expanding,2016-01-01,VCT,Caribbean,2010-04-01,2016-01-01,60,10,4,TRUE
expanding,2016-01-01,VGB,Caribbean,2010-04-01,2016-01-01,70,0,6,TRUE
expanding,2016-01-01,ARG,South America,2010-08-01,2016-01-01,66,0,6,TRUE
expanding,2016-01-01,BOL,South America,2010-08-01,2016-01-01,66,0,6,TRUE
expanding,2016-01-01,BRA,South America,2010-10-01,2016-01-01,64,0,6,TRUE
expanding,2016-01-01,CHL,South America,2012-04-01,2016-01-01,34,12,2,FALSE
expanding,2016-01-01,COL,South America,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,ECU,South America,2010-11-01,2016-01-01,63,0,6,TRUE
expanding,2016-01-01,GUF,South America,2010-10-01,2016-01-01,64,0,6,TRUE
expanding,2016-01-01,GUY,South America,2010-01-01,2016-01-01,73,0,6,TRUE
expanding,2016-01-01,PER,South America,2010-09-01,2016-01-01,65,0,6,TRUE
expanding,2016-01-01,PRY,South America,2010-07-01,2016-01-01,67,0,6,TRUE
expanding,2016-01-01,SUR,South America,2010-04-01,2016-01-01,36,34,0,FALSE
