iso3,country,region,seasonality_signal,endemicity,seasonal_concentration,mean_monthly_cases,n_complete_seasons,zero_month_fraction,strata_provisional
DOM,Dominican Republic,Caribbean,weak,endemic,0.08847114309477377,761.7614213197969,16,0,TRUE
CUB,Cuba,Caribbean,moderate,endemic,0.10020720493345057,719.4956521739126,9,0,TRUE
GLP,Guadeloupe,Caribbean,strong,endemic,0.13088924764442517,507.77040816326513,16,0.0663265306122449,TRUE
PRI,Puerto Rico,Caribbean,weak,endemic,0.09297697119997607,482.9375,13,0.0375,TRUE
MTQ,Martinique,Caribbean,moderate,emerging,0.1181257061657192,435.7692307692309,16,0.16923076923076924,TRUE
HTI,Haiti,Caribbean,moderate,emerging,0.11151067589794737,195.7333333333333,5,0.13333333333333333,TRUE
JAM,Jamaica,Caribbean,moderate,endemic,0.10026700434295527,164.9846153846153,16,0.046153846153846156,TRUE
BHS,Bahamas,Caribbean,moderate,emerging,0.12057411035033476,107.5074626865672,5,0.44776119402985076,TRUE
BRB,Barbados,Caribbean,weak,endemic,0.09196084160646346,84.10204081632645,16,0.04081632653061224,TRUE
TTO,Trinidad And Tobago,Caribbean,strong,emerging,0.14940809048708667,73.68918918918922,12,0.11486486486486487,TRUE
CUW,Curaçao,Caribbean,moderate,emerging,0.10841079893057654,72.1875,4,0,TRUE
ABW,Aruba,Caribbean,moderate,emerging,0.10567702758410803,59.38260869565215,9,0.13043478260869565,TRUE
MAF,Saint Martin,Caribbean,weak,endemic,0.09666238539932868,59.076923076923066,15,0.03296703296703297,TRUE
BES,Caribbean Netherlands,Caribbean,strong,emerging,0.13978559927769418,38.638888888888886,3,0,TRUE
BLM,Saint Barthelemy,Caribbean,moderate,emerging,0.09928021020054649,31.45588235294117,11,0.16911764705882354,TRUE
LCA,Saint Lucia,Caribbean,strong,emerging,0.13114196457284202,23.297297297297302,12,0.060810810810810814,TRUE
GRD,Grenada,Caribbean,weak,emerging,0.09101271012234531,23.124324324324316,15,0.11891891891891893,TRUE
VCT,Saint Vincent And The Grenadines,Caribbean,moderate,emerging,0.10686061177003434,22.77702702702703,12,0.1554054054054054,TRUE
ATG,Antigua And Barbuda,Caribbean,moderate,emerging,0.10927891631904905,20.178571428571416,9,0.13392857142857142,TRUE
DMA,Dominica,Caribbean,moderate,emerging,0.10573739413648066,20.07575757575758,11,0.12121212121212122,TRUE
TCA,Turks And Caicos Islands,Caribbean,strong,emerging,0.1420963476344476,16.689320388349508,8,0.3592233009708738,TRUE
VGB,Virgin Islands (Uk),Caribbean,moderate,emerging,0.10321807012974461,12.981249999999985,13,0.10625,TRUE
KNA,Saint Kitts And Nevis,Caribbean,strong,emerging,0.1303850910686,10.227272727272732,7,0.25,TRUE
SXM,Sint Maarten,Caribbean,strong,emerging,0.12503777340136787,9.859375,5,0.15625,TRUE
CYM,Cayman Islands,Caribbean,strong,emerging,0.1436466146866549,6,8,0.2815533980582524,TRUE
PHL,Philippines,East & Southeast Asia,moderate,endemic,0.10218037650042588,15509.994047619046,14,0,TRUE
VNM,Viet Nam,East & Southeast Asia,moderate,endemic,0.1037926192807312,10956.142131979697,16,0,TRUE
IDN,Indonesia,East & Southeast Asia,weak,endemic,0.09092018830158971,9795.797619047618,14,0,TRUE
THA,Thailand,East & Southeast Asia,moderate,endemic,0.10636018734027641,6892.424242424244,16,0,TRUE
MYS,Malaysia,East & Southeast Asia,weak,endemic,0.08487414183008643,6558.040404040404,16,0,TRUE
