iso3,country,region,first_date,last_date,n_months,n_observed,n_corrected,n_estimated,span_years,pct_estimated,n_complete_seasons,first_season,last_season,n_gap_months,total_cases,mean_monthly_cases,median_monthly_cases,max_monthly_cases,cv_monthly,zero_month_fraction,seasonal_concentration,top3_month_share,peak_month,peak_to_trough_ratio,seasonality_signal,endemicity,strata_provisional
DOM,Dominican Republic,Caribbean,2010-03-01,2026-07-01,197,185,11,1,16.334017796030118,0.005076142131979695,16,2010/2011,2025/2026,0,150067,761.7614213197969,380,9665,1.4672935720296534,0,0.08847114309477377,0.34479521755909603,10,4.302114803625377,weak,endemic,TRUE
CUB,Cuba,Caribbean,2014-04-01,2026-07-01,115,99,1,15,12.24914442162902,0.13043478260869565,9,2014/2015,2025/2026,33,82742,719.4956521739126,159,19476,2.8434812334145567,0,0.10020720493345057,0.40840123320856603,10,4.388571428571429,moderate,endemic,TRUE
GLP,Guadeloupe,Caribbean,2010-04-01,2026-07-01,196,183,8,5,16.249144421629023,0.025510204081632654,16,2010/2011,2025/2026,0,99523,507.77040816326513,79.5,7460,2.122371996060518,0.0663265306122449,0.13088924764442517,0.505770572484863,11,9.00184757505778,strong,endemic,TRUE
PRI,Puerto Rico,Caribbean,2010-04-01,2026-07-01,160,148,11,1,16.249144421629023,0.00625,13,2010/2011,2025/2026,36,77270,482.9375,214.5,3194,1.3539071964440528,0.0375,0.09297697119997607,0.36586654433384597,11,3.623158515026519,weak,endemic,TRUE
MTQ,Martinique,Caribbean,2010-05-01,2026-07-01,195,182,8,5,16.16700889801506,0.02564102564102564,16,2010/2011,2025/2026,0,84975,435.7692307692309,49,8100,2.402790076541943,0.16923076923076924,0.1181257061657192,0.49465199850793296,9,7.5090487238978945,moderate,emerging,TRUE
HTI,Haiti,Caribbean,2018-05-01,2023-04-01,60,60,0,0,4.917180013689254,0,5,2018/2019,2022/2023,0,11744,195.7333333333333,18.5,2171,1.9797044976247058,0.13333333333333333,0.11151067589794737,0.47609602129727696,12,9.016806722689074,moderate,emerging,TRUE
JAM,Jamaica,Caribbean,2010-05-01,2026-07-01,195,183,11,1,16.16700889801506,0.005128205128205128,16,2010/2011,2025/2026,0,32172,164.9846153846153,42,3401,2.250510810720235,0.046153846153846156,0.10026700434295527,0.405579516399879,11,8.703363914373089,moderate,endemic,TRUE
BHS,Bahamas,Caribbean,2010-04-01,2026-07-01,67,53,0,14,16.249144421629023,0.208955223880597,5,2010/2011,2025/2026,129,7203,107.5074626865672,1,1791,2.729470655229421,0.44776119402985076,0.12057411035033476,0.484533556011434,9,8.627906976744185,moderate,emerging,TRUE
BRB,Barbados,Caribbean,2010-04-01,2026-07-01,196,185,10,1,16.249144421629023,0.00510204081632653,16,2010/2011,2025/2026,0,16484,84.10204081632645,38.5,1002,1.495449605765493,0.04081632653061224,0.09196084160646346,0.371145099546218,9,3.9045383411580596,weak,endemic,TRUE
TTO,Trinidad And Tobago,Caribbean,2010-04-01,2026-07-01,148,138,9,1,16.249144421629023,0.006756756756756757,12,2010/2011,2025/2026,48,10906,73.68918918918922,13,1064,2.2070062874458145,0.11486486486486487,0.14940809048708667,0.5748314914768851,8,32.76190476190472,strong,emerging,TRUE
CUW,Curaçao,Caribbean,2010-05-01,2014-04-01,48,48,0,0,3.917864476386037,0,4,2010/2011,2013/2014,0,3465,72.1875,51,337,0.953017111923676,0,0.10841079893057654,0.437318968943586,3,6.587628865979381,moderate,emerging,TRUE
ABW,Aruba,Caribbean,2010-07-01,2026-07-01,115,103,3,9,16,0.0782608695652174,9,2010/2011,2025/2026,78,6829,59.38260869565215,23,515,1.5433318477325408,0.13043478260869565,0.10567702758410803,0.434046717782115,3,6.627906976744186,moderate,emerging,TRUE
MAF,Saint Martin,Caribbean,2010-06-01,2026-07-01,182,172,5,5,16.082135523613964,0.027472527472527472,15,2010/2011,2025/2026,12,10752,59.076923076923066,21.5,640,1.6996617081956722,0.03296703296703297,0.09666238539932868,0.379404700290158,11,4.860335195530709,weak,endemic,TRUE
BES,Caribbean Netherlands,Caribbean,2010-05-01,2013-04-01,36,36,0,0,2.91854893908282,0,3,2010/2011,2012/2013,0,1391,38.638888888888886,18.5,209,1.2761952232087155,0,0.13978559927769418,0.5836590009451881,1,11.2068965517241,strong,emerging,TRUE
BLM,Saint Barthelemy,Caribbean,2012-04-01,2026-07-01,136,123,7,6,14.247775496235455,0.04411764705882353,11,2012/2013,2025/2026,36,4278,31.45588235294117,6,349,1.828477001194659,0.16911764705882354,0.09928021020054649,0.423954941901956,11,4.167567567567567,moderate,emerging,TRUE
LCA,Saint Lucia,Caribbean,2010-03-01,2026-07-01,148,137,10,1,16.334017796030118,0.006756756756756757,12,2010/2011,2025/2026,49,3448,23.297297297297302,7,474,2.513146734287304,0.060810810810810814,0.13114196457284202,0.48592534416243904,9,22.360000000000056,strong,emerging,TRUE
GRD,Grenada,Caribbean,2010-03-01,2026-07-01,185,173,12,0,16.334017796030118,0,15,2010/2011,2025/2026,12,4278,23.124324324324316,15,244,1.4443985447708505,0.11891891891891893,0.09101271012234531,0.350042752188099,9,3.5492227979274547,weak,emerging,TRUE
VCT,Saint Vincent And The Grenadines,Caribbean,2010-04-01,2026-07-01,148,137,10,1,16.249144421629023,0.006756756756756757,12,2010/2011,2025/2026,48,3371,22.77702702702703,7,315,2.067611041491061,0.1554054054054054,0.10686061177003434,0.44392265095899774,1,4.235294117647061,moderate,emerging,TRUE
ATG,Antigua And Barbuda,Caribbean,2015-04-01,2026-07-01,112,103,6,3,11.249828884325805,0.026785714285714284,9,2015/2016,2025/2026,24,2260,20.178571428571416,4,304,2.317019433329049,0.13392857142857142,0.10927891631904905,0.439510096515274,1,11.394736842105264,moderate,emerging,TRUE
DMA,Dominica,Caribbean,2010-04-01,2023-03-01,132,132,0,0,12.914442162902121,0,11,2010/2011,2022/2023,24,2650,20.07575757575758,8.5,175,1.536220640087149,0.12121212121212122,0.10573739413648066,0.428258616452756,11,4.489795918367347,moderate,emerging,TRUE
TCA,Turks And Caicos Islands,Caribbean,2013-05-01,2026-07-01,103,90,8,5,13.166324435318275,0.04854368932038835,8,2013/2014,2025/2026,56,1719,16.689320388349508,9,169,1.5366586310182673,0.3592233009708738,0.1420963476344476,0.562511976703014,10,10.91304347826087,strong,emerging,TRUE
