iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90
ABW,2026-07-01,1,2026-08-01,7,1,10,0,24
ABW,2026-07-01,2,2026-09-01,34,7,47,0,115
ABW,2026-07-01,3,2026-10-01,104,21,143,2,348
ABW,2026-07-01,4,2026-11-01,236,47,326,5,790
ABW,2026-07-01,5,2026-12-01,438,87,603,9,1463
ABW,2026-07-01,6,2027-01-01,695,139,958,14,2323
AFG,2026-07-01,1,2026-08-01,522,104,719,11,1744
AFG,2026-07-01,2,2026-09-01,794,159,1094,16,2652
AFG,2026-07-01,3,2026-10-01,1088,218,1500,23,3635
AFG,2026-07-01,4,2026-11-01,1380,276,1902,29,4609
AFG,2026-07-01,5,2026-12-01,1651,330,2274,34,5512
AFG,2026-07-01,6,2027-01-01,1889,378,2602,39,6307
ARG,2026-07-01,1,2026-08-01,97,19,133,2,323
ARG,2026-07-01,2,2026-09-01,224,45,309,4,749
ARG,2026-07-01,3,2026-10-01,420,84,579,8,1404
ARG,2026-07-01,4,2026-11-01,674,135,929,14,2252
ARG,2026-07-01,5,2026-12-01,963,192,1326,20,3214
ARG,2026-07-01,6,2027-01-01,1258,252,1734,26,4202
ATG,2026-07-01,1,2026-08-01,12,2,17,0,41
ATG,2026-07-01,2,2026-09-01,49,9,67,1,164
ATG,2026-07-01,3,2026-10-01,135,27,186,2,451
ATG,2026-07-01,4,2026-11-01,287,57,396,6,961
ATG,2026-07-01,5,2026-12-01,507,101,699,10,1693
ATG,2026-07-01,6,2027-01-01,776,155,1070,16,2593
AUS,2026-07-01,1,2026-08-01,252,50,347,5,841
AUS,2026-07-01,2,2026-09-01,459,92,632,9,1533
AUS,2026-07-01,3,2026-10-01,720,144,993,15,2406
AUS,2026-07-01,4,2026-11-01,1012,202,1394,21,3378
AUS,2026-07-01,5,2026-12-01,1306,261,1800,27,4362
AUS,2026-07-01,6,2027-01-01,1583,317,2182,33,5288
BES,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
BES,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
BES,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
BES,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
BES,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
BES,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
BFA,2026-07-01,1,2026-08-01,1745,349,2404,36,5827
BFA,2026-07-01,2,2026-09-01,1970,394,2714,41,6577
BFA,2026-07-01,3,2026-10-01,2158,432,2973,45,7205
BFA,2026-07-01,4,2026-11-01,2311,462,3184,48,7718
BFA,2026-07-01,5,2026-12-01,2434,487,3354,51,8128
BFA,2026-07-01,6,2027-01-01,2531,506,3487,53,8451
BGD,2026-07-01,1,2026-08-01,8224,1646,11331,172,27460
BGD,2026-07-01,2,2026-09-01,6336,1268,8729,133,21154
BGD,2026-07-01,3,2026-10-01,5205,1042,7171,109,17378
BGD,2026-07-01,4,2026-11-01,4488,898,6183,94,14984
BGD,2026-07-01,5,2026-12-01,4013,803,5530,84,13400
BGD,2026-07-01,6,2027-01-01,3689,738,5083,77,12318
BHS,2026-07-01,1,2026-08-01,7,1,10,0,24
BHS,2026-07-01,2,2026-09-01,34,7,47,0,115
BHS,2026-07-01,3,2026-10-01,104,21,143,2,348
BHS,2026-07-01,4,2026-11-01,236,47,326,5,790
BHS,2026-07-01,5,2026-12-01,438,87,603,9,1463
BHS,2026-07-01,6,2027-01-01,695,139,958,14,2323
BLM,2026-07-01,1,2026-08-01,7,1,10,0,24
BLM,2026-07-01,2,2026-09-01,34,7,47,0,115
BLM,2026-07-01,3,2026-10-01,104,21,143,2,348
BLM,2026-07-01,4,2026-11-01,236,47,326,5,790
BLM,2026-07-01,5,2026-12-01,438,87,603,9,1463
BLM,2026-07-01,6,2027-01-01,695,139,958,14,2323
BLZ,2026-07-01,1,2026-08-01,493,98,679,10,1647
BLZ,2026-07-01,2,2026-09-01,760,152,1048,16,2539
