iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90
ABW,2026-07-01,1,2026-08-01,40,23,47,0,180
ABW,2026-07-01,2,2026-09-01,75,43,87,0,335
ABW,2026-07-01,3,2026-10-01,71,41,83,0,319
ABW,2026-07-01,4,2026-11-01,45,26,52,0,202
ABW,2026-07-01,5,2026-12-01,32,18,38,0,144
ABW,2026-07-01,6,2027-01-01,83,47,96,0,369
AFG,2026-07-01,1,2026-08-01,227,94,404,57,975
AFG,2026-07-01,2,2026-09-01,205,85,366,52,883
AFG,2026-07-01,3,2026-10-01,762,316,1359,191,3277
AFG,2026-07-01,4,2026-11-01,688,285,1227,173,2958
AFG,2026-07-01,5,2026-12-01,413,172,737,104,1778
AFG,2026-07-01,6,2027-01-01,226,94,404,57,973
ARG,2026-07-01,1,2026-08-01,846,254,4051,53,72821
ARG,2026-07-01,2,2026-09-01,640,480,853,226,2934
ARG,2026-07-01,3,2026-10-01,996,757,1183,421,3159
ARG,2026-07-01,4,2026-11-01,1477,700,1950,157,3487
ARG,2026-07-01,5,2026-12-01,3023,1407,6031,224,44323
ARG,2026-07-01,6,2027-01-01,5804,2368,25253,221,115079
ATG,2026-07-01,1,2026-08-01,0,0,0,0,1
ATG,2026-07-01,2,2026-09-01,1,0,1,0,1
ATG,2026-07-01,3,2026-10-01,1,1,1,0,1
ATG,2026-07-01,4,2026-11-01,1,1,1,1,1
ATG,2026-07-01,5,2026-12-01,1,1,1,1,2
ATG,2026-07-01,6,2027-01-01,1,0,1,0,4
AUS,2026-07-01,1,2026-08-01,84,72,117,37,361
AUS,2026-07-01,2,2026-09-01,71,49,105,24,178
AUS,2026-07-01,3,2026-10-01,99,91,122,68,188
AUS,2026-07-01,4,2026-11-01,85,77,101,58,147
AUS,2026-07-01,5,2026-12-01,74,60,94,54,121
AUS,2026-07-01,6,2027-01-01,151,96,197,62,239
BES,2026-07-01,1,2026-08-01,21,19,78,16,89
BES,2026-07-01,2,2026-09-01,27,24,100,21,114
BES,2026-07-01,3,2026-10-01,41,37,150,31,172
BES,2026-07-01,4,2026-11-01,44,39,159,33,182
BES,2026-07-01,5,2026-12-01,64,58,235,49,269
BES,2026-07-01,6,2027-01-01,148,132,541,113,619
BFA,2026-07-01,1,2026-08-01,6913,5241,14009,2839,57477
BFA,2026-07-01,2,2026-09-01,8455,5558,55662,4826,311341
BFA,2026-07-01,3,2026-10-01,7618,7403,216171,6635,572702
BFA,2026-07-01,4,2026-11-01,6278,3766,88570,1948,419054
BFA,2026-07-01,5,2026-12-01,3685,2626,24337,2596,129194
BFA,2026-07-01,6,2027-01-01,3184,2741,11187,2393,49810
BGD,2026-07-01,1,2026-08-01,16413,10049,25218,7663,52588
BGD,2026-07-01,2,2026-09-01,27630,13516,53310,8120,79360
BGD,2026-07-01,3,2026-10-01,32287,17872,44844,12330,128909
BGD,2026-07-01,4,2026-11-01,31643,19138,86679,9098,174615
BGD,2026-07-01,5,2026-12-01,9681,6496,34658,1873,103113
BGD,2026-07-01,6,2027-01-01,1001,685,4302,187,6432
BHS,2026-07-01,1,2026-08-01,1,0,1,0,1
BHS,2026-07-01,2,2026-09-01,1,0,2,0,2
BHS,2026-07-01,3,2026-10-01,1,0,1,0,1
