iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
ABW,2016-01-01,1,2016-02-01,307,64,424,7,1016,glm_ar1,expanding,43,24,157
ABW,2016-01-01,2,2016-03-01,541,113,747,12,1788,glm_ar1,expanding,43,24,204
ABW,2016-01-01,3,2016-04-01,812,169,1120,19,2681,glm_ar1,expanding,43,24,195
ABW,2016-01-01,4,2016-05-01,1085,226,1497,25,3583,glm_ar1,expanding,43,24,138
ABW,2016-01-01,5,2016-06-01,1336,279,1843,31,4411,glm_ar1,expanding,43,24,77
ABW,2016-01-01,6,2016-07-01,1550,324,2139,36,5119,glm_ar1,expanding,43,24,34
AFG,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
AFG,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
AFG,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
AFG,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
AFG,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
AFG,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
ARG,2016-01-01,1,2016-02-01,3911,817,5396,91,12912,glm_ar1,expanding,66,0,19156
ARG,2016-01-01,2,2016-03-01,3349,700,4621,78,11056,glm_ar1,expanding,66,0,23729
ARG,2016-01-01,3,2016-04-01,2996,626,4134,70,9892,glm_ar1,expanding,66,0,16211
ARG,2016-01-01,4,2016-05-01,2766,578,3817,64,9133,glm_ar1,expanding,66,0,9953
ARG,2016-01-01,5,2016-06-01,2613,546,3605,61,8626,glm_ar1,expanding,66,0,1800
ARG,2016-01-01,6,2016-07-01,2508,524,3460,58,8279,glm_ar1,expanding,66,0,1143
ATG,2016-01-01,1,2016-02-01,62,13,86,1,205,glm_ar1,expanding,10,0,10
ATG,2016-01-01,2,2016-03-01,173,36,239,4,573,glm_ar1,expanding,10,0,8
ATG,2016-01-01,3,2016-04-01,360,75,496,8,1188,glm_ar1,expanding,10,0,3
ATG,2016-01-01,4,2016-05-01,606,126,836,14,2000,glm_ar1,expanding,10,0,5
ATG,2016-01-01,5,2016-06-01,880,184,1214,20,2905,glm_ar1,expanding,10,0,4
ATG,2016-01-01,6,2016-07-01,1149,240,1586,26,3795,glm_ar1,expanding,10,0,6
AUS,2016-01-01,1,2016-02-01,450,94,621,10,1485,glm_ar1,expanding,65,0,197
AUS,2016-01-01,2,2016-03-01,711,148,981,16,2348,glm_ar1,expanding,65,0,316
