iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
ABW,2016-01-01,1,2016-02-01,58,54,59,50,63,nowcast,expanding,43,24,157
ABW,2016-01-01,2,2016-03-01,83,78,84,72,90,nowcast,expanding,43,24,204
ABW,2016-01-01,3,2016-04-01,67,63,68,58,72,nowcast,expanding,43,24,195
ABW,2016-01-01,4,2016-05-01,48,45,48,41,51,nowcast,expanding,43,24,138
ABW,2016-01-01,5,2016-06-01,28,26,28,24,30,nowcast,expanding,43,24,77
ABW,2016-01-01,6,2016-07-01,22,19,25,17,29,nowcast,expanding,43,24,34
AFG,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
AFG,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
AFG,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
AFG,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
AFG,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
AFG,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
ARG,2016-01-01,1,2016-02-01,3978,2700,14512,1265,15390,nowcast,expanding,66,0,19156
ARG,2016-01-01,2,2016-03-01,8974,6090,32734,2853,34716,nowcast,expanding,66,0,23729
ARG,2016-01-01,3,2016-04-01,9745,6613,35546,3098,37697,nowcast,expanding,66,0,16211
ARG,2016-01-01,4,2016-05-01,7183,4875,26201,2284,27787,nowcast,expanding,66,0,9953
ARG,2016-01-01,5,2016-06-01,1789,1214,6527,569,6922,nowcast,expanding,66,0,1800
ARG,2016-01-01,6,2016-07-01,896,608,3268,285,3466,nowcast,expanding,66,0,1143
ATG,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,10,0,10
ATG,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,10,0,8
ATG,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,10,0,3
ATG,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,10,0,5
ATG,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,10,0,4
ATG,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,10,0,6
AUS,2016-01-01,1,2016-02-01,283,205,328,190,817,nowcast,expanding,65,0,197
AUS,2016-01-01,2,2016-03-01,215,156,249,144,619,nowcast,expanding,65,0,316
AUS,2016-01-01,3,2016-04-01,204,148,237,137,588,nowcast,expanding,65,0,305
AUS,2016-01-01,4,2016-05-01,185,134,215,124,533,nowcast,expanding,65,0,208
AUS,2016-01-01,5,2016-06-01,144,105,167,97,416,nowcast,expanding,65,0,195
AUS,2016-01-01,6,2016-07-01,158,114,183,106,455,nowcast,expanding,65,0,195
BES,2016-01-01,1,2016-02-01,84,49,140,7,321,nowcast,expanding,36,0,NA
BES,2016-01-01,2,2016-03-01,79,29,140,0,321,nowcast,expanding,36,0,NA
BES,2016-01-01,3,2016-04-01,13,6,26,0,66,nowcast,expanding,36,0,NA
BES,2016-01-01,4,2016-05-01,12,10,46,8,51,nowcast,expanding,36,0,NA
BES,2016-01-01,5,2016-06-01,12,10,45,7,50,nowcast,expanding,36,0,NA
BES,2016-01-01,6,2016-07-01,17,15,67,11,74,nowcast,expanding,36,0,NA
BFA,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,9,0,0
BFA,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,9,0,0
BFA,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,9,0,0
BFA,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,9,0,0
BFA,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,9,0,0
BFA,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,9,0,0
BGD,2016-01-01,1,2016-02-01,2,1,3,0,6,nowcast,expanding,71,0,3
BGD,2016-01-01,2,2016-03-01,1,1,1,0,6,nowcast,expanding,71,0,17
BGD,2016-01-01,3,2016-04-01,0,0,0,0,0,nowcast,expanding,71,0,38
BGD,2016-01-01,4,2016-05-01,5,4,5,2,9,nowcast,expanding,71,0,70
BGD,2016-01-01,5,2016-06-01,23,18,28,7,78,nowcast,expanding,71,0,254
BGD,2016-01-01,6,2016-07-01,161,107,200,19,585,nowcast,expanding,71,0,926
BHS,2016-01-01,1,2016-02-01,229,89,398,0,823,nowcast,expanding,36,34,NA
BHS,2016-01-01,2,2016-03-01,129,57,234,0,557,nowcast,expanding,36,34,NA
BHS,2016-01-01,3,2016-04-01,96,45,107,0,115,nowcast,expanding,36,34,3
BHS,2016-01-01,4,2016-05-01,68,32,76,0,81,nowcast,expanding,36,34,3
BHS,2016-01-01,5,2016-06-01,97,45,108,0,116,nowcast,expanding,36,34,3
BHS,2016-01-01,6,2016-07-01,117,55,130,0,140,nowcast,expanding,36,34,4
BLM,2016-01-01,1,2016-02-01,75,29,130,0,270,nowcast,expanding,46,0,5
BLM,2016-01-01,2,2016-03-01,48,21,88,0,209,nowcast,expanding,46,0,4
BLM,2016-01-01,3,2016-04-01,11,11,24,10,37,nowcast,expanding,46,0,4
BLM,2016-01-01,4,2016-05-01,14,13,30,12,46,nowcast,expanding,46,0,5
BLM,2016-01-01,5,2016-06-01,13,13,28,12,44,nowcast,expanding,46,0,5
BLM,2016-01-01,6,2016-07-01,9,9,19,8,30,nowcast,expanding,46,0,4
BLZ,2016-01-01,1,2016-02-01,346,159,614,0,1261,nowcast,expanding,71,0,377
BLZ,2016-01-01,2,2016-03-01,125,114,161,86,194,nowcast,expanding,71,0,450
BLZ,2016-01-01,3,2016-04-01,100,91,129,69,155,nowcast,expanding,71,0,314
BLZ,2016-01-01,4,2016-05-01,110,101,142,76,171,nowcast,expanding,71,0,296
BLZ,2016-01-01,5,2016-06-01,151,138,195,104,234,nowcast,expanding,71,0,302
BLZ,2016-01-01,6,2016-07-01,199,182,257,137,308,nowcast,expanding,71,0,423
BOL,2016-01-01,1,2016-02-01,33511,2430,38875,2244,108151,nowcast,expanding,66,0,18160
BOL,2016-01-01,2,2016-03-01,51980,3770,60301,3481,167755,nowcast,expanding,66,0,12568
BOL,2016-01-01,3,2016-04-01,50324,3649,58379,3370,162410,nowcast,expanding,66,0,8992
BOL,2016-01-01,4,2016-05-01,34445,2498,39959,2307,111166,nowcast,expanding,66,0,2550
BOL,2016-01-01,5,2016-06-01,11610,842,13469,777,37470,nowcast,expanding,66,0,616
BOL,2016-01-01,6,2016-07-01,5312,385,6163,356,17144,nowcast,expanding,66,0,460
BRA,2016-01-01,1,2016-02-01,731156,508743,932012,269236,1216526,nowcast,expanding,64,0,556703
BRA,2016-01-01,2,2016-03-01,1353780,941968,1725677,498508,2252472,nowcast,expanding,64,0,487108
BRA,2016-01-01,3,2016-04-01,1416475,985592,1805595,521594,2356786,nowcast,expanding,64,0,362421
BRA,2016-01-01,4,2016-05-01,963164,670175,1227754,354669,1602549,nowcast,expanding,64,0,164151
BRA,2016-01-01,5,2016-06-01,378263,263197,482175,139289,629368,nowcast,expanding,64,0,48699
BRA,2016-01-01,6,2016-07-01,171267,119168,218316,63066,284960,nowcast,expanding,64,0,34780
BRB,2016-01-01,1,2016-02-01,23,13,148,11,205,nowcast,expanding,70,0,244
BRB,2016-01-01,2,2016-03-01,19,11,118,9,164,nowcast,expanding,70,0,117
BRB,2016-01-01,3,2016-04-01,69,60,92,18,330,nowcast,expanding,70,0,81
BRB,2016-01-01,4,2016-05-01,79,69,105,20,376,nowcast,expanding,70,0,74
BRB,2016-01-01,5,2016-06-01,87,75,115,22,413,nowcast,expanding,70,0,69
BRB,2016-01-01,6,2016-07-01,83,72,110,21,396,nowcast,expanding,70,0,91
BRN,2016-01-01,1,2016-02-01,10,1,26,1,72,nowcast,expanding,69,0,5
BRN,2016-01-01,2,2016-03-01,12,1,33,1,93,nowcast,expanding,69,0,5
BRN,2016-01-01,3,2016-04-01,8,1,23,0,63,nowcast,expanding,69,0,11
BRN,2016-01-01,4,2016-05-01,67,33,215,1,754,nowcast,expanding,69,0,6
BRN,2016-01-01,5,2016-06-01,59,29,191,0,668,nowcast,expanding,69,0,3
BRN,2016-01-01,6,2016-07-01,80,39,257,1,900,nowcast,expanding,69,0,6
BTN,2016-01-01,1,2016-02-01,18,8,31,0,64,nowcast,expanding,36,35,NA
BTN,2016-01-01,2,2016-03-01,43,37,44,4,49,nowcast,expanding,36,35,27
BTN,2016-01-01,3,2016-04-01,46,39,48,4,53,nowcast,expanding,36,35,29
BTN,2016-01-01,4,2016-05-01,35,29,36,3,40,nowcast,expanding,36,35,23
BTN,2016-01-01,5,2016-06-01,54,46,56,5,62,nowcast,expanding,36,35,33
BTN,2016-01-01,6,2016-07-01,78,66,81,7,89,nowcast,expanding,36,35,44
CHL,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,34,12,2
CHL,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,34,12,7
CHL,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,34,12,NA
CHL,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,34,12,NA
CHL,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,34,12,NA
CHL,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,34,12,NA
CHN,2016-01-01,1,2016-02-01,19,9,33,0,69,nowcast,expanding,71,0,0
CHN,2016-01-01,2,2016-03-01,4,3,6,0,23,nowcast,expanding,71,0,0
CHN,2016-01-01,3,2016-04-01,4,4,5,3,8,nowcast,expanding,71,0,0
CHN,2016-01-01,4,2016-05-01,13,10,15,6,26,nowcast,expanding,71,0,0
CHN,2016-01-01,5,2016-06-01,36,29,45,12,123,nowcast,expanding,71,0,0
CHN,2016-01-01,6,2016-07-01,144,96,180,17,526,nowcast,expanding,71,0,124
CIV,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
CIV,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
CIV,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
CIV,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
CIV,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
CIV,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
COK,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,24,1,NA
COK,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,24,1,NA
COK,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,24,1,NA
COK,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,24,1,NA
COK,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,24,1,NA
COK,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,24,1,NA
COL,2016-01-01,1,2016-02-01,9655,7425,11184,5616,18050,nowcast,expanding,72,0,11834
COL,2016-01-01,2,2016-03-01,10522,8092,12189,6120,19671,nowcast,expanding,72,0,10080
COL,2016-01-01,3,2016-04-01,10421,8014,12071,6061,19481,nowcast,expanding,72,0,10094
COL,2016-01-01,4,2016-05-01,11643,8954,13488,6772,21767,nowcast,expanding,72,0,13312
COL,2016-01-01,5,2016-06-01,10603,8154,12282,6167,19822,nowcast,expanding,72,0,9199
COL,2016-01-01,6,2016-07-01,9843,7570,11403,5725,18402,nowcast,expanding,72,0,8850
CRI,2016-01-01,1,2016-02-01,1261,581,2239,0,4595,nowcast,expanding,71,0,2145
CRI,2016-01-01,2,2016-03-01,1427,1266,1528,369,3264,nowcast,expanding,71,0,967
CRI,2016-01-01,3,2016-04-01,1223,1085,1309,316,2796,nowcast,expanding,71,0,747
CRI,2016-01-01,4,2016-05-01,2028,1799,2171,524,4637,nowcast,expanding,71,0,1619
CRI,2016-01-01,5,2016-06-01,3356,2977,3593,867,7675,nowcast,expanding,71,0,2573
CRI,2016-01-01,6,2016-07-01,4355,3864,4663,1125,9960,nowcast,expanding,71,0,4676
CUB,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,22,0,81
