model,window_type,origin_date,n_countries,n_forecasts,n_fit_warnings,fit_error,seconds
nowcast,expanding,2016-01-01,96,576,0,NA,9.95
nowcast,expanding,2016-07-01,96,576,0,NA,11.48
nowcast,expanding,2017-01-01,96,576,0,NA,12.46
nowcast,expanding,2017-07-01,96,576,0,NA,14.04
nowcast,expanding,2018-01-01,96,576,0,NA,13.11
nowcast,expanding,2018-07-01,96,576,0,NA,14.33
nowcast,expanding,2019-01-01,96,576,0,NA,15.12
nowcast,expanding,2019-07-01,96,576,0,NA,16.71
nowcast,expanding,2020-01-01,96,576,0,NA,17.87
nowcast,expanding,2020-07-01,96,576,0,NA,20.9
nowcast,expanding,2021-01-01,96,576,0,NA,22.57
nowcast,expanding,2021-07-01,96,576,0,NA,24.91
nowcast,expanding,2022-01-01,96,576,0,NA,27.85
nowcast,expanding,2022-07-01,96,576,0,NA,29.46
nowcast,expanding,2023-01-01,96,576,0,NA,30.86
nowcast,expanding,2023-07-01,96,576,0,NA,33.42
nowcast,expanding,2024-01-01,96,576,0,NA,33.99
nowcast,expanding,2024-07-01,96,576,0,NA,35.74
nowcast,expanding,2025-01-01,96,576,0,NA,36.35
nowcast,expanding,2025-07-01,96,576,0,NA,36.88
nowcast,expanding,2026-01-01,96,576,0,NA,34.96
glm_ar1,expanding,2016-01-01,96,576,0,NA,1.05
glm_ar1,expanding,2016-07-01,96,576,1,NA,0.85
glm_ar1,expanding,2017-01-01,96,576,1,NA,0.85
glm_ar1,expanding,2017-07-01,96,576,1,NA,0.85
glm_ar1,expanding,2018-01-01,96,576,1,NA,0.52
glm_ar1,expanding,2018-07-01,96,576,0,NA,0.86
glm_ar1,expanding,2019-01-01,96,576,0,NA,0.86
glm_ar1,expanding,2019-07-01,96,576,0,NA,0.86
glm_ar1,expanding,2020-01-01,96,576,0,NA,1.02
glm_ar1,expanding,2020-07-01,96,576,0,NA,1
glm_ar1,expanding,2021-01-01,96,576,0,NA,1.07
glm_ar1,expanding,2021-07-01,96,576,0,NA,1.02
glm_ar1,expanding,2022-01-01,96,576,0,NA,0.83
glm_ar1,expanding,2022-07-01,96,576,0,NA,0.85
glm_ar1,expanding,2023-01-01,96,576,0,NA,0.9
glm_ar1,expanding,2023-07-01,96,576,0,NA,0.87
glm_ar1,expanding,2024-01-01,96,576,0,NA,0.86
glm_ar1,expanding,2024-07-01,96,576,0,NA,0.82
glm_ar1,expanding,2025-01-01,96,576,0,NA,0.86
glm_ar1,expanding,2025-07-01,96,576,0,NA,0.93
glm_ar1,expanding,2026-01-01,96,576,0,NA,0.81
