model,window_type,quantile_level,interval_range,interval_coverage,interval_coverage_deviation,quantile_coverage,quantile_coverage_deviation
glm_ar1,expanding,0.5,0,6.705409029950827e-4,6.705409029950827e-4,0.7796155565489495,0.2796155565489495
glm_ar1,expanding,0.25,50,0.31817165847116674,-0.18182834152883326,0.5187751452838623,0.2687751452838623
glm_ar1,expanding,0.75,50,0.31817165847116674,-0.18182834152883326,0.8319177469825659,0.08191774698256593
glm_ar1,expanding,0.05,90,0.6497541350022351,-0.25024586499780654,0.29425569959767545,0.24425569959769522
glm_ar1,expanding,0.95,90,0.6497541350022351,-0.25024586499780654,0.9177469825659366,-0.032253017434056896
nowcast,expanding,0.5,0,0.019078089821068848,0.019078089821068848,0.5576490105462732,0.057649010546273256
nowcast,expanding,0.25,50,0.327171465813485,-0.172828534186515,0.402654342931627,0.15265434293162697
nowcast,expanding,0.75,50,0.327171465813485,-0.172828534186515,0.703400876881147,-0.04659912311885295
nowcast,expanding,0.05,90,0.6350278469012917,-0.26497215309875227,0.2513330963384287,0.20133309633846047
nowcast,expanding,0.95,90,0.6350278469012917,-0.26497215309875227,0.8391989572224198,-0.11080104277759596
