model,horizon,window_type,compare_against,mean_scores_ratio,pval,adj_pval,wis_relative_skill,wis_scaled_relative_skill,baseline
glm_ar1,1,expanding,nowcast,0.8954625643681328,1.2037175535399478e-4,1.2037175535399478e-4,0.9462888377066131,0.8954625643681328,nowcast
glm_ar1,1,expanding,glm_ar1,1,1,1,0.9462888377066131,0.8954625643681328,nowcast
nowcast,1,expanding,glm_ar1,1.1167412684701479,1.2037175535399478e-4,1.2037175535399478e-4,1.056759796959625,1,nowcast
nowcast,1,expanding,nowcast,1,1,1,1.056759796959625,1,nowcast
glm_ar1,2,expanding,nowcast,1.1945852723773382,3.2397056545194045e-25,3.2397056545194045e-25,1.0929708469933397,1.1945852723773382,nowcast
glm_ar1,2,expanding,glm_ar1,1,1,1,1.0929708469933397,1.1945852723773382,nowcast
nowcast,2,expanding,glm_ar1,0.8371106049297803,3.2397056545194045e-25,3.2397056545194045e-25,0.9149374868972089,1,nowcast
nowcast,2,expanding,nowcast,1,1,1,0.9149374868972089,1,nowcast
glm_ar1,3,expanding,nowcast,1.3836404918771845,3.5762757260177146e-40,3.5762757260177146e-40,1.1762824881282492,1.3836404918771845,nowcast
glm_ar1,3,expanding,glm_ar1,1,1,1,1.1762824881282492,1.3836404918771845,nowcast
nowcast,3,expanding,glm_ar1,0.7227310893766201,3.5762757260177146e-40,3.5762757260177146e-40,0.8501359240595707,1,nowcast
nowcast,3,expanding,nowcast,1,1,1,0.8501359240595707,1,nowcast
glm_ar1,4,expanding,nowcast,1.5022144341585955,3.2144316322690457e-53,3.2144316322690457e-53,1.2256485769414476,1.5022144341585957,nowcast
glm_ar1,4,expanding,glm_ar1,1,1,1,1.2256485769414476,1.5022144341585957,nowcast
nowcast,4,expanding,glm_ar1,0.6656839245191446,3.2144316322690457e-53,3.2144316322690457e-53,0.8158945547796875,1,nowcast
nowcast,4,expanding,nowcast,1,1,1,0.8158945547796875,1,nowcast
glm_ar1,5,expanding,nowcast,1.685131832119986,1.041269255954379e-69,1.041269255954379e-69,1.298126277416795,1.685131832119986,nowcast
glm_ar1,5,expanding,glm_ar1,1,1,1,1.298126277416795,1.685131832119986,nowcast
nowcast,5,expanding,glm_ar1,0.5934253812901668,1.041269255954379e-69,1.041269255954379e-69,0.7703410811388464,1,nowcast
nowcast,5,expanding,nowcast,1,1,1,0.7703410811388464,1,nowcast
glm_ar1,6,expanding,nowcast,1.708447724524231,3.5060271755132894e-70,3.5060271755132894e-70,1.3070760209430172,1.7084477245242309,nowcast
glm_ar1,6,expanding,glm_ar1,1,1,1,1.3070760209430172,1.7084477245242309,nowcast
nowcast,6,expanding,glm_ar1,0.5853266597773603,3.5060271755132894e-70,3.5060271755132894e-70,0.7650664414136594,1,nowcast
nowcast,6,expanding,nowcast,1,1,1,0.7650664414136594,1,nowcast
glm_ar1,1,expanding,nowcast,0.8954625643681328,1.2037175535399478e-4,1.2037175535399478e-4,0.9462888377066131,1,glm_ar1
glm_ar1,1,expanding,glm_ar1,1,1,1,0.9462888377066131,1,glm_ar1
nowcast,1,expanding,glm_ar1,1.1167412684701479,1.2037175535399478e-4,1.2037175535399478e-4,1.056759796959625,1.1167412684701479,glm_ar1
nowcast,1,expanding,nowcast,1,1,1,1.056759796959625,1.1167412684701479,glm_ar1
glm_ar1,2,expanding,nowcast,1.1945852723773382,3.2397056545194045e-25,3.2397056545194045e-25,1.0929708469933397,1,glm_ar1
glm_ar1,2,expanding,glm_ar1,1,1,1,1.0929708469933397,1,glm_ar1
nowcast,2,expanding,glm_ar1,0.8371106049297803,3.2397056545194045e-25,3.2397056545194045e-25,0.9149374868972089,0.8371106049297803,glm_ar1
nowcast,2,expanding,nowcast,1,1,1,0.9149374868972089,0.8371106049297803,glm_ar1
glm_ar1,3,expanding,nowcast,1.3836404918771845,3.5762757260177146e-40,3.5762757260177146e-40,1.1762824881282492,1,glm_ar1
glm_ar1,3,expanding,glm_ar1,1,1,1,1.1762824881282492,1,glm_ar1
nowcast,3,expanding,glm_ar1,0.7227310893766201,3.5762757260177146e-40,3.5762757260177146e-40,0.8501359240595707,0.7227310893766201,glm_ar1
nowcast,3,expanding,nowcast,1,1,1,0.8501359240595707,0.7227310893766201,glm_ar1
glm_ar1,4,expanding,nowcast,1.5022144341585955,3.2144316322690457e-53,3.2144316322690457e-53,1.2256485769414476,1,glm_ar1
glm_ar1,4,expanding,glm_ar1,1,1,1,1.2256485769414476,1,glm_ar1
nowcast,4,expanding,glm_ar1,0.6656839245191446,3.2144316322690457e-53,3.2144316322690457e-53,0.8158945547796875,0.6656839245191446,glm_ar1
nowcast,4,expanding,nowcast,1,1,1,0.8158945547796875,0.6656839245191446,glm_ar1
glm_ar1,5,expanding,nowcast,1.685131832119986,1.041269255954379e-69,1.041269255954379e-69,1.298126277416795,1,glm_ar1
glm_ar1,5,expanding,glm_ar1,1,1,1,1.298126277416795,1,glm_ar1
nowcast,5,expanding,glm_ar1,0.5934253812901668,1.041269255954379e-69,1.041269255954379e-69,0.7703410811388464,0.5934253812901668,glm_ar1
nowcast,5,expanding,nowcast,1,1,1,0.7703410811388464,0.5934253812901668,glm_ar1
