model,window_type,stratum_axis,stratum_value,n_obs,n_seasons,thin_evidence,mean_peak_timing_diff,median_peak_timing_diff,mean_dtw_distance
glm_ar1,expanding,overall,all,1533,808,FALSE,1.3198924731182826,1,1.1938524766243201
nowcast,expanding,overall,all,1410,741,FALSE,0.11370262390670614,0,0.6783218039536242
glm_ar1,expanding,seasonality_signal,moderate,496,260,FALSE,1.0838574423480107,1,1.1647856302858053
glm_ar1,expanding,seasonality_signal,strong,444,237,FALSE,1.7336448598130836,2,1.3923699164013732
glm_ar1,expanding,seasonality_signal,weak,593,311,FALSE,1.209262435677531,1,1.0718960812193337
nowcast,expanding,seasonality_signal,moderate,453,237,FALSE,0.01834862385321095,0,0.6622525253174788
nowcast,expanding,seasonality_signal,strong,393,208,FALSE,0.07874015748031486,0,0.7567837846230161
nowcast,expanding,seasonality_signal,weak,564,296,FALSE,0.21261261261261236,0,0.6370825081884371
glm_ar1,expanding,endemicity,emerging,614,327,FALSE,2.286701208981002,2,1.7230302203904408
glm_ar1,expanding,endemicity,endemic,919,481,FALSE,0.7040704070407046,0,0.8567854649185074
nowcast,expanding,endemicity,emerging,510,270,FALSE,0.2099792099792102,0,0.8748338678491231
nowcast,expanding,endemicity,endemic,900,471,FALSE,0.061728395061727843,0,0.5722361667664919
glm_ar1,expanding,size_class,continental,78,41,FALSE,0.44736842105263225,0,1.2303337566051615
glm_ar1,expanding,size_class,large,186,97,FALSE,-0.29891304347826164,0,0.6908728174414117
glm_ar1,expanding,size_class,medium,473,251,FALSE,0.6008676789587851,0,0.8024741218063801
glm_ar1,expanding,size_class,small,158,82,FALSE,1.5163398692810448,1,1.091101761803536
glm_ar1,expanding,size_class,very_small,638,337,FALSE,2.4039087947882747,2,1.6595234227965703
nowcast,expanding,size_class,continental,78,41,FALSE,-0.0921052631578944,0,0.5958568759648587
nowcast,expanding,size_class,large,175,91,FALSE,-0.37572254335260086,0,0.5823487000076908
nowcast,expanding,size_class,medium,430,226,FALSE,-0.07125890736341975,0,0.5239559699046954
nowcast,expanding,size_class,small,148,77,FALSE,0.03496503496503493,0,0.6808362946619786
nowcast,expanding,size_class,very_small,579,306,FALSE,0.4525939177101958,0,0.8348497564994151
