model,window_type,iso3,origin_date,n_months,peak_timing_diff,dtw_distance,season,region,seasonality_signal,endemicity,size_class
glm_ar1,expanding,ABW,2016-01-01,6,4,1.5717111167793318,2015/2016,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2016-07-01,6,0,0.2372848577589833,2016/2017,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2017-01-01,6,4,0.7650569458761804,2016/2017,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2017-07-01,6,3,0.6875178940480774,2017/2018,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2018-01-01,6,4,1.7344087438727884,2017/2018,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2018-07-01,6,0,1.9283668241882015,2018/2019,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2019-01-01,5,3,2.3724043645506705,2018/2019,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2023-07-01,6,4,2.1249152900216552,2023/2024,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2024-01-01,5,1,1.3337546483133922,2023/2024,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2025-01-01,6,1,2.2992089936606885,2024/2025,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2025-07-01,6,5,3.11957501034777,2025/2026,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ABW,2026-01-01,6,4,3.3215476800555934,2025/2026,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,AFG,2021-07-01,6,2,1.068428730529406,2021/2022,South Asia,strong,emerging,medium
glm_ar1,expanding,AFG,2022-01-01,6,0,3.1683382840550807,2021/2022,South Asia,strong,emerging,medium
glm_ar1,expanding,AFG,2022-07-01,6,3,0.9075576777258371,2022/2023,South Asia,strong,emerging,medium
glm_ar1,expanding,AFG,2023-01-01,6,0,0.8649118545796973,2022/2023,South Asia,strong,emerging,medium
glm_ar1,expanding,AFG,2023-07-01,6,0,0.8790254919852054,2023/2024,South Asia,strong,emerging,medium
glm_ar1,expanding,AFG,2024-01-01,6,0,1.0523082394130059,2023/2024,South Asia,strong,emerging,medium
glm_ar1,expanding,AFG,2024-07-01,6,3,0.6528561943819613,2024/2025,South Asia,strong,emerging,medium
glm_ar1,expanding,AFG,2025-01-01,6,0,0.7657736415170003,2024/2025,South Asia,strong,emerging,medium
glm_ar1,expanding,AFG,2025-07-01,6,3,0.9770289801239015,2025/2026,South Asia,strong,emerging,medium
glm_ar1,expanding,AFG,2026-01-01,6,0,0.6435467694013984,2025/2026,South Asia,strong,emerging,medium
glm_ar1,expanding,ARG,2016-01-01,6,-1,0.7846918729755098,2015/2016,South America,strong,endemic,large
glm_ar1,expanding,ARG,2016-07-01,6,1,1.0748880171449446,2016/2017,South America,strong,endemic,large
glm_ar1,expanding,ARG,2017-01-01,6,3,0.9062081958051712,2016/2017,South America,strong,endemic,large
glm_ar1,expanding,ARG,2017-07-01,6,0,0.41793098820364477,2017/2018,South America,strong,endemic,large
glm_ar1,expanding,ARG,2018-01-01,6,3,0.8109805320988851,2017/2018,South America,strong,endemic,large
glm_ar1,expanding,ARG,2018-07-01,6,0,1.7103077764157615,2018/2019,South America,strong,endemic,large
glm_ar1,expanding,ARG,2019-01-01,6,4,0.8190065722136765,2018/2019,South America,strong,endemic,large
glm_ar1,expanding,ARG,2019-07-01,6,0,1.2738887125301848,2019/2020,South America,strong,endemic,large
glm_ar1,expanding,ARG,2020-01-01,6,4,1.4141646670773167,2019/2020,South America,strong,endemic,large
glm_ar1,expanding,ARG,2020-07-01,6,0,2.3285129889882565,2020/2021,South America,strong,endemic,large
glm_ar1,expanding,ARG,2021-01-01,6,3,0.585278363539465,2020/2021,South America,strong,endemic,large
glm_ar1,expanding,ARG,2021-07-01,6,1,1.2144467906585685,2021/2022,South America,strong,endemic,large
glm_ar1,expanding,ARG,2022-01-01,6,3,1.2097119509340126,2021/2022,South America,strong,endemic,large
glm_ar1,expanding,ARG,2022-07-01,6,0,1.6883193146713251,2022/2023,South America,strong,endemic,large
glm_ar1,expanding,ARG,2023-01-01,6,3,1.880073326708371,2022/2023,South America,strong,endemic,large
glm_ar1,expanding,ARG,2023-07-01,6,-5,1.170646701036502,2023/2024,South America,strong,endemic,large
glm_ar1,expanding,ARG,2024-01-01,6,-1,1.5278875118336483,2023/2024,South America,strong,endemic,large
glm_ar1,expanding,ARG,2024-07-01,6,0,0.568212941562828,2024/2025,South America,strong,endemic,large
glm_ar1,expanding,ARG,2025-01-01,6,4,1.0599157041555285,2024/2025,South America,strong,endemic,large
glm_ar1,expanding,ARG,2025-07-01,6,5,1.0497191843160496,2025/2026,South America,strong,endemic,large
glm_ar1,expanding,ARG,2026-01-01,6,4,1.548878438247841,2025/2026,South America,strong,endemic,large
glm_ar1,expanding,ATG,2016-01-01,6,5,2.9238143972500885,2015/2016,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2016-07-01,6,2,0.8177406313728017,2016/2017,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2017-01-01,2,NA,NA,2016/2017,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2018-07-01,6,0,1.2634212919654828,2018/2019,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2019-01-01,6,5,1.9281271464011323,2018/2019,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2019-07-01,6,1,0.47936330830133783,2019/2020,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2020-01-01,2,NA,NA,2019/2020,Caribbean,moderate,emerging,very_small
