model,window_type,density,bin,mid
glm_ar1,expanding,5.885113991953508,"[0,0.05)",0.025
glm_ar1,expanding,1.122597228430934,"[0.05,0.25)",0.15
glm_ar1,expanding,1.0433616450603491,"[0.25,0.5)",0.375
glm_ar1,expanding,0.20920876173446556,"[0.5,0.75)",0.625
glm_ar1,expanding,0.42914617791685317,"[0.75,0.95)",0.85
glm_ar1,expanding,1.6450603486812687,"[0.95,1)",0.975
nowcast,expanding,5.026661926768574,"[0,0.05)",0.025
nowcast,expanding,0.7566062329659914,"[0.05,0.25)",0.15
nowcast,expanding,0.619978670458585,"[0.25,0.5)",0.375
nowcast,expanding,0.5830074653394952,"[0.5,0.75)",0.625
nowcast,expanding,0.6789904017063636,"[0.75,0.95)",0.85
nowcast,expanding,3.2160208555516046,"[0.95,1)",0.975
