model,window_type,lead_time,n_obs,n_seasons,thin_evidence,crps,crps_log,dispersion,dispersion_log,overprediction,overprediction_log,underprediction,underprediction_log,bias,coverage_50,coverage_90,uMAE,uRMSE
glm_ar1,expanding,1,1533,808,FALSE,2719.9884801043704,0.5993161359092409,386.2047879973907,0.2354605960878137,144.110893672538,0.29755332916169647,2189.6727984344534,0.06630221065973087,0.35505544683626844,0.5472928897586432,0.8303979125896934,1.4908213911678492,4.251005675781634
glm_ar1,expanding,2,1521,809,FALSE,5574.010230111769,0.9008495092385628,281.2220644312951,0.23975680207028274,211.73320184089437,0.544019433553791,5081.054963839575,0.11707327361448903,0.40808678500986234,0.3668639053254438,0.7527942143326759,3.597780670853309,10.682988261535979
glm_ar1,expanding,3,1487,809,FALSE,5500.6474377942195,1.1529398356595137,252.2767585743108,0.24063381214068072,260.1474108944176,0.7683981733550408,4988.22326832551,0.14390785016379262,0.4399462004034964,0.29993275050437124,0.648285137861466,7.362494745521129,24.782600766518776
glm_ar1,expanding,4,1473,810,FALSE,4333.886978954513,1.343279493826893,250.43565512559405,0.24058348801815474,336.47250509164957,0.9645207773826181,3746.978818737276,0.13817522842612023,0.45336048879837126,0.25661914460285135,0.5980991174473863,10.12680137005805,33.29641987890582
glm_ar1,expanding,5,1469,811,FALSE,2841.958761061947,1.553192643689294,260.29136827774,0.24035233864062192,447.79101429543897,1.1807886844036928,2133.876378488775,0.13205162064497897,0.5029271613342416,0.22123893805309736,0.5459496255956433,16.777071640220473,52.9893378559048
glm_ar1,expanding,6,1465,810,FALSE,3804.409965870307,1.6799627804030628,275.7317406143345,0.24040787667841934,469.73310580204986,1.2640947942697187,3058.945119453916,0.17546010945492474,0.4618430034129697,0.2054607508532423,0.5112627986348123,19.72364950286894,65.73053156320552
nowcast,expanding,1,1410,741,FALSE,1795.9880000000007,0.6605829964573703,564.1282836879433,0.15742653093320655,438.0846808510639,0.3124527479215773,793.77503546099,0.1907037176025867,0.05234042553191434,0.39078014184397164,0.7382978723404255,0.9105185328428735,2.1766706857259503
nowcast,expanding,2,1410,743,FALSE,3060.2506808510652,0.7433349307066535,1108.6773475177301,0.15056014138914103,757.7739007092175,0.3527163761796702,1193.7994326241094,0.2400584131378422,0.02297872340425526,0.3574468085106383,0.6524822695035462,0.9943043423020278,2.518195779454845
nowcast,expanding,3,1404,749,FALSE,3661.166695156696,0.8193920377290573,1568.961424501424,0.147381422522836,1082.0131054131052,0.413802033581388,1010.1921652421664,0.2582085816248334,0.0675925925925928,0.3176638176638177,0.6175213675213675,1.1642583507652222,3.2193961335002808
nowcast,expanding,4,1402,752,FALSE,2989.445948644793,0.878527162617625,1042.0692011412266,0.14888221208111369,928.7398002853051,0.4720882918853437,1018.6369472182583,0.25755665865116784,0.10292439372325271,0.29814550641940085,0.6048502139800286,1.2214916695627231,3.376929322700944
nowcast,expanding,5,1400,753,FALSE,1984.7694571428576,0.9095594387695523,592.2863142857144,0.15183977284730052,563.8874285714268,0.49404768246644226,828.5957142857164,0.26367198345580956,0.12757142857142864,0.28214285714285714,0.5857142857142857,1.2205161993604354,3.034778359947872
nowcast,expanding,6,1413,764,FALSE,2801.0851946213734,0.9890053363237906,835.5057183297948,0.18987049755792196,609.0202406227882,0.5068272205491827,1356.5592356687864,0.29230761821668594,0.13262561924982347,0.31634819532908703,0.610757254069356,1.3401415810280708,2.9821331093083745
