model,window_type,stratum_axis,lead_time,stratum_value,n_obs,n_seasons,thin_evidence,crps,crps_log,dispersion,dispersion_log,overprediction,overprediction_log,underprediction,underprediction_log,bias,coverage_50,coverage_90,uMAE,uRMSE
glm_ar1,expanding,seasonality_signal,1,moderate,496,260,FALSE,1143.0404032258064,0.5848312116070515,357.7158064516128,0.2308670499815828,114.77258064516136,0.3009615616337772,670.552016129032,0.05300259999169153,0.321975806451613,0.5241935483870968,0.8346774193548387,1.282317067403091,3.043323271290858
glm_ar1,expanding,seasonality_signal,1,strong,444,237,FALSE,7232.991081081082,0.7404999032627544,547.6343243243242,0.23808282895194285,93.70360360360353,0.378311943128181,6591.65315315316,0.12410513118263049,0.34256756756756745,0.42567567567567566,0.8130630630630631,2.454785381044704,6.868575458192876
glm_ar1,expanding,seasonality_signal,1,weak,593,311,FALSE,659.9431028667792,0.5057224255364348,289.16569983136594,0.2373393945313503,206.3919055649238,0.23423577788467886,164.38549747048916,0.03414725312040558,0.39207419898819534,0.657672849915683,0.8397976391231029,0.9434657977142169,1.9095585911886108
glm_ar1,expanding,seasonality_signal,2,moderate,493,261,FALSE,1935.5477890466532,0.8768514551384534,282.9161460446247,0.2357031945338092,189.60446247464512,0.5485063824086439,1463.0271805273844,0.09264187819600045,0.4016227180527384,0.3630831643002028,0.7403651115618661,2.8237728017483805,6.678316550693957
glm_ar1,expanding,seasonality_signal,2,strong,438,237,FALSE,15979.910958904107,1.1240386343263562,315.51232876712334,0.24402058721296294,120.59406392694066,0.6467713169700116,15543.804566210021,0.233246730143382,0.37328767123287676,0.2922374429223744,0.6940639269406392,6.459036332179078,17.92896672952974
glm_ar1,expanding,seasonality_signal,2,weak,590,311,FALSE,889.2262711864406,0.7552125666672074,254.35033898305085,0.23997865058382087,297.88305084745684,0.4639899577542201,336.9928813559325,0.05124395832916644,0.43932203389830476,0.42542372881355933,0.8067796610169492,2.1204177891720275,4.279255100177718
glm_ar1,expanding,seasonality_signal,3,moderate,477,261,FALSE,2332.5797484276727,1.126256687781689,260.04851153039834,0.2374050241334883,295.9056603773584,0.7743929512386903,1776.625576519915,0.1144587124095104,0.4532494758909854,0.29350104821802936,0.6289308176100629,6.356167496516432,16.789755155967544
glm_ar1,expanding,seasonality_signal,3,strong,428,238,FALSE,15218.362897196259,1.473472200109122,251.85168224299062,0.24496187242162445,129.6523364485981,0.9344673101177349,14836.858878504654,0.2940430175697627,0.3735981308411215,0.24299065420560748,0.5350467289719626,13.32981182975726,41.67993459597292
glm_ar1,expanding,seasonality_signal,3,weak,582,310,FALSE,950.7953264604811,0.9390910548232425,246.21972508591065,0.24009725213928373,326.8058419243984,0.6413584833465628,377.7697594501712,0.057635319337396095,0.4778350515463916,0.3470790378006873,0.7474226804123711,3.7989318343908463,7.786725267443021
glm_ar1,expanding,seasonality_signal,4,moderate,473,263,FALSE,2071.346131078224,1.3413295055426313,257.17446088794924,0.237768510685412,380.16532769556017,0.9771122855911601,1434.0063424947143,0.12644870926605942,0.42642706131078234,0.2346723044397463,0.5644820295983086,7.201046062503707,15.801620650437334
glm_ar1,expanding,seasonality_signal,4,strong,420,238,FALSE,11300.296714285714,1.5994416444626243,239.38433333333336,0.2446841688798144,198.09380952380968,1.1107922442598077,10862.818571428586,0.24396523132300185,0.41928571428571415,0.24285714285714285,0.5095238095238095,19.188329228270344,57.889717472349375
glm_ar1,expanding,seasonality_signal,4,weak,580,309,FALSE,1134.3865172413794,1.159373013122494,252.94272413793098,0.2399096920121034,401.04551724137974,0.8483314679497557,480.3982758620686,0.07113185316063506,0.4999999999999998,0.28448275862068967,0.6896551724137931,5.951009232168465,13.609560811786903
glm_ar1,expanding,seasonality_signal,5,moderate,473,263,FALSE,1930.1646088794928,1.4969355393732569,264.3967441860465,0.23764849106519811,477.30274841437614,1.129245679910996,1188.4651162790708,0.1300413683970628,0.44038054968287554,0.21775898520084566,0.5348837209302325,11.286772556660695,26.99621125635793
glm_ar1,expanding,seasonality_signal,5,strong,417,238,FALSE,5901.585275779377,1.8602543411976695,247.59630695443644,0.244212753074374,382.0700239808155,1.4197599294255723,5271.918944844131,0.19628165869772307,0.5505995203836931,0.18225419664268586,0.4892086330935252,31.435484061363393,89.24043097497348
glm_ar1,expanding,seasonality_signal,5,weak,579,310,FALSE,1383.261658031088,1.3780024579906636,266.08065630397243,0.23978088282767002,471.01485319516337,1.0507866670477723,646.1661485319526,0.08743490811522134,0.5196891191709846,0.25215889464594127,0.5958549222797928,10.705143292909902,28.15922382076509
glm_ar1,expanding,seasonality_signal,6,moderate,469,262,FALSE,2872.5855437100213,1.7090216159383564,278.135223880597,0.237664317878953,511.85756929637427,1.275909682588096,2082.5927505330496,0.19544761547130748,0.4076759061833689,0.19189765458422176,0.4904051172707889,14.614752454708206,31.003471004461858
glm_ar1,expanding,seasonality_signal,6,strong,417,238,FALSE,7810.102494004795,2.0082972069454503,263.7893045563549,0.24389702888999681,439.6249400479613,1.5312854809111005,7106.688249400486,0.2331146971443528,0.5285371702637889,0.17026378896882494,0.4724220623501199,34.591831769145905,112.56784092525332
