iso3,origin_date,horizon,target_date,model,window_type,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,dispersion_log,overprediction_log,underprediction_log,ae_median_log,crps,crps_log,.pred,actual,lead_time,squared_error,season,season_nMonth,region,seasonality_signal,endemicity,size_class,mean_actual_predicted_month,umae_row,urmse_sq_row
ABW,2016-01-01,1,2016-02-01,glm_ar1,expanding,30,0,56.17999999999999,0.5,TRUE,TRUE,150,0.28467360699025257,0.13350094998932144,0,0.6675047499466071,86.18000000000002,0.41817455697957395,307,157,1,22500,2015/2016,8,Caribbean,moderate,emerging,very_small,82.70000000000002,1.8137847642079803,3.289815170872999
ABW,2016-01-01,2,2016-03-01,glm_ar1,expanding,67.4,0,98.92,0.5,TRUE,TRUE,337,0.2866097074789418,0.1944512044602476,0,0.972256022301238,166.32000000000002,0.4810609119391895,541,204,2,113569,2015/2016,9,Caribbean,moderate,emerging,very_small,114.3,2.9483814523184604,8.692953188375514
ABW,2016-01-01,3,2016-04-01,glm_ar1,expanding,123.4,0,148.34,0.5,TRUE,TRUE,617,0.28658951440794245,0.28452329006345867,0,1.4226164503172933,271.74,0.5711128044714011,812,195,3,380689,2015/2016,10,Caribbean,moderate,emerging,very_small,96.1,6.420395421436004,41.22147736759641
ABW,2016-01-01,4,2016-05-01,glm_ar1,expanding,224.6,0,198.26,0.9,FALSE,TRUE,947,0.28721637938104294,0.6073469472129224,0,2.055782567363189,422.86,0.8945633265939653,1085,138,4,896809,2015/2016,11,Caribbean,moderate,emerging,very_small,70.79999999999998,13.375706214689268,178.90951674167712
ABW,2016-01-01,5,2016-06-01,glm_ar1,expanding,332.6,0,244,0.9,FALSE,TRUE,1259,0.2870172296462023,1.0795272606743334,0,2.8414747504123516,576.6000000000001,1.366544490320536,1336,77,5,1585081,2015/2016,12,Caribbean,moderate,emerging,very_small,41.8,30.119617224880386,907.1913417733111
ABW,2016-01-01,6,2016-07-01,glm_ar1,expanding,420,0,283.15999999999997,1,FALSE,FALSE,1516,0.28707342867640256,1.671880209135479,0,3.7913071016871256,703.1600000000001,1.958953637811882,1550,34,6,2298256,2016/2017,1,Caribbean,moderate,emerging,very_small,17.4,87.1264367816092,7591.015986259746
ARG,2016-01-01,1,2016-02-01,glm_ar1,expanding,0,11050.6,714.32,-1,FALSE,FALSE,15245,0.2875576437575419,0,0.9822273138480423,1.5886194319103932,11764.92,1.2697849576055842,3911,19156,1,232410025,2015/2016,7,South America,strong,endemic,large,6904.3125,2.2080402646896413,4.875441810490702
ARG,2016-01-01,2,2016-03-01,glm_ar1,expanding,0,16788.4,611.6600000000001,-1,FALSE,FALSE,20380,0.2874349131414812,0,1.351391511915295,1.9577797246106972,17400.059999999998,1.6388264250567766,3349,23729,2,415344400,2015/2016,8,South America,strong,endemic,large,24042.5625,0.8476633886259004,0.7185332204167443
ARG,2016-01-01,3,2016-04-01,glm_ar1,expanding,0,10001.4,547.24,-1,FALSE,FALSE,13215,0.2873676634481253,0,1.0817034451724603,1.688139920431535,10548.64,1.3690711086205856,2996,16211,3,174636225,2015/2016,9,South America,strong,endemic,large,16290.4375,0.8112120991225681,0.6580650697628432
ARG,2016-01-01,4,2016-05-01,glm_ar1,expanding,0,4219.8,505.28000000000003,-1,FALSE,FALSE,7187,0.28752538714825593,0,0.673729564248859,1.2802107796315738,4725.08,0.9612549513971149,2766,9953,4,51652969,2015/2016,10,South America,strong,endemic,large,4240.9375,1.6946724633409476,2.8719147580060755
ARG,2016-01-01,5,2016-06-01,glm_ar1,expanding,162.6,0,477.2,0.5,TRUE,TRUE,813,0.2873009144147578,0.07450790980164221,0,0.37253954900821107,639.8000000000002,0.36180882421640004,2613,1800,5,660969,2015/2016,11,South America,strong,endemic,large,884,0.919683257918552,0.8458172948956819
ARG,2016-01-01,6,2016-07-01,glm_ar1,expanding,273,0,458.02,0.5,TRUE,TRUE,1365,0.28747267417384387,0.15707067488533574,0,0.7853533744266787,731.0200000000001,0.4445433490591796,2508,1143,6,1863225,2015/2016,12,South America,strong,endemic,large,316.625,4.311093564942755,18.585527725690838
ATG,2016-01-01,1,2016-02-01,glm_ar1,expanding,11.6,0,11.38,0.9,FALSE,TRUE,52,0.27537965866852526,0.44551271344538745,0,1.745239453593162,22.980000000000004,0.7208923721139128,62,10,1,2704,2015/2016,11,Caribbean,moderate,emerging,very_small,24,2.1666666666666665,4.694444444444445
ATG,2016-01-01,2,2016-03-01,glm_ar1,expanding,44.2,0,31.68,0.9,FALSE,TRUE,165,0.28183593074748603,1.1578434784988638,0,2.9618307218783095,75.88000000000001,1.43967940924635,173,8,2,27225,2015/2016,12,Caribbean,moderate,emerging,very_small,15.333333333333332,10.760869565217392,115.79631379962194
ATG,2016-01-01,3,2016-04-01,glm_ar1,expanding,102.2,0,65.7,1,FALSE,FALSE,357,0.285458534968121,2.402664397595706,0,4.50258359721299,167.90000000000003,2.6881229325638265,360,3,3,127449,2016/2017,1,Caribbean,moderate,emerging,very_small,3.9,91.53846153846155,8379.289940828403
ATG,2016-01-01,4,2016-05-01,glm_ar1,expanding,172.2,0,110.72,1,FALSE,FALSE,601,0.2864307410727189,2.510841204008165,0,4.616769321831443,282.92,2.797271945080884,606,5,4,361201,2016/2017,2,Caribbean,moderate,emerging,very_small,7.4,81.21621621621621,6596.073776479181
ATG,2016-01-01,5,2016-06-01,glm_ar1,expanding,253.6,0,160.7,1,FALSE,FALSE,876,0.2868145611977685,3.0527249178738343,0,5.171619713502079,414.30000000000007,3.339539479071603,880,4,5,767376,2016/2017,3,Caribbean,moderate,emerging,very_small,6.6,132.72727272727275,17616.528925619838
ATG,2016-01-01,6,2016-07-01,glm_ar1,expanding,330.2,0,209.98000000000002,1,FALSE,FALSE,1143,0.2873977045780852,2.9758468150141395,0,5.101607072301983,540.1800000000001,3.2632445195922246,1149,6,6,1306449,2016/2017,4,Caribbean,moderate,emerging,very_small,8.5,134.47058823529412,18082.33910034602
AUS,2016-01-01,1,2016-02-01,glm_ar1,expanding,50.6,0,82.2,0.5,TRUE,TRUE,253,0.28602527916345055,0.16464006176162868,0,0.8232003088081434,132.80000000000004,0.45066534092507926,450,197,1,64009,2015/2016,6,Pacific Islands,weak,endemic,continental,139.8,1.8097281831187408,3.275116096774259
