iso3,country,region
ATG,Antigua And Barbuda,Caribbean
ABW,Aruba,Caribbean
BHS,Bahamas,Caribbean
BRB,Barbados,Caribbean
BES,Caribbean Netherlands,Caribbean
CYM,Cayman Islands,Caribbean
CUB,Cuba,Caribbean
CUW,Curaçao,Caribbean
DMA,Dominica,Caribbean
DOM,Dominican Republic,Caribbean
GRD,Grenada,Caribbean
GLP,Guadeloupe,Caribbean
HTI,Haiti,Caribbean
JAM,Jamaica,Caribbean
MTQ,Martinique,Caribbean
PRI,Puerto Rico,Caribbean
BLM,Saint Barthelemy,Caribbean
KNA,Saint Kitts And Nevis,Caribbean
LCA,Saint Lucia,Caribbean
MAF,Saint Martin,Caribbean
VCT,Saint Vincent And The Grenadines,Caribbean
SXM,Sint Maarten,Caribbean
TTO,Trinidad And Tobago,Caribbean
TCA,Turks And Caicos Islands,Caribbean
VGB,Virgin Islands (Uk),Caribbean
BRN,Brunei,East & Southeast Asia
KHM,Cambodia,East & Southeast Asia
CHN,China,East & Southeast Asia
IDN,Indonesia,East & Southeast Asia
LAO,Lao People's Democratic Republic,East & Southeast Asia
MYS,Malaysia,East & Southeast Asia
MMR,Myanmar,East & Southeast Asia
PHL,Philippines,East & Southeast Asia
SGP,Singapore,East & Southeast Asia
TWN,Taiwan,East & Southeast Asia
THA,Thailand,East & Southeast Asia
TLS,Timor-Leste,East & Southeast Asia
VNM,Viet Nam,East & Southeast Asia
OMN,Oman,"Europe, Middle East & North Africa"
SAU,Saudi Arabia,"Europe, Middle East & North Africa"
SDN,Sudan,"Europe, Middle East & North Africa"
YEM,Yemen,"Europe, Middle East & North Africa"
BLZ,Belize,North & Central America
CRI,Costa Rica,North & Central America
SLV,El Salvador,North & Central America
GTM,Guatemala,North & Central America
HND,Honduras,North & Central America
MEX,Mexico,North & Central America
NIC,Nicaragua,North & Central America
PAN,Panama,North & Central America
USA,United States Of America,North & Central America
AUS,Australia,Pacific Islands
COK,Cook Islands,Pacific Islands
FJI,Fiji,Pacific Islands
PYF,French Polynesia,Pacific Islands
KIR,Kiribati,Pacific Islands
MHL,Marshall Islands,Pacific Islands
FSM,Micronesia (Federated States Of),Pacific Islands
NCL,New Caledonia,Pacific Islands
PLW,Palau,Pacific Islands
WSM,Samoa,Pacific Islands
SLB,Solomon Islands,Pacific Islands
TON,Tonga,Pacific Islands
TUV,Tuvalu,Pacific Islands
VUT,Vanuatu,Pacific Islands
WLF,Wallis And Futuna,Pacific Islands
ARG,Argentina,South America
BOL,Bolivia,South America
BRA,Brazil,South America
CHL,Chile,South America
COL,Colombia,South America
ECU,Ecuador,South America
GUF,French Guiana,South America
GUY,Guyana,South America
PRY,Paraguay,South America
PER,Peru,South America
SUR,Suriname,South America
URY,Uruguay,South America
VEN,Venezuela,South America
AFG,Afghanistan,South Asia
BGD,Bangladesh,South Asia
BTN,Bhutan,South Asia
IND,India,South Asia
MDV,Maldives,South Asia
NPL,Nepal,South Asia
PAK,Pakistan,South Asia
LKA,Sri Lanka,South Asia
BFA,Burkina Faso,Sub-Saharan Africa
CIV,Cote D'ivoire,Sub-Saharan Africa
ERI,Eritrea,Sub-Saharan Africa
ETH,Ethiopia,Sub-Saharan Africa
KEN,Kenya,Sub-Saharan Africa
MRT,Mauritania,Sub-Saharan Africa
REU,Reunion,Sub-Saharan Africa
SEN,Senegal,Sub-Saharan Africa
SYC,Seychelles,Sub-Saharan Africa
