country,iso3,date,Year,Month,cases
Anguilla,NA,2024-01-01T00:00:00Z,2024,1,NA
Anguilla,NA,2024-02-01T00:00:00Z,2024,2,NA
Anguilla,NA,2024-03-01T00:00:00Z,2024,3,NA
Anguilla,NA,2024-04-01T00:00:00Z,2024,4,NA
Anguilla,NA,2024-05-01T00:00:00Z,2024,5,NA
Anguilla,NA,2024-06-01T00:00:00Z,2024,6,NA
Anguilla,NA,2024-07-01T00:00:00Z,2024,7,NA
Anguilla,NA,2024-08-01T00:00:00Z,2024,8,NA
Anguilla,NA,2024-09-01T00:00:00Z,2024,9,NA
Anguilla,NA,2024-10-01T00:00:00Z,2024,10,NA
Anguilla,NA,2024-11-01T00:00:00Z,2024,11,NA
Anguilla,NA,2024-12-01T00:00:00Z,2024,12,NA
Anguilla,NA,2025-01-01T00:00:00Z,2025,1,NA
Anguilla,NA,2025-02-01T00:00:00Z,2025,2,NA
Anguilla,NA,2025-03-01T00:00:00Z,2025,3,1
Anguilla,NA,2025-04-01T00:00:00Z,2025,4,NA
Anguilla,NA,2025-05-01T00:00:00Z,2025,5,NA
Antigua and Barbuda,NA,2024-01-01T00:00:00Z,2024,1,41
Antigua and Barbuda,NA,2024-02-01T00:00:00Z,2024,2,NA
Antigua and Barbuda,NA,2024-03-01T00:00:00Z,2024,3,NA
Antigua and Barbuda,NA,2024-04-01T00:00:00Z,2024,4,74
Antigua and Barbuda,NA,2024-05-01T00:00:00Z,2024,5,8
Antigua and Barbuda,NA,2024-06-01T00:00:00Z,2024,6,NA
Antigua and Barbuda,NA,2024-07-01T00:00:00Z,2024,7,NA
Antigua and Barbuda,NA,2024-08-01T00:00:00Z,2024,8,NA
Antigua and Barbuda,NA,2024-09-01T00:00:00Z,2024,9,12
Antigua and Barbuda,NA,2024-10-01T00:00:00Z,2024,10,NA
Antigua and Barbuda,NA,2024-11-01T00:00:00Z,2024,11,NA
Antigua and Barbuda,NA,2024-12-01T00:00:00Z,2024,12,NA
Antigua and Barbuda,NA,2025-01-01T00:00:00Z,2025,1,NA
Antigua and Barbuda,NA,2025-02-01T00:00:00Z,2025,2,NA
Antigua and Barbuda,NA,2025-03-01T00:00:00Z,2025,3,2
Antigua and Barbuda,NA,2025-04-01T00:00:00Z,2025,4,1
Antigua and Barbuda,NA,2025-05-01T00:00:00Z,2025,5,NA
Argentina,NA,2024-01-01T00:00:00Z,2024,1,32998
Argentina,NA,2024-02-01T00:00:00Z,2024,2,80049
Argentina,NA,2024-03-01T00:00:00Z,2024,3,229735
Argentina,NA,2024-04-01T00:00:00Z,2024,4,219578
Argentina,NA,2024-05-01T00:00:00Z,2024,5,18003
Argentina,NA,2024-06-01T00:00:00Z,2024,6,876
Argentina,NA,2024-07-01T00:00:00Z,2024,7,40
Argentina,NA,2024-08-01T00:00:00Z,2024,8,31
Argentina,NA,2024-09-01T00:00:00Z,2024,9,31
Argentina,NA,2024-10-01T00:00:00Z,2024,10,52
Argentina,NA,2024-11-01T00:00:00Z,2024,11,84
Argentina,NA,2024-12-01T00:00:00Z,2024,12,82
Argentina,NA,2025-01-01T00:00:00Z,2025,1,261
Argentina,NA,2025-02-01T00:00:00Z,2025,2,1690
Argentina,NA,2025-03-01T00:00:00Z,2025,3,9505
Argentina,NA,2025-04-01T00:00:00Z,2025,4,6212
Argentina,NA,2025-05-01T00:00:00Z,2025,5,4749
Argentina,NA,2025-06-01T00:00:00Z,2025,6,28
Aruba,NA,2024-01-01T00:00:00Z,2024,1,3
Aruba,NA,2024-02-01T00:00:00Z,2024,2,6
Aruba,NA,2024-03-01T00:00:00Z,2024,3,7
Aruba,NA,2024-04-01T00:00:00Z,2024,4,NA
Aruba,NA,2024-05-01T00:00:00Z,2024,5,NA
Aruba,NA,2024-06-01T00:00:00Z,2024,6,NA
Aruba,NA,2024-07-01T00:00:00Z,2024,7,NA
Aruba,NA,2024-08-01T00:00:00Z,2024,8,NA
Aruba,NA,2024-09-01T00:00:00Z,2024,9,3
Aruba,NA,2024-10-01T00:00:00Z,2024,10,4
Aruba,NA,2024-11-01T00:00:00Z,2024,11,NA
Aruba,NA,2024-12-01T00:00:00Z,2024,12,NA
Aruba,NA,2025-01-01T00:00:00Z,2025,1,NA
Aruba,NA,2025-02-01T00:00:00Z,2025,2,2
Aruba,NA,2025-03-01T00:00:00Z,2025,3,NA
Aruba,NA,2025-04-01T00:00:00Z,2025,4,2
Aruba,NA,2025-05-01T00:00:00Z,2025,5,2
Bahamas,NA,2024-01-01T00:00:00Z,2024,1,NA
Bahamas,NA,2024-02-01T00:00:00Z,2024,2,NA
Barbados,NA,2024-01-01T00:00:00Z,2024,1,373
Barbados,NA,2024-02-01T00:00:00Z,2024,2,386
Barbados,NA,2024-03-01T00:00:00Z,2024,3,214
Barbados,NA,2024-04-01T00:00:00Z,2024,4,51
Barbados,NA,2024-05-01T00:00:00Z,2024,5,15
Barbados,NA,2024-06-01T00:00:00Z,2024,6,5
Barbados,NA,2024-07-01T00:00:00Z,2024,7,11
Barbados,NA,2024-08-01T00:00:00Z,2024,8,19
Barbados,NA,2024-09-01T00:00:00Z,2024,9,15
Barbados,NA,2024-10-01T00:00:00Z,2024,10,17
Barbados,NA,2024-11-01T00:00:00Z,2024,11,11
Barbados,NA,2024-12-01T00:00:00Z,2024,12,1286
Barbados,NA,2025-01-01T00:00:00Z,2025,1,78
Barbados,NA,2025-02-01T00:00:00Z,2025,2,16
Barbados,NA,2025-03-01T00:00:00Z,2025,3,11
Barbados,NA,2025-04-01T00:00:00Z,2025,4,16
Barbados,NA,2025-05-01T00:00:00Z,2025,5,8
Barbados,NA,2025-06-01T00:00:00Z,2025,6,1
Belize,NA,2024-01-01T00:00:00Z,2024,1,73
Belize,NA,2024-02-01T00:00:00Z,2024,2,72
Belize,NA,2024-03-01T00:00:00Z,2024,3,39
Belize,NA,2024-04-01T00:00:00Z,2024,4,53
Belize,NA,2024-05-01T00:00:00Z,2024,5,66
Belize,NA,2024-06-01T00:00:00Z,2024,6,71
Belize,NA,2024-07-01T00:00:00Z,2024,7,147
Belize,NA,2024-08-01T00:00:00Z,2024,8,315
Belize,NA,2024-09-01T00:00:00Z,2024,9,180
Belize,NA,2024-10-01T00:00:00Z,2024,10,78
Belize,NA,2024-11-01T00:00:00Z,2024,11,54
Belize,NA,2024-12-01T00:00:00Z,2024,12,NA
Belize,NA,2025-01-01T00:00:00Z,2025,1,54
Belize,NA,2025-02-01T00:00:00Z,2025,2,55
Belize,NA,2025-03-01T00:00:00Z,2025,3,90
Belize,NA,2025-04-01T00:00:00Z,2025,4,47
Bermuda,NA,2024-01-01T00:00:00Z,2024,1,NA
Bermuda,NA,2024-02-01T00:00:00Z,2024,2,NA
Bermuda,NA,2024-03-01T00:00:00Z,2024,3,NA
Bermuda,NA,2024-04-01T00:00:00Z,2024,4,NA
Bermuda,NA,2024-05-01T00:00:00Z,2024,5,NA
Bermuda,NA,2024-06-01T00:00:00Z,2024,6,NA
