date,country,iso3,cases,Year,Month,Month.Year
2014-01-01,Canada,CAN,0,2014,1,1-2014
2014-02-01,Canada,CAN,0,2014,2,2-2014
2014-03-01,Canada,CAN,0,2014,3,3-2014
2014-04-01,Canada,CAN,0,2014,4,4-2014
2014-05-01,Canada,CAN,0,2014,5,5-2014
2014-06-01,Canada,CAN,0,2014,6,6-2014
2014-07-01,Canada,CAN,0,2014,7,7-2014
2014-08-01,Canada,CAN,0,2014,8,8-2014
2014-09-01,Canada,CAN,0,2014,9,9-2014
2014-10-01,Canada,CAN,0,2014,10,10-2014
2014-11-01,Canada,CAN,0,2014,11,11-2014
2014-12-01,Canada,CAN,0,2014,12,12-2014
2015-01-01,Canada,CAN,0,2015,1,1-2015
2015-02-01,Canada,CAN,0,2015,2,2-2015
2015-03-01,Canada,CAN,0,2015,3,3-2015
2015-04-01,Canada,CAN,0,2015,4,4-2015
2015-05-01,Canada,CAN,0,2015,5,5-2015
2015-06-01,Canada,CAN,0,2015,6,6-2015
2015-07-01,Canada,CAN,0,2015,7,7-2015
2015-08-01,Canada,CAN,0,2015,8,8-2015
2015-09-01,Canada,CAN,0,2015,9,9-2015
2015-10-01,Canada,CAN,0,2015,10,10-2015
2015-11-01,Canada,CAN,0,2015,11,11-2015
2015-12-01,Canada,CAN,0,2015,12,12-2015
2016-01-01,Canada,CAN,0,2016,1,1-2016
2016-02-01,Canada,CAN,0,2016,2,2-2016
2016-03-01,Canada,CAN,0,2016,3,3-2016
2016-04-01,Canada,CAN,0,2016,4,4-2016
2016-05-01,Canada,CAN,0,2016,5,5-2016
2016-06-01,Canada,CAN,0,2016,6,6-2016
2016-07-01,Canada,CAN,0,2016,7,7-2016
2016-08-01,Canada,CAN,0,2016,8,8-2016
2016-09-01,Canada,CAN,0,2016,9,9-2016
2016-10-01,Canada,CAN,0,2016,10,10-2016
2016-11-01,Canada,CAN,0,2016,11,11-2016
2016-12-01,Canada,CAN,0,2016,12,12-2016
2017-01-01,Canada,CAN,0,2017,1,1-2017
2017-02-01,Canada,CAN,0,2017,2,2-2017
2017-03-01,Canada,CAN,0,2017,3,3-2017
2017-04-01,Canada,CAN,0,2017,4,4-2017
2017-05-01,Canada,CAN,0,2017,5,5-2017
2017-06-01,Canada,CAN,0,2017,6,6-2017
2017-07-01,Canada,CAN,0,2017,7,7-2017
2017-08-01,Canada,CAN,0,2017,8,8-2017
2017-09-01,Canada,CAN,0,2017,9,9-2017
2017-10-01,Canada,CAN,0,2017,10,10-2017
2017-11-01,Canada,CAN,0,2017,11,11-2017
2017-12-01,Canada,CAN,0,2017,12,12-2017
2018-01-01,Canada,CAN,0,2018,1,1-2018
2018-02-01,Canada,CAN,0,2018,2,2-2018
2018-03-01,Canada,CAN,0,2018,3,3-2018
2018-04-01,Canada,CAN,0,2018,4,4-2018
2018-05-01,Canada,CAN,0,2018,5,5-2018
2018-06-01,Canada,CAN,0,2018,6,6-2018
2018-07-01,Canada,CAN,0,2018,7,7-2018
2018-08-01,Canada,CAN,0,2018,8,8-2018
2018-09-01,Canada,CAN,0,2018,9,9-2018
2018-10-01,Canada,CAN,0,2018,10,10-2018
2018-11-01,Canada,CAN,0,2018,11,11-2018
2018-12-01,Canada,CAN,0,2018,12,12-2018
2019-01-01,Canada,CAN,0,2019,1,1-2019
2019-02-01,Canada,CAN,0,2019,2,2-2019
2019-03-01,Canada,CAN,0,2019,3,3-2019
2019-04-01,Canada,CAN,0,2019,4,4-2019
2019-05-01,Canada,CAN,0,2019,5,5-2019
2019-06-01,Canada,CAN,0,2019,6,6-2019
2019-07-01,Canada,CAN,0,2019,7,7-2019
2019-08-01,Canada,CAN,0,2019,8,8-2019
2019-09-01,Canada,CAN,0,2019,9,9-2019
2019-10-01,Canada,CAN,0,2019,10,10-2019
2019-11-01,Canada,CAN,0,2019,11,11-2019
2019-12-01,Canada,CAN,0,2019,12,12-2019
2020-01-01,Canada,CAN,0,2020,1,1-2020
2020-02-01,Canada,CAN,0,2020,2,2-2020
2020-03-01,Canada,CAN,0,2020,3,3-2020
2020-04-01,Canada,CAN,0,2020,4,4-2020
2020-05-01,Canada,CAN,0,2020,5,5-2020
2020-06-01,Canada,CAN,0,2020,6,6-2020
2020-07-01,Canada,CAN,0,2020,7,7-2020
2020-08-01,Canada,CAN,0,2020,8,8-2020
2020-09-01,Canada,CAN,0,2020,9,9-2020
2020-10-01,Canada,CAN,0,2020,10,10-2020
2020-11-01,Canada,CAN,0,2020,11,11-2020
2020-12-01,Canada,CAN,0,2020,12,12-2020
2021-01-01,Canada,CAN,0,2021,1,1-2021
2021-02-01,Canada,CAN,0,2021,2,2-2021
2021-03-01,Canada,CAN,0,2021,3,3-2021
2021-04-01,Canada,CAN,0,2021,4,4-2021
2021-05-01,Canada,CAN,0,2021,5,5-2021
2021-06-01,Canada,CAN,0,2021,6,6-2021
2021-07-01,Canada,CAN,0,2021,7,7-2021
2021-08-01,Canada,CAN,0,2021,8,8-2021
2021-09-01,Canada,CAN,0,2021,9,9-2021
2021-10-01,Canada,CAN,0,2021,10,10-2021
2021-11-01,Canada,CAN,0,2021,11,11-2021
2021-12-01,Canada,CAN,0,2021,12,12-2021
2022-01-01,Canada,CAN,0,2022,1,1-2022
2022-02-01,Canada,CAN,0,2022,2,2-2022
2022-03-01,Canada,CAN,0,2022,3,3-2022
2022-04-01,Canada,CAN,0,2022,4,4-2022
2022-05-01,Canada,CAN,0,2022,5,5-2022
2022-06-01,Canada,CAN,0,2022,6,6-2022
2022-07-01,Canada,CAN,0,2022,7,7-2022
2022-08-01,Canada,CAN,0,2022,8,8-2022
2022-09-01,Canada,CAN,0,2022,9,9-2022
2022-10-01,Canada,CAN,0,2022,10,10-2022
2022-11-01,Canada,CAN,0,2022,11,11-2022
2022-12-01,Canada,CAN,0,2022,12,12-2022
2023-01-01,Côte d'Ivoire,CIV,118,2023,1,1-2023
2023-01-01,Mauritania,MRT,702,2023,1,1-2023
2023-01-01,Seychelles,SYC,419,2023,1,1-2023
2023-01-01,Canada,CAN,0,2023,1,1-2023
2023-02-01,Côte d'Ivoire,CIV,91,2023,2,2-2023
2023-02-01,Mauritania,MRT,285,2023,2,2-2023
2023-02-01,Seychelles,SYC,659,2023,2,2-2023
2023-02-01,Canada,CAN,0,2023,2,2-2023
2023-03-01,Côte d'Ivoire,CIV,66,2023,3,3-2023
2023-03-01,Mauritania,MRT,324,2023,3,3-2023
2023-03-01,Seychelles,SYC,578,2023,3,3-2023
2023-03-01,Canada,CAN,0,2023,3,3-2023
2023-04-01,Côte d'Ivoire,CIV,41,2023,4,4-2023
2023-04-01,Ethiopia,ETH,1379,2023,4,4-2023
2023-04-01,Mauritania,MRT,323,2023,4,4-2023
2023-04-01,Sao Tome and Principe,STP,1685,2023,4,4-2023
2023-04-01,Seychelles,SYC,292,2023,4,4-2023
2023-04-01,Canada,CAN,0,2023,4,4-2023
2023-05-01,Côte d'Ivoire,CIV,55,2023,5,5-2023
2023-05-01,Ethiopia,ETH,2721,2023,5,5-2023
2023-05-01,Mauritania,MRT,295,2023,5,5-2023
2023-05-01,Sao Tome and Principe,STP,181,2023,5,5-2023
2023-05-01,Seychelles,SYC,202,2023,5,5-2023
2023-05-01,Canada,CAN,0,2023,5,5-2023
2023-06-01,Côte d'Ivoire,CIV,121,2023,6,6-2023
2023-06-01,Ethiopia,ETH,4155,2023,6,6-2023
2023-06-01,Mauritania,MRT,120,2023,6,6-2023
2023-06-01,Sao Tome and Principe,STP,649,2023,6,6-2023
2023-06-01,Seychelles,SYC,265,2023,6,6-2023
