date,country,iso3,cases,Month,Year,Month.Year
2022-01-01,Antigua & Barbuda,ATG,0,1,2022,1-2022
2022-02-01,Antigua & Barbuda,ATG,0,2,2022,2-2022
2022-03-01,Antigua & Barbuda,ATG,0,3,2022,3-2022
2022-04-01,Antigua & Barbuda,ATG,0,4,2022,4-2022
2022-05-01,Antigua & Barbuda,ATG,0,5,2022,5-2022
2022-06-01,Antigua & Barbuda,ATG,0,6,2022,6-2022
2022-07-01,Antigua & Barbuda,ATG,0,7,2022,7-2022
2022-08-01,Antigua & Barbuda,ATG,0,8,2022,8-2022
2022-09-01,Antigua & Barbuda,ATG,0,9,2022,9-2022
2022-10-01,Antigua & Barbuda,ATG,0,10,2022,10-2022
2022-11-01,Antigua & Barbuda,ATG,0,11,2022,11-2022
2010-01-01,Australia,AUS,48,1,2010,1-2010
2010-02-01,Australia,AUS,59,2,2010,2-2010
2010-03-01,Australia,AUS,56,3,2010,3-2010
2010-04-01,Australia,AUS,70,4,2010,4-2010
2010-05-01,Australia,AUS,90,5,2010,5-2010
2010-06-01,Australia,AUS,114,6,2010,6-2010
2010-07-01,Australia,AUS,142,7,2010,7-2010
2010-08-01,Australia,AUS,88,8,2010,8-2010
2010-09-01,Australia,AUS,93,9,2010,9-2010
2010-10-01,Australia,AUS,146,10,2010,10-2010
2010-11-01,Australia,AUS,172,11,2010,11-2010
2010-12-01,Australia,AUS,150,12,2010,12-2010
2011-01-01,Australia,AUS,163,1,2011,1-2011
2011-02-01,Australia,AUS,142,2,2011,2-2011
2011-03-01,Australia,AUS,63,3,2011,3-2011
2011-04-01,Australia,AUS,45,4,2011,4-2011
2011-05-01,Australia,AUS,39,5,2011,5-2011
2011-06-01,Australia,AUS,37,6,2011,6-2011
2011-07-01,Australia,AUS,49,7,2011,7-2011
2011-08-01,Australia,AUS,33,8,2011,8-2011
2011-09-01,Australia,AUS,34,9,2011,9-2011
2011-10-01,Australia,AUS,35,10,2011,10-2011
2011-11-01,Australia,AUS,58,11,2011,11-2011
