country,iso3,Month,season_nMonth,nb_size,nb_mean,Ave_season_monthly_cases,Ave_season_monthly_cum_cases,Ave_cum_monthly_proportion,Ave_monthly_proportion
Australia,AUS,11,1,842552.6163631233,89.8571428571428,89.85714285714286,89.85714285714286,0.10521859445749415,0.10521859445749415
Australia,AUS,12,2,921171.8646054654,89.28571428571439,89.28571428571429,179.14285714285714,0.1991424900182597,0.09392389556076555
Australia,AUS,1,3,1515392.9996003164,143.5714285714287,143.57142857142858,322.7142857142857,0.3367945829536504,0.13765209293539069
Australia,AUS,2,4,1.2948816889961554,104.85714285714307,104.85714285714286,427.57142857142856,0.4355828771545907,0.0987882942009403
Australia,AUS,3,5,2.0447268897033912,92.71428571428565,92.71428571428571,520.2857142857143,0.5303455994651721,0.09476272231058139
Australia,AUS,4,6,1.1739832884421053,75.57142857142863,75.57142857142857,595.8571428571429,0.5930920938789153,0.06274649441374312
Australia,AUS,5,7,0.937898632887184,76.99999999999996,77,672.8571428571429,0.6598643936071421,0.06677229972822687
Australia,AUS,6,8,487234.689860287,61.85714285714295,61.857142857142854,734.7142857142857,0.7184877860016952,0.05862339239455311
Australia,AUS,7,9,592898.7102824857,71.42857142857127,71.42857142857143,806.1428571428571,0.790034977997237,0.0715471919955418
Australia,AUS,8,10,916492.7851295604,52.00000000000008,52,858.1428571428571,0.8433713059941841,0.05333632799694707
Australia,AUS,9,11,2072730.603284012,48.714285714285715,48.714285714285715,906.8571428571429,0.9028228310957499,0.05945152510156585
Australia,AUS,10,12,2594133.5744614745,80.57142857142865,80.57142857142857,987.4285714285714,1,0.09717716890425011
Bangladesh,BGD,3,1,166277.9353995242,11.083333333333327,11.083333333333334,11.083333333333334,0.003965991485882752,0.003965991485882752
Bangladesh,BGD,4,2,203572.87330039838,19.333333333333314,19.333333333333332,30.416666666666668,0.008954565015284023,0.004988573529401271
Bangladesh,BGD,5,3,0.32762544261758836,43.666666666666636,43.666666666666664,74.08333333333333,0.01785207734832872,0.008897512333044696
Bangladesh,BGD,6,4,0.38907477280039027,262.50000000000017,262.5,336.5833333333333,0.04645903961400567,0.028606962265676952
Bangladesh,BGD,7,5,0.38258112694645674,1801.4166666666692,1801.4166666666667,2138,0.17291460429182728,0.12645556467782162
Bangladesh,BGD,8,6,0.31833133538190744,5817.083333333348,5817.083333333333,7955.083333333333,0.443608878052592,0.27069427376076477
Bangladesh,BGD,9,7,0.45053434299419864,2514.1666666666697,2514.1666666666665,10469.25,0.6741253689911435,0.23051649093855145
Bangladesh,BGD,10,8,0.5059328453427985,1608.6666666666658,1608.6666666666667,12077.916666666666,0.8412961187147945,0.16717074972365095
Bangladesh,BGD,11,9,0.38642166497687974,903.75,903.75,12981.666666666666,0.9546280558510207,0.11333193713622629
Bangladesh,BGD,12,10,0.31115834095337,283.4999999999991,283.5,13265.166666666666,0.9915413386735527,0.036913282822531965
Bangladesh,BGD,1,11,0.26999192531913,45.08333333333337,45.083333333333336,13310.25,0.9977223474284406,0.006181008754887859
Bangladesh,BGD,2,12,0.3523131758653519,13.916666666666659,13.916666666666666,13324.166666666666,1,0.0022776525715594445
Brunei Darussalam,BRN,1,1,1.2921918656540958,24.000000000000014,24,24,0.09982681785140178,0.09982681785140178
Brunei Darussalam,BRN,2,2,2.9698485677187736,14.000000000000009,14,38,0.15965140833518948,0.0598245904837877
Brunei Darussalam,BRN,3,3,3.3198357704998958,16.666666666666654,16.666666666666668,54.666666666666664,0.22925880457698145,0.06960739624179198
Brunei Darussalam,BRN,4,4,5.409790949739117,17.333333333333332,17.333333333333332,72,0.31709901771361576,0.08784021313663433
Brunei Darussalam,BRN,5,5,2.4321131832413623,14.333333333333334,14.333333333333334,86.33333333333333,0.3805981604360806,0.06349914272246482
Brunei Darussalam,BRN,6,6,1.8507126770760587,10.33333333333334,10.333333333333334,96.66666666666667,0.4225330177032559,0.041934857267175336
Brunei Darussalam,BRN,7,7,5.121214221223104,11.999999999999995,12,108.66666666666667,0.47876938802643143,0.0562363703231755
Brunei Darussalam,BRN,8,8,16.770060794937223,16.666666666666682,16.666666666666668,125.33333333333333,0.5676190821518788,0.08884969412544741
Brunei Darussalam,BRN,9,9,2.688773787260666,22.666666666666636,22.666666666666668,148,0.6597559564817261,0.09213687432984724
Brunei Darussalam,BRN,10,10,2.7133355622639033,21.999999999999975,22,170,0.7499855825429631,0.09022962606123706
Brunei Darussalam,BRN,11,11,1.431805144697889,29.66666666666668,29.666666666666668,199.66666666666666,0.8703519240830238,0.12036634154006068
Brunei Darussalam,BRN,12,12,1.5055753104035836,30.66666666666666,30.666666666666668,230.33333333333334,1,0.12964807591697616
Maldives,MDV,1,1,6.604024359959083,97.24999999999986,97.25,97.25,0.09117468071002152,0.09117468071002152
Maldives,MDV,2,2,2.8067374647116905,68.1250000000001,68.125,165.375,0.15061700203912007,0.05944232132909854
Maldives,MDV,3,3,3.0798026218684904,77.8749999999999,77.875,243.25,0.2166379569890159,0.06602095494989582
Maldives,MDV,4,4,1.6229772274781946,89.24999999999987,89.25,332.5,0.2812302188565194,0.06459226186750347
Maldives,MDV,5,5,1.3885356269348306,116.75000000000021,116.75,449.25,0.3626705622920206,0.08144034343550123
Maldives,MDV,6,6,1.2526287316483287,171.12499999999963,171.125,620.375,0.47341565989846957,0.11074509760644899
Maldives,MDV,7,7,1.3970604253079297,247.37500000000028,247.375,867.75,0.6308139067122976,0.157398246813828
