"","country","d","mean_ratio","mean_RMSE","rf"
"1","Antigua and Barbuda",0,NA,11792.4232005494,NA
"2","Antigua and Barbuda",1,0.0833333333333333,11775.2837357405,12
"3","Antigua and Barbuda",2,0.0833333333333333,11800.1331219494,12
"4","Antigua and Barbuda",3,0.0833333333333333,11775.2837357405,12
"5","Antigua and Barbuda",4,0.0833333333333333,11775.2837357405,12
"6","Antigua and Barbuda",5,0.0833333333333333,11775.2837357405,12
"7","Antigua and Barbuda",6,0.0833333333333333,11776.8493253099,12
"8","Antigua and Barbuda",7,NA,11776.8493253099,NA
"9","Antigua and Barbuda",8,NA,11825.3210644546,NA
"10","Antigua and Barbuda",9,NA,11792.4232005494,NA
"11","Antigua and Barbuda",10,NA,11792.4232005494,NA
"12","Antigua and Barbuda",11,NA,11789.6381459055,NA
"13","Antigua and Barbuda",12,NA,11754.8167166077,NA
"14","Antigua and Barbuda",13,NA,11825.3210644546,NA
"15","Antigua and Barbuda",14,NA,11825.3210644546,NA
"16","Antigua and Barbuda",15,NA,11774.146609491,NA
"17","Antigua and Barbuda",16,NA,11764.1503469419,NA
"18","Antigua and Barbuda",17,NA,11764.1503469419,NA
"19","Antigua and Barbuda",18,NA,11825.3210644546,NA
"20","Antigua and Barbuda",19,NA,11825.3210644546,NA
"21","Antigua and Barbuda",20,NA,11825.3210644546,NA
"22","Antigua and Barbuda",21,NA,11825.3210644546,NA
"23","Antigua and Barbuda",22,NA,11710.1785407864,NA
"24","Antigua and Barbuda",23,NA,11710.1785407864,NA
"25","Antigua and Barbuda",24,NA,11611.2235531601,NA
"26","Antigua and Barbuda",25,NA,11049.7732381389,NA
"27","Argentina",0,0.757283726867759,11800.1331219494,1.32050903052698
"28","Argentina",1,0.829837078401604,11788.3902155824,1.20505581881947
"29","Argentina",2,0.839311759993276,11825.3210644546,1.19145238714159
"30","Argentina",3,0.741667961105306,11809.4393370521,1.34831225351801
"31","Argentina",4,0.753409129035465,11809.4393370521,1.32730008366135
"32","Argentina",5,0.805688455506745,11809.4393370521,1.24117454230003
"33","Argentina",6,0.81442197849662,11809.4619895439,1.22786470208718
"34","Argentina",7,0.83717147092706,11809.4619895439,1.19449842084636
"35","Argentina",8,0.851492974238876,11795.492301904,1.17440781104961
"36","Argentina",9,0.84655737704918,11825.3210644546,1.18125484120837
"37","Argentina",10,0.84016393442623,11806.1306438432,1.19024390243902
"38","Argentina",11,0.83337709919846,11786.1614158957,1.19993698046394
"39","Argentina",12,0.826725548639724,11805.8576543369,1.20959126235469
"40","Argentina",13,0.826725548639724,11805.8576543369,1.20959126235469
"41","Argentina",14,0.808196721311475,11825.3210644546,1.23732251521298
"42","Argentina",15,0.797961604831751,11801.080533156,1.25319312852258
"43","Argentina",16,0.786885245901639,11775.2837357405,1.27083333333333
"44","Argentina",17,1,11775.2837357405,1
"45","Argentina",18,1,11800.1331219494,1
"46","Argentina",19,1,11825.3210644546,1
"47","Argentina",20,1,11825.3210644546,1
"48","Argentina",21,1,11825.3210644546,1
"49","Argentina",22,1,11788.3902155824,1
"50","Argentina",23,1,11756.0386093119,1
"51","Argentina",24,1,11756.0386093119,1
"52","Argentina",25,1,11710.1785407864,1
"53","Argentina",26,1,11825.3210644546,1
"54","Argentina",27,1,11712.7370748478,1
"55","Aruba",0,0.779555021355174,11786.1614158957,1.28278309113012
"56","Aruba",1,0.793200212172544,11793.1542102812,1.26071574950924
"57","Aruba",2,0.82563003775125,11809.4619895439,1.21119624320316
"58","Aruba",3,0.832392245435724,11793.1542102812,1.20135669869983
"59","Aruba",4,0.887722805264035,11809.4393370521,1.12647776318259
"60","Aruba",5,0.931055305680493,11809.4393370521,1.07405005255742
"61","Aruba",6,0.975148308481642,11809.4619895439,1.02548503781651
"62","Aruba",7,0.962962962962963,11809.4619895439,1.03846153846154
"63","Aruba",8,0.974521774521774,11795.492301904,1.02614433678583
"64","Aruba",9,1,11825.3210644546,1
"65","Aruba",10,1,11806.1306438432,1
"66","Aruba",11,1,11786.1614158957,1
"67","Aruba",12,1,11805.8576543369,1
"68","Aruba",13,1,11788.3902155824,1
"69","Aruba",14,1,11825.3210644546,1
"70","Aruba",15,1,11801.080533156,1
"71","Aruba",16,1,11775.2837357405,1
"72","Aruba",17,1,11800.1331219494,1
"73","Aruba",18,1,11776.8493253099,1
"74","Aruba",19,1,11825.3210644546,1
"75","Aruba",20,1,11792.4232005494,1
"76","Aruba",21,1,11792.4232005494,1
"77","Aruba",22,1,11789.6381459055,1
