"iso3","country_name","country","od_region","pipeline_included","has_radial_plot","has_complete_data","display_tier"
"ARG","Argentina","Argentina","South America",TRUE,TRUE,TRUE,"complete_data"
"BOL","Bolivia","Bolivia","South America",TRUE,TRUE,TRUE,"complete_data"
"BRA","Brazil","Brazil","South America",TRUE,TRUE,TRUE,"complete_data"
"CHL","Chile","Chile","South America",TRUE,TRUE,TRUE,"complete_data"
"COL","Colombia","Colombia","South America",TRUE,TRUE,TRUE,"complete_data"
"ECU","Ecuador","Ecuador","South America",TRUE,TRUE,TRUE,"complete_data"
"GUF","French Guiana","French Guiana","South America",TRUE,TRUE,TRUE,"complete_data"
"GUY","Guyana","Guyana","South America",TRUE,TRUE,TRUE,"complete_data"
"PRY","Paraguay","Paraguay","South America",TRUE,TRUE,TRUE,"complete_data"
"PER","Peru","Peru","South America",TRUE,TRUE,TRUE,"complete_data"
"SUR","Suriname","Suriname","South America",TRUE,TRUE,TRUE,"complete_data"
"URY","Uruguay","Uruguay","South America",TRUE,TRUE,TRUE,"complete_data"
"VEN","Venezuela","Venezuela (Bolivarian Republic of)","South America",TRUE,TRUE,FALSE,"radial_plot_only"
"ATG","Antigua & Barbuda","Antigua and Barbuda","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"ABW","Aruba","Aruba","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"BHS","Bahamas","Bahamas","Caribbean",TRUE,TRUE,FALSE,"radial_plot_only"
"BRB","Barbados","Barbados","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"VGB","British Virgin Islands","Virgin Islands (UK)","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"BES","Caribbean Netherlands","Bonaire, Saint Eustatius and Saba","Caribbean",TRUE,TRUE,FALSE,"radial_plot_only"
"CYM","Cayman Islands","Cayman Islands","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"CUB","Cuba","Cuba","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"CUW","Curaçao","Curaçao","Caribbean",TRUE,TRUE,FALSE,"radial_plot_only"
"DMA","Dominica","Dominica","Caribbean",TRUE,TRUE,FALSE,"radial_plot_only"
"DOM","Dominican Republic","Dominican Republic","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"GRD","Grenada","Grenada","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"GLP","Guadeloupe","Guadeloupe","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"HTI","Haiti","Haiti","Caribbean",TRUE,TRUE,FALSE,"radial_plot_only"
"JAM","Jamaica","Jamaica","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"MTQ","Martinique","Martinique","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"PRI","Puerto Rico","Puerto Rico","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"MAF","Saint Martin (French part)","Saint Martin (French part)","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"SXM","Sint Maarten","Sint Maarten","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"BLM","St. Barthélemy","Saint Barthelemy","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"KNA","St. Kitts & Nevis","Saint Kitts and Nevis","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"LCA","St. Lucia","Saint Lucia","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"VCT","St. Vincent & Grenadines","Saint Vincent and the Grenadines","Caribbean",TRUE,TRUE,TRUE,"complete_data"
"TTO","Trinidad & Tobago","Trinidad and Tobago","Caribbean",TRUE,TRUE,TRUE,"complete_data"
