iso3,country,od_region,d,u_rf,med_rf,min_rf,max_rf,sd_rf,n_rf
ABW,Aruba,Caribbean,4,1,1,1,1,0,26
ABW,Aruba,Caribbean,5,1,1,1,1,0,182
ABW,Aruba,Caribbean,6,1,1,1,1,0,182
ABW,Aruba,Caribbean,7,1,1,1,1,0,26
ABW,Aruba,Caribbean,10,1,1,1,1,0,272
ABW,Aruba,Caribbean,11,1,1,1,1,0,1904
ABW,Aruba,Caribbean,12,1,1,1,1,0,1696
ABW,Aruba,Caribbean,13,1,1,1,1,0,448
ABW,Aruba,Caribbean,14,1,1,1,1,0,1792
ABW,Aruba,Caribbean,15,1,1,1,1,0,2420
ABW,Aruba,Caribbean,16,1,1,1,1,0,2363
ABW,Aruba,Caribbean,17,1,1,1,1,0,2370
ABW,Aruba,Caribbean,18,1,1,1,1,0,1769
ABW,Aruba,Caribbean,19,1,1,1,1,0,479
ABW,Aruba,Caribbean,20,1,1,1,1,0,486
ABW,Aruba,Caribbean,21,1,1,1,1,0,493
ABW,Aruba,Caribbean,22,1,1,1,1,0,500
ABW,Aruba,Caribbean,23,1,1,1,1,0,123
ABW,Aruba,Caribbean,24,1,1,1,1,0,60
ABW,Aruba,Caribbean,25,1,1,1,1,0,56
ABW,Aruba,Caribbean,26,1,1,1,1,0,49
ABW,Aruba,Caribbean,27,1,1,1,1,0,42
ABW,Aruba,Caribbean,28,1,1,1,1,0,35
ABW,Aruba,Caribbean,29,1,1,1,1,0,101
ABW,Aruba,Caribbean,30,1,1,1,1,0,310
ABW,Aruba,Caribbean,31,1,1,1,1,0,267
ABW,Aruba,Caribbean,32,1,1,1,1,0,260
ABW,Aruba,Caribbean,33,1,1,1,1,0,253
ABW,Aruba,Caribbean,34,1,1,1,1,0,216
ABW,Aruba,Caribbean,35,1,1,1,1,0,252
ABW,Aruba,Caribbean,36,1,1,1,1,0,252
ABW,Aruba,Caribbean,37,1,1,1,1,0,380
ABW,Aruba,Caribbean,38,1,1,1,1,0,764
ABW,Aruba,Caribbean,39,1,1,1,1,0,484
ABW,Aruba,Caribbean,40,1,1,1,1,0,448
ABW,Aruba,Caribbean,41,1,1,1,1,0,480
ABW,Aruba,Caribbean,42,1,1,1,1,0,512
ABW,Aruba,Caribbean,43,1,1,1,1,0,560
ABW,Aruba,Caribbean,44,1,1,1,1,0,560
ABW,Aruba,Caribbean,45,1,1,1,1,0,592
ABW,Aruba,Caribbean,46,1,1,1,1,0,672
ABW,Aruba,Caribbean,47,1,1,1,1,0,288
ABW,Aruba,Caribbean,48,1,1,1,1,0,224
ABW,Aruba,Caribbean,49,1,1,1,1,0,224
ABW,Aruba,Caribbean,50,1,1,1,1,0,208
ABW,Aruba,Caribbean,51,1,1,1,1,0,128
AIA,Anguilla,Caribbean,25,1,1,1,1,0,8
AIA,Anguilla,Caribbean,26,1,1,1,1,0,32
AIA,Anguilla,Caribbean,27,1,1,1,1,0,28
AIA,Anguilla,Caribbean,28,1,1,1,1,0,28
AIA,Anguilla,Caribbean,29,1,1,1,1,0,28
AIA,Anguilla,Caribbean,30,1,1,1,1,0,24
AIA,Anguilla,Caribbean,31,1,1,1,1,0,28
AIA,Anguilla,Caribbean,32,1,1,1,1,0,28
AIA,Anguilla,Caribbean,33,1,1,1,1,0,28
AIA,Anguilla,Caribbean,34,1,1,1,1,0,28
AIA,Anguilla,Caribbean,35,1,1,1,1,0,4
ARG,Argentina,South America,2,1.1014412150136081,1.1177166240094454,1.030385858929635,1.1334802071584402,0.03491341173749997,550
ARG,Argentina,South America,3,1.1015126598292768,1.1177166240094454,1.030385858929635,1.140938594957032,0.034026349350822695,1053
ARG,Argentina,South America,4,1.1140912265578793,1.1298174954757771,1.0439244280018678,1.1501882753973602,0.028591555037270712,60
ARG,Argentina,South America,5,1.1258752018413478,1.1321810972223576,1.0590458075071694,1.1642591414018724,0.02280811363423227,60
ARG,Argentina,South America,6,1.1364711513995218,1.1334802071584402,1.089308671126853,1.1847941233722992,0.022457030510602657,60
