"Region","Country","source","Data_status","Year","Month","season_nMonth","cases","cum_todate_cases_year","Predicted_total_seasonal_cases","Ave_season_monthly_cases","Ave_monthly_proportion","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion"
"Caribbean","Aruba","WHO","Observed",2025,1,7,0,0,10,96,0.09,346,0.41
"Caribbean","Aruba","PAHO","Observed",2025,2,8,2,2,10,103,0.11,449,0.52
"Caribbean","Aruba","WHO","Observed",2025,3,9,0,2,10,142,0.17,591,0.69
"Caribbean","Aruba","PAHO","Observed",2025,4,10,2,4,10,120,0.15,711,0.84
"Caribbean","Aruba","PAHO","Observed",2025,5,11,2,6,10,88,0.1,799,0.94
"Caribbean","Aruba","PAHO","Observed",2025,6,12,4,10,10,52,0.06,850,1
"Caribbean","Aruba","PAHO","Observed",2025,7,1,2,12,15,22,0.03,22,0.03
"Caribbean","Aruba","PAHO","Observed",2025,8,2,2,14,15,33,0.04,54,0.07
"Caribbean","Aruba","WHO","Observed",2025,9,3,0,14,15,62,0.08,117,0.15
"Caribbean","Aruba","WHO","Observed",2025,10,4,0,14,15,64,0.08,181,0.23
"Caribbean","Aruba","Estimates","Unobserved",2025,11,5,0,14,15,38,0.05,219,0.28
"Caribbean","Aruba","Estimates","Unobserved",2025,12,6,0,14,15,30,0.04,249,0.32
"Caribbean","Aruba","Estimates","Unobserved",2026,1,7,2,2,15,96,0.09,346,0.41
"Caribbean","Aruba",NA,"Unobserved",2026,2,8,NA,NA,15,103,0.11,449,0.52
"Caribbean","Aruba",NA,"Unobserved",2026,3,9,NA,NA,15,142,0.17,591,0.69
"Caribbean","Aruba",NA,"Unobserved",2026,4,10,NA,NA,15,120,0.15,711,0.84
"Caribbean","Aruba",NA,"Unobserved",2026,5,11,NA,NA,15,88,0.1,799,0.94
"Caribbean","Aruba",NA,"Unobserved",2026,6,12,NA,NA,15,52,0.06,850,1
"Caribbean","Aruba",NA,"Unobserved",2026,7,1,NA,NA,NA,22,0.03,22,0.03
"Caribbean","Aruba",NA,"Unobserved",2026,8,2,NA,NA,NA,33,0.04,54,0.07
"Caribbean","Aruba",NA,"Unobserved",2026,9,3,NA,NA,NA,62,0.08,117,0.15
"Caribbean","Aruba",NA,"Unobserved",2026,10,4,NA,NA,NA,64,0.08,181,0.23
"Caribbean","Aruba",NA,"Unobserved",2026,11,5,NA,NA,NA,38,0.05,219,0.28
"Caribbean","Aruba",NA,"Unobserved",2026,12,6,NA,NA,NA,30,0.04,249,0.32
"South Asia","Afghanistan","WHO","Observed",2025,1,11,71,71,97,114,0.07,2028,0.96
"South Asia","Afghanistan","WHO","Observed",2025,2,12,26,97,97,66,0.04,2094,1
"South Asia","Afghanistan","WHO","Observed",2025,3,1,18,115,4875,58,0.02,58,0.02
"South Asia","Afghanistan","WHO","Observed",2025,4,2,131,246,4875,50,0.02,108,0.04
"South Asia","Afghanistan","WHO","Observed",2025,5,3,216,462,4875,88,0.03,195,0.07
"South Asia","Afghanistan","WHO","Observed",2025,6,4,166,628,4875,58,0.02,254,0.1
"South Asia","Afghanistan","WHO","Observed",2025,7,5,339,967,4875,147,0.07,400,0.16
"South Asia","Afghanistan","WHO","Observed",2025,8,6,273,1240,4875,194,0.07,595,0.24
"South Asia","Afghanistan","WHO","Observed",2025,9,7,297,1537,4875,163,0.07,758,0.3
"South Asia","Afghanistan","WHO","Observed",2025,10,8,1826,3363,4875,521,0.24,1279,0.54
"South Asia","Afghanistan","WHO","Observed",2025,11,9,1021,4384,4875,420,0.22,1699,0.76
"South Asia","Afghanistan","Estimates","Unobserved",2025,12,10,13,4397,4875,215,0.13,1914,0.89
"South Asia","Afghanistan","Estimates","Unobserved",2026,1,11,404,404,4875,114,0.07,2028,0.96
"South Asia","Afghanistan",NA,"Unobserved",2026,2,12,NA,NA,4875,66,0.04,2094,1
"South Asia","Afghanistan",NA,"Unobserved",2026,3,1,NA,NA,NA,58,0.02,58,0.02
"South Asia","Afghanistan",NA,"Unobserved",2026,4,2,NA,NA,NA,50,0.02,108,0.04
"South Asia","Afghanistan",NA,"Unobserved",2026,5,3,NA,NA,NA,88,0.03,195,0.07
"South Asia","Afghanistan",NA,"Unobserved",2026,6,4,NA,NA,NA,58,0.02,254,0.1
"South Asia","Afghanistan",NA,"Unobserved",2026,7,5,NA,NA,NA,147,0.07,400,0.16
"South Asia","Afghanistan",NA,"Unobserved",2026,8,6,NA,NA,NA,194,0.07,595,0.24
"South Asia","Afghanistan",NA,"Unobserved",2026,9,7,NA,NA,NA,163,0.07,758,0.3
"South Asia","Afghanistan",NA,"Unobserved",2026,10,8,NA,NA,NA,521,0.24,1279,0.54
"South Asia","Afghanistan",NA,"Unobserved",2026,11,9,NA,NA,NA,420,0.22,1699,0.76
"South Asia","Afghanistan",NA,"Unobserved",2026,12,10,NA,NA,NA,215,0.13,1914,0.89
"South America","Argentina","PAHO","Observed",2025,1,6,275,275,17635,2700,0.03,4866,0.17
"South America","Argentina","PAHO","Observed",2025,2,7,1341,1616,17635,7364,0.09,12229,0.26
"South America","Argentina","PAHO","Observed",2025,3,8,8513,10129,17635,25476,0.24,37706,0.5
"South America","Argentina","PAHO","Observed",2025,4,9,5428,15557,17635,17542,0.28,55248,0.78
"South America","Argentina","PAHO","Observed",2025,5,10,1976,17533,17635,4523,0.17,59771,0.95
"South America","Argentina","PAHO","Observed",2025,6,11,86,17619,17635,942,0.03,60714,0.99
"South America","Argentina","PAHO","Observed",2025,7,12,16,17635,17635,336,0.01,61050,1
"South America","Argentina","PAHO","Observed",2025,8,1,4,17639,14537,53,0.01,53,0.01
"South America","Argentina","WHO","Observed",2025,9,2,0,17639,14537,131,0.01,184,0.02
"South America","Argentina","PAHO","Observed",2025,10,3,3,17642,14537,102,0.02,286,0.04
"South America","Argentina","PAHO","Observed",2025,11,4,3701,21343,14537,168,0.02,454,0.06
"South America","Argentina","PAHO","Observed",2025,12,5,3,21346,14537,1712,0.07,2166,0.13
"South America","Argentina","PAHO","Observed",2026,1,6,7,7,14537,2700,0.03,4866,0.17
"South America","Argentina","PAHO","Observed",2026,2,7,NA,NA,14537,7364,0.09,12229,0.26
"South America","Argentina",NA,"Unobserved",2026,3,8,NA,NA,14537,25476,0.24,37706,0.5
