"Region","Country","source","Data_status","Year","Month","season_nMonth","cases","cum_todate_cases_calendar","Predicted_total_seasonal_cases","Ave_season_monthly_cases","Ave_monthly_proportion","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion"
"Caribbean","Aruba","PAHO","Observed",2024,10,4,4,NA,19,73,0.05,268,0.21
"Caribbean","Aruba",NA,"Unobserved",2024,6,12,NA,NA,NA,163,0.08,1641,1
"Caribbean","Aruba","WHO","Observed",2025,1,7,0,0,0,151,0.09,676,0.47
"Caribbean","Aruba","PAHO","Observed",2025,8,2,2,14,19,34,0.02,120,0.11
"Caribbean","Aruba",NA,"Unobserved",2024,12,6,NA,NA,NA,203,0.13,525,0.38
"Caribbean","Aruba","WHO","Observed",2024,8,2,0,NA,0,34,0.02,120,0.11
"Caribbean","Aruba","PAHO","Observed",2024,1,7,3,3,6,151,0.09,676,0.47
"Caribbean","Aruba",NA,"Unobserved",2025,12,6,NA,NA,NA,203,0.13,525,0.38
"Caribbean","Aruba","WHO","Observed",2024,7,1,24,NA,294,86,0.08,86,0.08
"Caribbean","Aruba","Estimates","Unobserved",2025,11,5,383,1302,1506,54,0.04,322,0.25
"Caribbean","Aruba","PAHO","Observed",2025,5,11,2,6,2,244,0.13,1478,0.92
"Caribbean","Aruba","PAHO","Observed",2024,9,3,3,NA,19,75,0.05,195,0.16
"Caribbean","Aruba","PAHO","Observed",2025,7,1,2,12,24,86,0.08,86,0.08
"Caribbean","Aruba","WHO","Observed",2024,5,11,41,NA,45,244,0.13,1478,0.92
"Caribbean","Aruba","PAHO","Observed",2025,2,8,2,2,4,159,0.09,835,0.56
"Caribbean","Aruba","WHO","Observed",2025,3,9,0,2,0,217,0.13,1052,0.68
"Caribbean","Aruba","PAHO","Observed",2025,4,10,2,4,3,181,0.1,1233,0.79
"Caribbean","Aruba","PAHO","Observed",2024,2,8,6,9,11,159,0.09,835,0.56
"Caribbean","Aruba",NA,"Unobserved",2024,4,10,NA,NA,NA,181,0.1,1233,0.79
"Caribbean","Aruba","PAHO","Observed",2024,3,9,7,16,10,217,0.13,1052,0.68
"Caribbean","Aruba","Estimates","Unobserved",2025,9,3,447,461,2831,75,0.05,195,0.16
"Caribbean","Aruba",NA,"Unobserved",2024,11,5,NA,NA,NA,54,0.04,322,0.25
"Caribbean","Aruba","Estimates","Unobserved",2025,10,4,458,919,2177,73,0.05,268,0.21
"Caribbean","Aruba","PAHO","Observed",2025,6,12,4,10,4,163,0.08,1641,1
"South America","Argentina","PAHO","Observed",2024,11,4,84,581477,468,40,0.02,867,0.18
"South America","Argentina","PAHO","Observed",2024,5,10,18003,580363,19092,4816,0.15,29500,0.94
"South America","Argentina","PAHO","Observed",2025,11,4,1,22883,6,40,0.02,867,0.18
"South America","Argentina","PAHO","Observed",2025,6,11,86,17615,87,2034,0.04,31534,0.99
"South America","Argentina","PAHO","Observed",2024,3,8,229735,342782,434144,9607,0.22,11510,0.53
"South America","Argentina","PAHO","Observed",2024,12,5,83,581560,373,89,0.04,957,0.22
"South America","Argentina","PAHO","Observed",2025,1,6,275,275,1112,200,0.02,1156,0.25
"South America","Argentina","PAHO","Observed",2025,5,10,1972,17529,2091,4816,0.15,29500,0.94
"South America","Argentina","PAHO","Observed",2025,3,8,8515,10130,16091,9607,0.22,11510,0.53
"South America","Argentina","PAHO","Observed",2024,1,6,32998,32998,133468,200,0.02,1156,0.25
"South America","Argentina","PAHO","Observed",2024,8,1,31,581310,5450,12,0.01,12,0.01
"South America","Argentina","WHO","Observed",2025,9,2,1,21821,77,14,0.01,26,0.01
"South America","Argentina","PAHO","Observed",2024,6,11,876,581239,889,2034,0.04,31534,0.99
"South America","Argentina","PAHO","Observed",2025,4,9,5427,15557,6863,13174,0.26,24684,0.79
"South America","Argentina","PAHO","Observed",2025,8,1,4189,21820,736520,12,0.01,12,0.01
"South America","Argentina","PAHO","Observed",2025,7,12,16,17631,16,701,0.01,32235,1
"South America","Argentina","PAHO","Observed",2024,7,12,40,581279,40,701,0.01,32235,1
"South America","Argentina","PAHO","Observed",2025,10,3,1061,22882,6522,802,0.15,828,0.16
"South America","Argentina","PAHO","Observed",2024,9,2,31,581341,2374,14,0.01,26,0.01
"South America","Argentina","PAHO","Observed",2024,2,7,80049,113047,257291,747,0.06,1903,0.31
"South America","Argentina","PAHO","Observed",2024,4,9,219578,562360,277677,13174,0.26,24684,0.79
"South America","Argentina",NA,"Unobserved",2025,12,5,NA,NA,NA,89,0.04,957,0.22
"South America","Argentina","PAHO","Observed",2024,10,3,52,581393,320,802,0.15,828,0.16
"South America","Argentina","PAHO","Observed",2025,2,7,1340,1615,4307,747,0.06,1903,0.31
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2024,12,9,NA,NA,NA,70,0.11,261,0.55
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,9,6,4,14,15,32,0.08,103,0.26
"Caribbean","Antigua And Barbuda","PAHO","Observed",2024,1,10,41,41,54,82,0.21,343,0.76
"Caribbean","Antigua And Barbuda","Estimates","Unobserved",2025,11,8,828,1541,1902,48,0.1,190,0.44
